name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
190           -10893  724690  0.4315E-02  0.4443E-01  0.5735E-01  0.1018E+00  0.1198E-02  0.2396E-03
190           -11789  720123  0.4337E-02  0.4483E-01  0.5712E-01  0.1020E+00  0.1213E-02  0.2426E-03
190           -13625  716559  0.4359E-02  0.4510E-01  0.5696E-01  0.1021E+00  0.1223E-02  0.2446E-03
191           -12679  703413  0.4714E-02  0.4854E-01  0.5918E-01  0.1077E+00  0.1315E-02  0.2629E-03
191           -12290  700436  0.4816E-02  0.4957E-01  0.5989E-01  0.1095E+00  0.1340E-02  0.2680E-03
191           -12027  695458  0.4975E-02  0.5120E-01  0.6078E-01  0.1120E+00  0.1381E-02  0.2761E-03
191           -11751  690473  0.5134E-02  0.5278E-01  0.6160E-01  0.1144E+00  0.1416E-02  0.2833E-03
191           -11473  685496  0.5308E-02  0.5454E-01  0.6238E-01  0.1169E+00  0.1461E-02  0.2923E-03
191           -11188  680535  0.5491E-02  0.5634E-01  0.6354E-01  0.1199E+00  0.1506E-02  0.3013E-03
191           -10885  675621  0.5644E-02  0.5807E-01  0.6433E-01  0.1224E+00  0.1552E-02  0.3103E-03
191           -10543  670662  0.5858E-02  0.5503E-01  0.6512E-01  0.1201E+00  0.1602E-02  0.3204E-03
191           -10083  665526  0.6074E-02  0.5690E-01  0.6626E-01  0.1232E+00  0.1648E-02  0.3295E-03
190            -6444  737142  0.4196E-02  0.4332E-01  0.5738E-01  0.1007E+00  0.1167E-02  0.2334E-03
190            -7328  732560  0.4247E-02  0.4381E-01  0.5758E-01  0.1014E+00  0.1182E-02  0.2363E-03
190            -8099  727808  0.4345E-02  0.4469E-01  0.5822E-01  0.1029E+00  0.1204E-02  0.2408E-03
190            -8758  723288  0.4363E-02  0.4503E-01  0.5803E-01  0.1031E+00  0.1217E-02  0.2433E-03
190            -9853  719931  0.4433E-02  0.4572E-01  0.5843E-01  0.1042E+00  0.1235E-02  0.2470E-03
191            -8325  702221  0.4865E-02  0.4977E-01  0.6080E-01  0.1106E+00  0.1341E-02  0.2682E-03
191            -8304  697887  0.4991E-02  0.5110E-01  0.6138E-01  0.1125E+00  0.1374E-02  0.2748E-03
191            -8304  692887  0.5146E-02  0.5261E-01  0.6220E-01  0.1148E+00  0.1409E-02  0.2817E-03
191            -8304  687887  0.5324E-02  0.5440E-01  0.6308E-01  0.1175E+00  0.1453E-02  0.2906E-03
191            -8304  682887  0.5493E-02  0.5621E-01  0.6380E-01  0.1200E+00  0.1500E-02  0.3000E-03
191            -8304  677887  0.5649E-02  0.5782E-01  0.6496E-01  0.1228E+00  0.1541E-02  0.3082E-03
191            -8304  672887  0.5864E-02  0.5489E-01  0.6585E-01  0.1207E+00  0.1592E-02  0.3184E-03
191            -8221  667893  0.6061E-02  0.5674E-01  0.6660E-01  0.1233E+00  0.1642E-02  0.3285E-03
191            -7972  662945  0.6246E-02  0.5846E-01  0.6761E-01  0.1261E+00  0.1684E-02  0.3369E-03
191            -7639  657982  0.6436E-02  0.6072E-01  0.6884E-01  0.1296E+00  0.1753E-02  0.3506E-03
191            -7675  654994  0.6531E-02  0.6181E-01  0.6919E-01  0.1310E+00  0.1776E-02  0.3551E-03
190            -1693  754909  0.3962E-02  0.4050E-01  0.5685E-01  0.9734E-01  0.1088E-02  0.2176E-03
190            -2454  749971  0.4036E-02  0.4109E-01  0.5736E-01  0.9846E-01  0.1106E-02  0.2211E-03
190            -3117  745178  0.4069E-02  0.4134E-01  0.5731E-01  0.9865E-01  0.1116E-02  0.2231E-03
190            -3716  740305  0.4147E-02  0.4211E-01  0.5815E-01  0.1003E+00  0.1139E-02  0.2278E-03
190            -3974  735387  0.4209E-02  0.4269E-01  0.5846E-01  0.1011E+00  0.1157E-02  0.2314E-03
190            -3974  730387  0.4394E-02  0.4511E-01  0.5907E-01  0.1042E+00  0.1213E-02  0.2426E-03
190            -4987  726348  0.4441E-02  0.4559E-01  0.5912E-01  0.1047E+00  0.1225E-02  0.2450E-03
191            -4038  703250  0.4995E-02  0.5090E-01  0.6249E-01  0.1134E+00  0.1365E-02  0.2731E-03
191            -3974  700387  0.5070E-02  0.5159E-01  0.6288E-01  0.1145E+00  0.1382E-02  0.2764E-03
191            -3974  695387  0.5192E-02  0.5280E-01  0.6329E-01  0.1161E+00  0.1410E-02  0.2820E-03
191            -3974  690387  0.5372E-02  0.5455E-01  0.6426E-01  0.1188E+00  0.1452E-02  0.2904E-03
191            -3974  685387  0.5540E-02  0.5610E-01  0.6516E-01  0.1213E+00  0.1489E-02  0.2978E-03
191            -3974  680387  0.5703E-02  0.5806E-01  0.6612E-01  0.1242E+00  0.1541E-02  0.3083E-03
191            -3974  675387  0.5895E-02  0.6013E-01  0.6703E-01  0.1272E+00  0.1592E-02  0.3184E-03
191            -3974  670387  0.6119E-02  0.5693E-01  0.6807E-01  0.1250E+00  0.1637E-02  0.3274E-03
191            -3974  665387  0.6308E-02  0.5882E-01  0.6894E-01  0.1278E+00  0.1688E-02  0.3376E-03
191            -3974  660387  0.6488E-02  0.6093E-01  0.7003E-01  0.1310E+00  0.1750E-02  0.3501E-03
191            -3947  656007  0.6668E-02  0.6287E-01  0.7094E-01  0.1338E+00  0.1804E-02  0.3607E-03
190             2957  772655  0.3741E-02  0.3820E-01  0.5576E-01  0.9395E-01  0.1019E-02  0.2039E-03
190             2050  767368  0.3822E-02  0.3884E-01  0.5642E-01  0.9526E-01  0.1037E-02  0.2074E-03
190             1369  762644  0.3893E-02  0.4005E-01  0.5669E-01  0.9675E-01  0.1072E-02  0.2144E-03
190              731  757769  0.3960E-02  0.4053E-01  0.5711E-01  0.9764E-01  0.1087E-02  0.2175E-03
190              357  752887  0.4031E-02  0.4110E-01  0.5760E-01  0.9870E-01  0.1105E-02  0.2209E-03
190              356  747887  0.4122E-02  0.4184E-01  0.5836E-01  0.1002E+00  0.1126E-02  0.2252E-03
190              356  742887  0.4203E-02  0.4267E-01  0.5929E-01  0.1020E+00  0.1153E-02  0.2306E-03
190              356  737887  0.4278E-02  0.4332E-01  0.5970E-01  0.1030E+00  0.1171E-02  0.2342E-03
190               41  733157  0.4372E-02  0.4418E-01  0.6038E-01  0.1046E+00  0.1195E-02  0.2389E-03
190            -1291  729422  0.4394E-02  0.4437E-01  0.6005E-01  0.1044E+00  0.1199E-02  0.2398E-03
191              331  702076  0.5178E-02  0.5254E-01  0.6447E-01  0.1170E+00  0.1403E-02  0.2806E-03
191              356  697887  0.5276E-02  0.5343E-01  0.6476E-01  0.1182E+00  0.1423E-02  0.2845E-03
191              356  692887  0.5451E-02  0.5504E-01  0.6576E-01  0.1208E+00  0.1459E-02  0.2918E-03
191              356  687887  0.5583E-02  0.5625E-01  0.6627E-01  0.1225E+00  0.1490E-02  0.2979E-03
191              356  682887  0.5755E-02  0.5826E-01  0.6731E-01  0.1256E+00  0.1541E-02  0.3082E-03
191              356  677887  0.5938E-02  0.5999E-01  0.6836E-01  0.1283E+00  0.1580E-02  0.3161E-03
191              356  672887  0.6170E-02  0.5711E-01  0.6934E-01  0.1265E+00  0.1632E-02  0.3264E-03
191              356  667887  0.6363E-02  0.5907E-01  0.7030E-01  0.1294E+00  0.1685E-02  0.3371E-03
191              356  662887  0.6549E-02  0.6111E-01  0.7155E-01  0.1327E+00  0.1745E-02  0.3491E-03
191              356  657887  0.6756E-02  0.6331E-01  0.7272E-01  0.1360E+00  0.1803E-02  0.3606E-03
191              431  654767  0.6872E-02  0.6469E-01  0.7291E-01  0.1376E+00  0.1842E-02  0.3684E-03
