x	y	tot_dep
-13625	716559	0.019933
-12679	703413	0.021179
-12290	700436	0.021443
-12027	695458	0.022072
-11789	720123	0.019642
-11751	690473	0.022785
-11473	685496	0.023371
-11188	680535	0.024166
-10893	724690	0.019345
-10885	675621	0.024847
-10543	670662	0.02334
-10083	665526	0.023932
-9853	719931	0.019823
-8758	723288	0.019569
-8325	702221	0.021755
-8304	672887	0.023367
-8304	677887	0.024804
-8304	682887	0.024084
-8304	687887	0.023407
-8304	692887	0.022701
-8304	697887	0.022144
-8221	667893	0.024011
-8099	727808	0.019598
-7972	662945	0.024553
-7675	654994	0.025294
-7639	657982	0.025099
-7328	732560	0.019543
-6444	737142	0.019362
-4987	726348	0.019906
-4038	703250	0.021966
-3974	660387	0.025072
-3974	665387	0.024534
-3974	670387	0.023988
-3974	675387	0.025545
-3974	680387	0.024852
-3974	685387	0.024193
-3974	690387	0.023527
-3974	695387	0.022886
-3974	700387	0.022434
-3974	730387	0.019896
-3974	735387	0.01966
-3947	656007	0.025623
-3716	740305	0.019556
-3117	745178	0.019442
-2454	749971	0.019362
-1693	754909	0.019276
-1291	729422	0.020155
41	733157	0.02007
331	702076	0.022658
356	657887	0.025742
356	662887	0.025161
356	667887	0.024558
356	672887	0.024019
356	677887	0.025576
356	682887	0.024908
356	687887	0.024278
356	692887	0.023804
356	697887	0.023268
356	737887	0.01999
356	742887	0.019842
356	747887	0.019672
357	752887	0.019426
431	654767	0.026198
731	757769	0.019266
1369	762644	0.019138
1739	393617	0.045408
1788	395449	0.045606
2050	767368	0.019018
2957	772655	0.018904
3854	736202	0.020369
4610	703102	0.022939
4686	660387	0.025782
4686	665387	0.025234
4686	670387	0.024657
4686	675387	0.026294
4686	680387	0.025588
4686	685387	0.025095
4686	690387	0.02451
4686	695387	0.023955
4686	700387	0.023346
4686	740387	0.020313
4686	745387	0.020149
4686	750387	0.019977
4686	755387	0.019703
4686	760387	0.019522
4686	765387	0.019292
4703	655817	0.026341
4736	770381	0.019053
4829	395187	0.04696
5229	775224	0.018972
5252	391155	0.047009
5898	780094	0.018828
6076	398315	0.047764
6587	784792	0.018763
7490	739197	0.020609
8258	397105	0.048826
8836	743046	0.020573
8982	701934	0.023463
9017	392887	0.049142
9017	657887	0.026663
9017	662887	0.026069
9017	667887	0.025545
9017	672887	0.024925
9017	677887	0.02663
9017	682887	0.02587
9017	687887	0.025175
9017	692887	0.024544
9017	697887	0.024015
9017	747887	0.020427
9017	752887	0.020163
9017	757887	0.019952
9017	762887	0.019739
9017	767887	0.019582
9017	772887	0.019328
9017	777887	0.019125
9017	782887	0.01905
9083	654534	0.026916
9181	787844	0.018803
9439	388410	0.050148
9753	792686	0.018652
9920	398644	0.049835
10368	401463	0.049559
10446	797499	0.01855
11165	383841	0.051602
11196	802308	0.018297
12671	746041	0.019828
13114	394093	0.051396
13175	702963	0.023656
13347	385387	0.053843
13347	390387	0.052559
13347	400387	0.051219
13347	660387	0.026794
13347	665387	0.026211
13347	670387	0.025593
13347	675387	0.02737
13347	680387	0.026673
13347	685387	0.025982
13347	690387	0.025297
13347	695387	0.024684
13347	700387	0.024089
13347	750387	0.019634
13347	755387	0.019445
13347	760387	0.020288
13347	765387	0.020051
13347	770387	0.019774
13347	775387	0.019591
13347	780387	0.019387
13347	785387	0.019201
13347	790387	0.019052
13347	795387	0.018805
13347	800387	0.018542
13357	655652	0.027344
13505	396267	0.051524
13650	381070	0.055181
13690	805277	0.018365
14115	377876	0.072537
14230	404300	0.05151
14334	810143	0.016694
14673	377099	0.07388
14704	378110	0.058644
14841	375339	0.089206
15028	377977	0.087223
15028	814864	0.016552
15206	379836	0.057877
15584	383578	0.057442
15953	820155	0.016377
16337	749049	0.020068
16397	388266	0.056676
17107	392827	0.055736
17180	657902	0.027443
17245	662902	0.026838
17257	654361	0.027983
17309	667900	0.026248
17369	672897	0.025609
17424	677894	0.027474
17475	379724	0.079017
17481	682893	0.025847
17538	687890	0.025132
17586	692888	0.024392
17612	701776	0.023326
17621	752950	0.019967
17625	697887	0.023882
17675	397888	0.054638
17677	395108	0.055173
17677	402887	0.053948
17677	757887	0.019742
17677	762887	0.019529
17677	767887	0.01937
17677	772887	0.020092
17677	777887	0.019835
17677	782887	0.019703
17677	787887	0.019447
17677	792887	0.019243
17677	797887	0.01901
17677	802887	0.017594
17677	807887	0.017027
17677	812887	0.016829
17726	817881	0.016563
17869	382823	0.062207
18195	407429	0.053878
18231	822719	0.016341
18544	387630	0.060913
18902	827592	0.016181
19186	670392	0.026019
19208	410811	0.054132
19271	675398	0.026979
19331	392307	0.058731
19357	680408	0.026324
19436	394843	0.070592
19470	685422	0.025621
19583	690434	0.024945
19588	832293	0.015965
19696	695445	0.024274
19809	700455	0.023663
20291	393622	0.077294
