name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
190           -10893  724690  0.1666E-01  0.4005E+01  0.2587E+02  0.2987E+02  0.1458E+00
190           -11789  720123  0.1708E-01  0.4072E+01  0.2616E+02  0.3023E+02  0.1474E+00
190           -13625  716559  0.1750E-01  0.4142E+01  0.2643E+02  0.3058E+02  0.1490E+00
191           -12679  703413  0.1860E-01  0.4303E+01  0.2720E+02  0.3150E+02  0.1531E+00
191           -12290  700436  0.1883E-01  0.4339E+01  0.2737E+02  0.3171E+02  0.1541E+00
191           -12027  695458  0.1931E-01  0.4412E+01  0.2771E+02  0.3212E+02  0.1562E+00
191           -11751  690473  0.1990E-01  0.4499E+01  0.2817E+02  0.3267E+02  0.1588E+00
191           -11473  685496  0.2045E-01  0.4586E+01  0.2866E+02  0.3324E+02  0.1617E+00
191           -11188  680535  0.2136E-01  0.4712E+01  0.2935E+02  0.3406E+02  0.1654E+00
191           -10885  675621  0.2219E-01  0.4834E+01  0.3011E+02  0.3494E+02  0.1693E+00
191           -10543  670662  0.2548E-01 -0.4436E+02  0.2900E+02 -0.1536E+02  0.1590E+00
191           -10083  665526  0.2627E-01 -0.4401E+02  0.2935E+02 -0.1466E+02  0.1605E+00
190            -6444  737142  0.1564E-01  0.3825E+01  0.2504E+02  0.2886E+02  0.1413E+00
190            -7328  732560  0.1594E-01  0.3879E+01  0.2531E+02  0.2919E+02  0.1429E+00
190            -8099  727808  0.1624E-01  0.3933E+01  0.2558E+02  0.2951E+02  0.1443E+00
190            -8758  723288  0.1655E-01  0.3990E+01  0.2585E+02  0.2984E+02  0.1459E+00
190            -9853  719931  0.1688E-01  0.4044E+01  0.2608E+02  0.3012E+02  0.1471E+00
191            -8325  702221  0.1827E-01  0.4257E+01  0.2714E+02  0.3140E+02  0.1531E+00
191            -8304  697887  0.1865E-01  0.4318E+01  0.2744E+02  0.3176E+02  0.1548E+00
191            -8304  692887  0.1924E-01  0.4406E+01  0.2789E+02  0.3230E+02  0.1573E+00
191            -8304  687887  0.1978E-01  0.4495E+01  0.2839E+02  0.3288E+02  0.1603E+00
191            -8304  682887  0.2054E-01  0.4602E+01  0.2895E+02  0.3356E+02  0.1633E+00
191            -8304  677887  0.2154E-01  0.4743E+01  0.2977E+02  0.3451E+02  0.1677E+00
191            -8304  672887  0.2490E-01 -0.4267E+02  0.2881E+02 -0.1386E+02  0.1581E+00
191            -8221  667893  0.2579E-01 -0.4246E+02  0.2927E+02 -0.1319E+02  0.1601E+00
191            -7972  662945  0.2657E-01 -0.4197E+02  0.2957E+02 -0.1240E+02  0.1615E+00
191            -7639  657982  0.2738E-01 -0.4127E+02  0.2986E+02 -0.1141E+02  0.1628E+00
191            -7675  654994  0.2792E-01 -0.4013E+02  0.3002E+02 -0.1011E+02  0.1634E+00
190            -1693  754909  0.1445E-01  0.3613E+01  0.2400E+02  0.2761E+02  0.1355E+00
190            -2454  749971  0.1466E-01  0.3660E+01  0.2426E+02  0.2792E+02  0.1370E+00
190            -3117  745178  0.1490E-01  0.3707E+01  0.2452E+02  0.2823E+02  0.1385E+00
190            -3716  740305  0.1523E-01  0.3760E+01  0.2478E+02  0.2854E+02  0.1399E+00
190            -3974  735387  0.1550E-01  0.3811E+01  0.2504E+02  0.2885E+02  0.1415E+00
190            -3974  730387  0.1574E-01  0.3855E+01  0.2528E+02  0.2914E+02  0.1429E+00
190            -4987  726348  0.1604E-01  0.3908E+01  0.2556E+02  0.2946E+02  0.1443E+00
191            -4038  703250  0.1785E-01  0.4187E+01  0.2696E+02  0.3115E+02  0.1521E+00
191            -3974  700387  0.1810E-01  0.4229E+01  0.2717E+02  0.3140E+02  0.1534E+00
191            -3974  695387  0.1863E-01  0.4309E+01  0.2757E+02  0.3188E+02  0.1557E+00
191            -3974  690387  0.1922E-01  0.4402E+01  0.2809E+02  0.3249E+02  0.1586E+00
191            -3974  685387  0.1985E-01  0.4499E+01  0.2865E+02  0.3315E+02  0.1618E+00
191            -3974  680387  0.2086E-01  0.4635E+01  0.2943E+02  0.3406E+02  0.1657E+00
191            -3974  675387  0.2175E-01  0.4762E+01  0.3020E+02  0.3496E+02  0.1697E+00
191            -3974  670387  0.2509E-01 -0.4225E+02  0.2914E+02 -0.1311E+02  0.1595E+00
191            -3974  665387  0.2589E-01 -0.4187E+02  0.2952E+02 -0.1236E+02  0.1612E+00
191            -3974  660387  0.2679E-01 -0.4143E+02  0.2985E+02 -0.1158E+02  0.1625E+00
191            -3947  656007  0.2747E-01 -0.4065E+02  0.3011E+02 -0.1054E+02  0.1637E+00
190             2957  772655  0.1361E-01  0.3446E+01  0.2302E+02  0.2646E+02  0.1300E+00
190             2050  767368  0.1379E-01  0.3485E+01  0.2328E+02  0.2676E+02  0.1315E+00
190             1369  762644  0.1399E-01  0.3528E+01  0.2352E+02  0.2705E+02  0.1330E+00
190              731  757769  0.1422E-01  0.3567E+01  0.2377E+02  0.2734E+02  0.1343E+00
190              357  752887  0.1439E-01  0.3606E+01  0.2400E+02  0.2761E+02  0.1356E+00
190              356  747887  0.1456E-01  0.3647E+01  0.2425E+02  0.2789E+02  0.1371E+00
190              356  742887  0.1479E-01  0.3690E+01  0.2448E+02  0.2817E+02  0.1384E+00
190              356  737887  0.1503E-01  0.3733E+01  0.2472E+02  0.2845E+02  0.1397E+00
190               41  733157  0.1528E-01  0.3778E+01  0.2497E+02  0.2875E+02  0.1412E+00
190            -1291  729422  0.1555E-01  0.3829E+01  0.2522E+02  0.2905E+02  0.1427E+00
191              331  702076  0.1761E-01  0.4150E+01  0.2694E+02  0.3109E+02  0.1521E+00
191              356  697887  0.1796E-01  0.4210E+01  0.2727E+02  0.3148E+02  0.1541E+00
191              356  692887  0.1857E-01  0.4299E+01  0.2774E+02  0.3204E+02  0.1567E+00
191              356  687887  0.1919E-01  0.4397E+01  0.2833E+02  0.3273E+02  0.1600E+00
191              356  682887  0.2001E-01  0.4510E+01  0.2898E+02  0.3349E+02  0.1633E+00
191              356  677887  0.2095E-01  0.4644E+01  0.2984E+02  0.3448E+02  0.1677E+00
191              356  672887  0.2432E-01 -0.3996E+02  0.2892E+02 -0.1104E+02  0.1584E+00
191              356  667887  0.2520E-01 -0.3965E+02  0.2942E+02 -0.1023E+02  0.1605E+00
191              356  662887  0.2598E-01 -0.3908E+02  0.2977E+02 -0.9316E+01  0.1621E+00
191              356  657887  0.2679E-01 -0.3861E+02  0.3007E+02 -0.8534E+01  0.1634E+00
191              431  654767  0.2727E-01 -0.3743E+02  0.3026E+02 -0.7176E+01  0.1643E+00
159             1788  395449  0.1124E+00 -0.8020E+00  0.4069E+02  0.3989E+02  0.2054E+00
159             1739  393617  0.1160E+00 -0.1314E+00  0.4096E+02  0.4083E+02  0.2049E+00
190             6587  784792  0.1311E-01  0.3342E+01  0.2234E+02  0.2568E+02  0.1263E+00
190             5898  780094  0.1326E-01  0.3377E+01  0.2257E+02  0.2595E+02  0.1276E+00
190             5229  775224  0.1342E-01  0.3411E+01  0.2279E+02  0.2621E+02  0.1289E+00
190             4736  770381  0.1359E-01  0.3445E+01  0.2304E+02  0.2649E+02  0.1302E+00
190             4686  765387  0.1372E-01  0.3476E+01  0.2327E+02  0.2674E+02  0.1315E+00
