x	y	tot_dep-mol~ha~y
-13625	716559	128.23
-12679	703413	130.66
-12290	700436	131.22
-12027	695458	132.18
-11789	720123	127.45
-11751	690473	133.02
-11473	685496	134.05
-11188	680535	135.01
-10893	724690	126.48
-10885	675621	135.93
-10543	670662	131.42
-10083	665526	132.16
-9853	719931	127.39
-8758	723288	126.67
-8325	702221	130.74
-8304	672887	130.98
-8304	677887	135.53
-8304	682887	134.52
-8304	687887	133.4
-8304	692887	132.48
-8304	697887	131.56
-8221	667893	131.81
-8099	727808	125.72
-7972	662945	132.64
-7675	654994	133.97
-7639	657982	133.47
-7328	732560	124.99
-6444	737142	124.04
-4987	726348	125.9
-4038	703250	130.29
-3974	660387	132.96
-3974	665387	132.11
-3974	670387	131.25
-3974	675387	135.74
-3974	680387	134.83
-3974	685387	133.73
-3974	690387	132.66
-3974	695387	131.85
-3974	700387	130.84
-3974	730387	125.2
-3974	735387	124.28
-3947	656007	133.7
-3716	740305	123.35
-3117	745178	122.38
-2454	749971	121.55
-1693	754909	120.58
-1291	729422	125.14
41	733157	124.49
331	702076	130.32
356	657887	133.21
356	662887	132.4
356	667887	131.53
356	672887	130.62
356	677887	135.02
356	682887	134.05
356	687887	132.96
356	692887	132.08
356	697887	131.14
356	737887	123.58
356	742887	122.66
356	747887	121.84
357	752887	120.87
431	654767	133.72
731	757769	119.99
1369	762644	119.06
1739	393617	174.81
1788	395449	174.62
2050	767368	118.183
2957	772655	117.212
3854	736202	123.79
4610	703102	129.89
4686	660387	132.66
4686	665387	131.79
4686	670387	130.94
4686	675387	135.35
4686	680387	134.33
4686	685387	133.27
4686	690387	132.43
4686	695387	131.38
4686	700387	130.45
4686	740387	122.96
4686	745387	122.14
4686	750387	121.17
4686	755387	120.25
4686	760387	119.37
4686	765387	118.466
4703	655817	133.42
4736	770381	117.6
4829	395187	175.29
5229	775224	116.674
5252	391155	176.05
5898	780094	115.794
6076	398315	174.46
6587	784792	114.889
7490	739197	123.03
8258	397105	175.13
8836	743046	122.39
8982	701934	129.92
9017	392887	176.04
9017	657887	132.89
9017	662887	132.05
9017	667887	131.21
9017	672887	130.33
9017	677887	134.64
9017	682887	133.61
9017	687887	132.72
9017	692887	131.69
9017	697887	130.73
9017	747887	121.48
9017	752887	120.52
9017	757887	119.58
9017	762887	118.71
9017	767887	117.809
9017	772887	116.947
9017	777887	116.056
9017	782887	115.194
9083	654534	133.45
9181	787844	114.318
9439	388410	177.36
9753	792686	113.56
9920	398644	175.04
10368	401463	173.38
10446	797499	112.693
11165	383841	177.96
11196	802308	111.924
12671	746041	121.67
13114	394093	175.5
13175	702963	129.68
13347	385387	177.85
13347	390387	176.27
13347	400387	174.09
13347	660387	132.35
13347	665387	131.51
13347	670387	130.64
13347	675387	134.95
13347	680387	133.88
13347	685387	133.06
13347	690387	132.04
13347	695387	131.06
13347	700387	130.25
13347	750387	120.84
13347	755387	119.92
13347	760387	118.99
13347	765387	118.12
13347	770387	117.292
13347	775387	116.383
13347	780387	115.534
13347	785387	114.653
13347	790387	113.801
13347	795387	113.026
13347	800387	112.194
13357	655652	133.13
13505	396267	175.03
13650	381070	179.72
13690	805277	111.418
14115	377876	220
14230	404300	173.33
14334	810143	110.777
14673	377099	220.37
14704	378110	183.55
14841	375339	256.61
15028	377977	245.46
15028	814864	110.036
15206	379836	179.98
15584	383578	178.69
15953	820155	109.125
16337	749049	120.99
16397	388266	177.26
17107	392827	175.87
17180	657902	132.57
17245	662902	131.71
17257	654361	133.12
17309	667900	130.88
17369	672897	130.03
17424	677894	134.22
17475	379724	214.55
17481	682893	133.27
17538	687890	132.29
17586	692888	131.35
17612	701776	129.79
17621	752950	120.22
17625	697887	130.52
17675	397888	174.72
17677	395108	175.43
17677	402887	173.96
17677	757887	119.31
17677	762887	118.44
17677	767887	117.53
17677	772887	116.695
17677	777887	115.85
17677	782887	114.997
17677	787887	114.188
17677	792887	113.341
17677	797887	112.504
17677	802887	111.818
17677	807887	111.058
17677	812887	110.284
17726	817881	109.5
17869	382823	179.52
18195	407429	173.12
18231	822719	108.629
18544	387630	177.88
18902	827592	107.788
19186	670392	130.43
19208	410811	172.36
19271	675398	134.65
19331	392307	176.35
19357	680408	133.73
19436	394843	202.26
19470	685422	132.72
19583	690434	131.76
19588	832293	107.092
19696	695445	130.74
19809	700455	129.96
20291	393622	213.02
20530	752740	120.19
20554	397117	180.29
21473	755873	119.6
21503	381457	180.49
21713	390085	177.57
21932	400503	174.84
22007	385387	179.33
22007	405387	174.1
22007	760387	118.77
22007	765387	117.87
22007	770387	117.02
22007	775387	116.221
22007	780387	115.308
22007	785387	114.486
22007	790387	113.663
22007	795387	112.94
22007	800387	112.14
22007	805387	111.387
22007	810387	110.559
22007	815387	109.782
22007	820387	108.931
22007	825387	108.121
22007	830387	107.362
22028	410359	172.88
22365	834942	106.646
23239	372035	288.75
23263	414250	171.98
24197	399263	244.69
24359	372144	249.33
25090	400050	191.09
25205	758919	118.92
25331	386908	179.09
25702	399767	271.41
26268	403006	174.88
26335	762890	118.18
26337	407887	173.88
26337	412887	172.62
26337	767887	117.37
26337	772887	116.52
26337	777887	115.652
26337	782887	114.799
26337	787887	114.101
26337	792887	113.285
26337	797887	112.464
26337	802887	111.644
26337	807887	110.884
26337	812887	110.149
26337	817887	109.275
26337	822887	108.475
26337	827887	107.716
26337	832887	106.946
26403	383195	181.8
26530	837631	106.269
26979	417269	171.69
27504	400902	269.42
27713	840657	105.803
29063	762192	118.27
30101	401277	257.45
30274	765728	117.62
30638	384134	182.26
30667	405387	175.17
30667	410387	174.06
30667	415387	172.7
30667	770387	116.91
30667	775387	115.972
30667	780387	115.222
30667	785387	114.396
30667	790387	113.617
30667	795387	112.824
30667	800387	112.022
30667	805387	111.228
30667	810387	110.439
30667	815387	109.622
30667	820387	108.808
30667	825387	108.059
30667	830387	107.33
30667	835387	106.633
30742	840276	105.878
30833	420218	171.35
30899	380739	184.09
30905	402310	181.21
31961	843490	105.395
32080	423626	170.24
33117	401230	190.13
33166	399584	199.14
33229	400389	179.77
33848	400874	179.7
34068	768787	117.11
34608	403458	176
34743	386048	232.34
34870	412876	174.09
34997	382887	184.25
34997	407887	175.88
34997	417887	172.45
34997	772887	116.48
34997	777887	115.589
34997	782887	114.736
34997	787887	113.952
34997	792887	113.173
34997	797887	112.352
34997	802887	111.564
34997	807887	110.771
34997	812887	110.014
34997	817887	109.239
34997	822887	108.438
34997	827887	107.669
34997	832887	106.974
34997	837887	106.269
35000	422883	171.01
35010	842866	105.563
35182	378670	186.14
35388	398253	187.42
36074	426389	169.83
36196	846311	105.109
37072	394212	201.9
37326	403144	177.21
37332	413092	242.98
37718	771805	116.61
37759	406681	190.03
37821	384020	193.02
38142	409556	176.15
38177	416755	222.51
