name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
190           -10893  724690  0.1233E-03  0.1793E-01  0.6778E-01  0.8571E-01  0.7303E-03
190           -11789  720123  0.1303E-03  0.1877E-01  0.6907E-01  0.8784E-01  0.7595E-03
190           -13625  716559  0.1354E-03  0.1944E-01  0.6946E-01  0.8889E-01  0.7814E-03
191           -12679  703413  0.1626E-03  0.2276E-01  0.7412E-01  0.9688E-01  0.8901E-03
191           -12290  700436  0.1697E-03  0.2361E-01  0.7522E-01  0.9883E-01  0.9170E-03
191           -12027  695458  0.1821E-03  0.2501E-01  0.7688E-01  0.1019E+00  0.9609E-03
191           -11751  690473  0.1968E-03  0.2666E-01  0.7875E-01  0.1054E+00  0.1010E-02
191           -11473  685496  0.2108E-03  0.2824E-01  0.8088E-01  0.1091E+00  0.1060E-02
191           -11188  680535  0.2273E-03  0.3010E-01  0.8336E-01  0.1135E+00  0.1116E-02
191           -10885  675621  0.2451E-03  0.3207E-01  0.8589E-01  0.1180E+00  0.1176E-02
191           -10543  670662  0.3149E-03 -0.4712E+00  0.8465E-01 -0.3866E+00  0.1156E-02
191           -10083  665526  0.3338E-03 -0.4862E+00  0.8652E-01 -0.3997E+00  0.1193E-02
190            -6444  737142  0.1086E-03  0.1601E-01  0.6541E-01  0.8142E-01  0.6639E-03
190            -7328  732560  0.1145E-03  0.1673E-01  0.6668E-01  0.8341E-01  0.6881E-03
190            -8099  727808  0.1214E-03  0.1757E-01  0.6786E-01  0.8543E-01  0.7132E-03
190            -8758  723288  0.1281E-03  0.1845E-01  0.6903E-01  0.8748E-01  0.7435E-03
190            -9853  719931  0.1321E-03  0.1899E-01  0.6981E-01  0.8880E-01  0.7650E-03
191            -8325  702221  0.1695E-03  0.2350E-01  0.7619E-01  0.9969E-01  0.9076E-03
191            -8304  697887  0.1801E-03  0.2475E-01  0.7765E-01  0.1024E+00  0.9489E-03
191            -8304  692887  0.1944E-03  0.2633E-01  0.7954E-01  0.1059E+00  0.9961E-03
191            -8304  687887  0.2085E-03  0.2800E-01  0.8120E-01  0.1092E+00  0.1048E-02
191            -8304  682887  0.2248E-03  0.2972E-01  0.8351E-01  0.1132E+00  0.1099E-02
191            -8304  677887  0.2431E-03  0.3176E-01  0.8618E-01  0.1179E+00  0.1163E-02
191            -8304  672887  0.3119E-03 -0.4579E+00  0.8494E-01 -0.3730E+00  0.1150E-02
191            -8221  667893  0.3301E-03 -0.4706E+00  0.8660E-01 -0.3840E+00  0.1185E-02
191            -7972  662945  0.3506E-03 -0.4852E+00  0.8843E-01 -0.3967E+00  0.1221E-02
191            -7639  657982  0.3701E-03 -0.4950E+00  0.9033E-01 -0.4047E+00  0.1253E-02
191            -7675  654994  0.3821E-03 -0.4913E+00  0.9130E-01 -0.4000E+00  0.1267E-02
190            -1693  754909  0.9033E-04  0.1386E-01  0.6152E-01  0.7538E-01  0.5885E-03
190            -2454  749971  0.9603E-04  0.1454E-01  0.6281E-01  0.7735E-01  0.6110E-03
190            -3117  745178  0.1013E-03  0.1519E-01  0.6395E-01  0.7914E-01  0.6320E-03
190            -3716  740305  0.1068E-03  0.1582E-01  0.6518E-01  0.8099E-01  0.6533E-03
190            -3974  735387  0.1131E-03  0.1658E-01  0.6679E-01  0.8337E-01  0.6796E-03
190            -3974  730387  0.1205E-03  0.1742E-01  0.6846E-01  0.8588E-01  0.7062E-03
190            -4987  726348  0.1257E-03  0.1811E-01  0.6944E-01  0.8756E-01  0.7305E-03
191            -4038  703250  0.1723E-03  0.2372E-01  0.7759E-01  0.1013E+00  0.9082E-03
191            -3974  700387  0.1794E-03  0.2455E-01  0.7865E-01  0.1032E+00  0.9347E-03
191            -3974  695387  0.1930E-03  0.2608E-01  0.8034E-01  0.1064E+00  0.9807E-03
191            -3974  690387  0.2085E-03  0.2776E-01  0.8223E-01  0.1100E+00  0.1031E-02
191            -3974  685387  0.2236E-03  0.2955E-01  0.8416E-01  0.1137E+00  0.1088E-02
191            -3974  680387  0.2415E-03  0.3146E-01  0.8669E-01  0.1181E+00  0.1144E-02
191            -3974  675387  0.2611E-03  0.3359E-01  0.8916E-01  0.1227E+00  0.1204E-02
191            -3974  670387  0.3335E-03 -0.4835E+00  0.8763E-01 -0.3959E+00  0.1182E-02
191            -3974  665387  0.3529E-03 -0.4974E+00  0.8929E-01 -0.4081E+00  0.1217E-02
191            -3974  660387  0.3731E-03 -0.5089E+00  0.9110E-01 -0.4178E+00  0.1252E-02
191            -3947  656007  0.3905E-03 -0.5154E+00  0.9262E-01 -0.4228E+00  0.1279E-02
190             2957  772655  0.7581E-04  0.1222E-01  0.5780E-01  0.7002E-01  0.5314E-03
190             2050  767368  0.8060E-04  0.1277E-01  0.5902E-01  0.7179E-01  0.5504E-03
190             1369  762644  0.8461E-04  0.1334E-01  0.6006E-01  0.7340E-01  0.5703E-03
190              731  757769  0.8893E-04  0.1375E-01  0.6135E-01  0.7510E-01  0.5837E-03
190              357  752887  0.9415E-04  0.1432E-01  0.6280E-01  0.7712E-01  0.6026E-03
190              356  747887  0.1006E-03  0.1510E-01  0.6429E-01  0.7939E-01  0.6271E-03
190              356  742887  0.1068E-03  0.1583E-01  0.6571E-01  0.8154E-01  0.6499E-03
190              356  737887  0.1134E-03  0.1662E-01  0.6733E-01  0.8394E-01  0.6761E-03
190               41  733157  0.1206E-03  0.1747E-01  0.6888E-01  0.8635E-01  0.7033E-03
190            -1291  729422  0.1247E-03  0.1789E-01  0.6968E-01  0.8758E-01  0.7172E-03
191              331  702076  0.1811E-03  0.2465E-01  0.7985E-01  0.1045E+00  0.9307E-03
191              356  697887  0.1918E-03  0.2584E-01  0.8126E-01  0.1071E+00  0.9673E-03
