x	y	tot_dep
-13625	716559	0.77919
-12679	703413	0.85938
-12290	700436	0.87963
-12027	695458	0.9153
-11789	720123	0.76994
-11751	690473	0.9502
-11473	685496	0.9883
-11188	680535	1.0352
-10893	724690	0.75091
-10885	675621	1.0698
-10543	670662	-0.8842
-10083	665526	-0.9376
-9853	719931	0.7801
-8758	723288	0.76788
-8325	702221	0.88989
-8304	672887	-0.8329
-8304	677887	1.0725
-8304	682887	1.0328
-8304	687887	0.9879
-8304	692887	0.9545
-8304	697887	0.9192
-8221	667893	-0.8709
-8099	727808	0.74933
-7972	662945	-0.9136
-7675	654994	-0.923
-7639	657982	-0.9464
-7328	732560	0.73001
-6444	737142	0.71332
-4987	726348	0.77096
-4038	703250	0.9077
-3974	660387	-0.9943
-3974	665387	-0.9577
-3974	670387	-0.9105
-3974	675387	1.1193
-3974	680387	1.0832
-3974	685387	1.0364
-3974	690387	0.9975
-3974	695387	0.9622
-3974	700387	0.9262
-3974	730387	0.75618
-3974	735387	0.73207
-3947	656007	-1.021
-3716	740305	0.71169
-3117	745178	0.69384
-2454	749971	0.67655
-1693	754909	0.65988
-1291	729422	0.77368
41	733157	0.76175
331	702076	0.9409
356	657887	-0.9807
356	662887	-0.938
356	667887	-0.8976
356	672887	-0.8628
356	677887	1.1334
356	682887	1.0908
356	687887	1.0431
356	692887	1.0079
356	697887	0.9707
356	737887	0.74094
356	742887	0.71914
356	747887	0.69749
357	752887	0.67652
431	654767	-0.965
731	757769	0.6587
1369	762644	0.6435
1739	393617	1.6316
1788	395449	1.43051
2050	767368	0.62829
2957	772655	0.61242
3854	736202	0.76574
4610	703102	0.9614
4686	660387	-1.0765
4686	665387	-1.0301
4686	670387	-0.9827
4686	675387	1.1833
4686	680387	1.1451
4686	685387	1.0959
4686	690387	1.0546
4686	695387	1.0183
4686	700387	0.9803
4686	740387	0.75037
4686	745387	0.72788
4686	750387	0.70569
4686	755387	0.68406
4686	760387	0.66476
4686	765387	0.64584
4703	655817	-1.1129
4736	770381	0.62652
4829	395187	1.6548
5229	775224	0.61048
5252	391155	2.1621
5898	780094	0.59612
6076	398315	1.51722
6587	784792	0.58353
7490	739197	0.76951
8258	397105	1.79
8836	743046	0.7584
8982	701934	0.999
9017	392887	2.4374
9017	657887	-1.057
9017	662887	-1.0094
9017	667887	-0.9588
9017	672887	-0.9154
9017	677887	1.1994
9017	682887	1.1561
9017	687887	1.1059
9017	692887	1.0693
9017	697887	1.0303
9017	747887	0.7362
9017	752887	0.71331
9017	757887	0.69185
9017	762887	0.67217
9017	767887	0.65213
9017	772887	0.63282
9017	777887	0.61411
9017	782887	0.59726
9083	654534	-1.0498
9181	787844	0.58134
9439	388410	2.8902
9753	792686	0.56645
9920	398644	1.7962
10368	401463	2.6309
10446	797499	0.55216
11165	383841	4.3163
11196	802308	0.53893
12671	746041	0.76196
13114	394093	3.6706
13175	702963	1.0223
13347	385387	4.4404
13347	390387	4.0222
13347	400387	3.0815
13347	660387	-1.0951
13347	665387	-1.0377
13347	670387	-0.9893
13347	675387	1.2559
13347	680387	1.2171
13347	685387	1.1654
13347	690387	1.1223
13347	695387	1.0829
13347	700387	1.0419
13347	750387	0.74434
13347	755387	0.72051
13347	760387	0.69972
13347	765387	0.67905
13347	770387	0.65797
13347	775387	0.63753
13347	780387	0.61883
13347	785387	0.60159
13347	790387	0.58457
13347	795387	0.567
13347	800387	0.55025
13357	655652	-1.1345
13505	396267	3.4388
13650	381070	5.0087
13690	805277	0.53629
14115	377876	20.2274
14230	404300	2.7778
14334	810143	0.51638
14673	377099	31.3273
14704	378110	9.2325
14841	375339	28.5139
15028	377977	49.7524
15028	814864	0.50511
