x	y	tot_dep
-13625	716559	0.242208
-12679	703413	0.254774
-12290	700436	0.25794
-12027	695458	0.263322
-11789	720123	0.241595
-11751	690473	0.268854
-11473	685496	0.274741
-11188	680535	0.281234
-10893	724690	0.239011
-10885	675621	0.287708
-10543	670662	0.277379
-10083	665526	0.284145
-9853	719931	0.243906
-8758	723288	0.242528
-8325	702221	0.260955
-8304	672887	0.277553
-8304	677887	0.288194
-8304	682887	0.282035
-8304	687887	0.276016
-8304	692887	0.270503
-8304	697887	0.265274
-8221	667893	0.283704
-8099	727808	0.240058
-7972	662945	0.290146
-7675	654994	0.300917
-7639	657982	0.297002
-7328	732560	0.237403
-6444	737142	0.235235
-4987	726348	0.244733
-4038	703250	0.265484
-3974	660387	0.299204
-3974	665387	0.292671
-3974	670387	0.286379
-3974	675387	0.297474
-3974	680387	0.290982
-3974	685387	0.28463
-3974	690387	0.278946
-3974	695387	0.273445
-3974	700387	0.268336
-3974	730387	0.242899
-3974	735387	0.239145
-3947	656007	0.30514
-3716	740305	0.236036
-3117	745178	0.233436
-2454	749971	0.231038
-1693	754909	0.228851
-1291	729422	0.246707
41	733157	0.245598
331	702076	0.272469
356	657887	0.309212
356	662887	0.302163
356	667887	0.295851
356	672887	0.289682
356	677887	0.300465
356	682887	0.294073
356	687887	0.287732
356	692887	0.28216
356	697887	0.27675
356	737887	0.242513
356	742887	0.239033
356	747887	0.235665
357	752887	0.232389
431	654767	0.313691
731	757769	0.229759
1369	762644	0.227218
1739	393617	0.797797
1788	395449	0.798945
2050	767368	0.225004
2957	772655	0.222707
3854	736202	0.247969
4610	703102	0.277574
4686	660387	0.312522
4686	665387	0.305807
4686	670387	0.299437
4686	675387	0.310573
4686	680387	0.303838
4686	685387	0.297306
4686	690387	0.29136
4686	695387	0.285746
4686	700387	0.280395
4686	740387	0.245905
4686	745387	0.242426
4686	750387	0.239009
4686	755387	0.235588
4686	760387	0.232353
4686	765387	0.228997
4703	655817	0.319125
4736	770381	0.225912
4829	395187	0.829796
5229	775224	0.223505
5252	391155	0.832659
5898	780094	0.221251
6076	398315	0.843103
6587	784792	0.219158
7490	739197	0.25031
8258	397105	0.868154
8836	743046	0.249196
8982	701934	0.285258
9017	392887	0.878238
9017	657887	0.323406
9017	662887	0.316338
9017	667887	0.309707
9017	672887	0.303065
9017	677887	0.314109
9017	682887	0.307527
9017	687887	0.301206
9017	692887	0.29537
9017	697887	0.289706
9017	747887	0.24594
9017	752887	0.24226
9017	757887	0.238801
9017	762887	0.235373
9017	767887	0.232028
9017	772887	0.228792
9017	777887	0.225557
9017	782887	0.222484
9083	654534	0.328422
9181	787844	0.219756
9439	388410	0.88514
9753	792686	0.217533
9920	398644	0.888701
10368	401463	0.884624
10446	797499	0.215351
11165	383841	0.908761
11196	802308	0.213116
12671	746041	0.251742
13114	394093	0.929419
13175	702963	0.290857
13347	385387	0.948263
13347	390387	0.936162
13347	400387	0.924673
13347	660387	0.327678
13347	665387	0.320571
13347	670387	0.313738
13347	675387	0.325207
13347	680387	0.318412
13347	685387	0.311758
13347	690387	0.305447
13347	695387	0.299593
13347	700387	0.29388
13347	750387	0.249201
13347	755387	0.245593
13347	760387	0.241984
13347	765387	0.238426
13347	770387	0.23503
13347	775387	0.231481
13347	780387	0.228175
13347	785387	0.225123
13347	790387	0.222122
13347	795387	0.219111
13347	800387	0.216058
13357	655652	0.334724
13505	396267	0.932848
13650	381070	0.970008
13690	805277	0.213641
14115	377876	1.35404
14230	404300	0.933998
14334	810143	0.211126
14673	377099	1.43428
14704	378110	1.12599
14841	375339	1.76972
15028	377977	2.11999
15028	814864	0.208994
15206	379836	1.04688
15584	383578	1.00411
15953	820155	0.206791
16337	749049	0.253952
16397	388266	1.00391
17107	392827	1.02049
17180	657902	0.338736
17245	662902	0.331306
17257	654361	0.344253
17309	667900	0.324372
17369	672897	0.317871
17424	677894	0.329429
17475	379724	1.42151
17481	682893	0.322716
17538	687890	0.31598
17586	692888	0.309914
17612	701776	0.299491
17621	752950	0.252505
17625	697887	0.303939
17675	397888	1.01325
17677	395108	1.04472
17677	402887	0.988823
17677	757887	0.248776
17677	762887	0.245058
17677	767887	0.241408
17677	772887	0.237798
17677	777887	0.23422
17677	782887	0.230885
17677	787887	0.227671
17677	792887	0.224579
17677	797887	0.221385
17677	802887	0.218272
17677	807887	0.215211
17677	812887	0.21238
17726	817881	0.20946
17869	382823	1.0646
18195	407429	0.98697
18231	822719	0.207146
18544	387630	1.05778
18902	827592	0.204883
19186	670392	0.324698
19208	410811	0.997005
19271	675398	0.336581
19331	392307	1.08621
19357	680408	0.329695
19436	394843	1.70398
19470	685422	0.322767
19583	690434	0.316561
19588	832293	0.202772
19696	695445	0.310414
19809	700455	0.304743
20291	393622	1.53222
20530	752740	0.256215
20554	397117	1.19894
21473	755873	0.254851
21503	381457	1.16876
21713	390085	1.16815
21932	400503	1.10148
22007	385387	1.17726
22007	405387	1.06026
22007	760387	0.25192
22007	765387	0.247968
22007	770387	0.244197
22007	775387	0.240488
22007	780387	0.236951
22007	785387	0.233545
22007	790387	0.230127
22007	795387	0.226661
22007	800387	0.223528
22007	805387	0.220407
22007	810387	0.217415
22007	815387	0.214463
22007	820387	0.211423
22007	825387	0.208603
22007	830387	0.205683
22028	410359	1.04249
22365	834942	0.203431
23239	372035	4.70143
23263	414250	1.05394
24197	399263	2.43496
24359	372144	2.44142
25090	400050	1.45923
25205	758919	0.256843
