x	y	tot_dep
-13625	716559	0.0031589
-12679	703413	0.0034347
-12290	700436	0.0035454
-12027	695458	0.0036561
-11789	720123	0.0030856
-11751	690473	0.0037674
-11473	685496	0.0039073
-11188	680535	0.0041187
-10893	724690	0.0030469
-10885	675621	0.0040953
-10543	670662	-0.0142635
-10083	665526	-0.0144426
-9853	719931	0.0031627
-8758	723288	0.0030974
-8325	702221	0.0035624
-8304	672887	-0.0139527
-8304	677887	0.0042498
-8304	682887	0.004108
-8304	687887	0.0039289
-8304	692887	0.0038196
-8304	697887	0.0036859
-8221	667893	-0.0139928
-8099	727808	0.0029996
-7972	662945	-0.0150361
-7675	654994	-0.0156261
-7639	657982	-0.0157741
-7328	732560	0.0029597
-6444	737142	0.0028764
-4987	726348	0.003098
-4038	703250	0.0036468
-3974	660387	-0.0169141
-3974	665387	-0.0149221
-3974	670387	-0.014932
-3974	675387	0.0044891
-3974	680387	0.0042786
-3974	685387	0.0041455
-3974	690387	0.0039817
-3974	695387	0.003854
-3974	700387	0.0037103
-3974	730387	0.003042
-3974	735387	0.0029556
-3947	656007	-0.016631
-3716	740305	0.0028594
-3117	745178	0.0027731
-2454	749971	0.0027534
-1693	754909	0.0027437
-1291	729422	0.0031046
41	733157	0.0030677
331	702076	0.0037649
356	657887	-0.016866
356	662887	-0.0160334
356	667887	-0.0154358
356	672887	-0.0154127
356	677887	0.0045163
356	682887	0.0043282
356	687887	0.0041769
356	692887	0.0040661
356	697887	0.0038846
356	737887	0.0029722
356	742887	0.0028546
356	747887	0.0028325
357	752887	0.0027543
431	654767	-0.0165299
731	757769	0.0027757
1369	762644	0.0028067
1739	393617	0.0045919
1788	395449	0.0040997
2050	767368	0.0028241
2957	772655	0.0028272
3854	736202	0.0030658
4610	703102	0.0038636
4686	660387	-0.0172099
4686	665387	-0.016538
4686	670387	-0.0164299
4686	675387	0.0047342
4686	680387	0.0045644
4686	685387	0.0043997
4686	690387	0.0041996
4686	695387	0.0040571
4686	700387	0.0039259
4686	740387	0.0029644
4686	745387	0.0029357
4686	750387	0.0028918
4686	755387	0.0028907
4686	760387	0.0028973
4686	765387	0.0028672
4703	655817	-0.0180372
4736	770381	0.0028851
4829	395187	0.0044662
5229	775224	0.0028701
5252	391155	0.0054065
5898	780094	0.0028686
6076	398315	0.0041835
6587	784792	0.0028626
7490	739197	0.003027
8258	397105	0.0046606
8836	743046	0.0030581
8982	701934	0.0039965
9017	392887	0.006118
9017	657887	-0.0177432
9017	662887	-0.0170485
9017	667887	-0.0170357
9017	672887	-0.0148816
9017	677887	0.0047489
9017	682887	0.00459
9017	687887	0.0044166
9017	692887	0.0042818
9017	697887	0.004091
9017	747887	0.0030179
9017	752887	0.0030004
9017	757887	0.0030001
9017	762887	0.0029734
9017	767887	0.0029846
9017	772887	0.0029357
9017	777887	0.0029235
9017	782887	0.0029264
9083	654534	-0.0172531
9181	787844	0.0028879
9439	388410	0.0071439
9753	792686	0.0028554
9920	398644	0.0047104
10368	401463	0.0063736
10446	797499	0.0028251
11165	383841	0.0101865
11196	802308	0.0027964
12671	746041	0.0031209
13114	394093	0.0086226
13175	702963	0.0040479
13347	385387	0.0101664
13347	390387	0.0093138
13347	400387	0.0072436
13347	660387	-0.0178918
13347	665387	-0.017926
13347	670387	-0.015557
13347	675387	0.0050075
13347	680387	0.0048231
13347	685387	0.0046793
13347	690387	0.0044556
13347	695387	0.0042797
13347	700387	0.0041204
13347	750387	0.0031086
13347	755387	0.003107
13347	760387	0.0031125
13347	765387	0.0030643
13347	770387	0.0030734
13347	775387	0.0030255
13347	780387	0.0030084
13347	785387	0.00298
13347	790387	0.0029333
13347	795387	0.0028849
13347	800387	0.0028594
13357	655652	-0.0186311
13505	396267	0.0079568
13650	381070	0.0107204
13690	805277	0.0028231
14115	377876	0.0159275
14230	404300	0.0065735
14334	810143	0.0027177
14673	377099	0.0159031
14704	378110	0.0116769
14841	375339	0.019667
15028	377977	0.0201242
15028	814864	0.0026765
15206	379836	0.0111932
15584	383578	0.0106808
15953	820155	0.0026406
16337	749049	0.0031845
16397	388266	0.0103257
17107	392827	0.0098434
17180	657902	-0.0178015
17245	662902	-0.0178572
17257	654361	-0.0180135
17309	667900	-0.0179641
17369	672897	-0.0158696
17424	677894	0.0050341
17475	379724	0.015481
17481	682893	0.0048419
17538	687890	0.0046818
17586	692888	0.0045222
