x	y	tot_dep
-13625	716559	1.0063
-12679	703413	1.09289
-12290	700436	1.10781
-12027	695458	1.13085
-11789	720123	1.00349
-11751	690473	1.15188
-11473	685496	1.19292
-11188	680535	1.23355
-10893	724690	0.991264
-10885	675621	1.26259
-10543	670662	1.15978
-10083	665526	1.21621
-9853	719931	1.0181
-8758	723288	1.01188
-8325	702221	1.15152
-8304	672887	1.16408
-8304	677887	1.28719
-8304	682887	1.25366
-8304	687887	1.20872
-8304	692887	1.18359
-8304	697887	1.15955
-8221	667893	1.22131
-8099	727808	0.994366
-7972	662945	1.26213
-7675	654994	1.46111
-7639	657982	1.32915
-7328	732560	0.975552
-6444	737142	0.959238
-4987	726348	1.02999
-4038	703250	1.19224
-3974	660387	1.35058
-3974	665387	1.31056
-3974	670387	1.23842
-3974	675387	1.37084
-3974	680387	1.3358
-3974	685387	1.28857
-3974	690387	1.25363
-3974	695387	1.2214
-3974	700387	1.19936
-3974	730387	1.01448
-3974	735387	0.984658
-3947	656007	1.45449
-3716	740305	0.966139
-3117	745178	0.95462
-2454	749971	0.937503
-1693	754909	0.926087
-1291	729422	1.0413
41	733157	1.03589
331	702076	1.22748
356	657887	1.50263
356	662887	1.40941
356	667887	1.33627
356	672887	1.29104
356	677887	1.41875
356	682887	1.37661
356	687887	1.33008
356	692887	1.29354
356	697887	1.25321
356	737887	1.01427
356	742887	0.985147
356	747887	0.968327
357	752887	0.946007
431	654767	1.77913
731	757769	0.92659
1369	762644	0.913773
1739	393617	2.04873
1788	395449	2.04474
2050	767368	0.901157
2957	772655	0.887538
3854	736202	1.0525
4610	703102	1.25669
4686	660387	1.56306
4686	665387	1.47472
4686	670387	1.37619
4686	675387	1.5522
4686	680387	1.48316
4686	685387	1.42182
4686	690387	1.38429
4686	695387	1.32575
4686	700387	1.28331
4686	740387	1.03648
4686	745387	1.00566
4686	750387	0.985942
4686	755387	0.963221
4686	760387	0.941201
4686	765387	0.925079
4703	655817	1.80267
4736	770381	0.901957
4829	395187	2.10828
5229	775224	0.885336
5252	391155	2.0995
5898	780094	0.865517
6076	398315	2.1116
6587	784792	0.851298
7490	739197	1.06161
8258	397105	2.15565
8836	743046	1.059
8982	701934	1.31173
9017	392887	2.19575
9017	657887	1.6693
9017	662887	1.57427
9017	667887	1.47994
9017	672887	1.4338
9017	677887	1.62632
9017	682887	1.55448
9017	687887	1.49384
9017	692887	1.4146
9017	697887	1.35766
9017	747887	1.03228
9017	752887	1.00126
9017	757887	0.983036
9017	762887	0.961614
9017	767887	0.93399
9017	772887	0.915864
9017	777887	0.894741
9017	782887	0.872618
9083	654534	1.72862
9181	787844	0.856886
9439	388410	2.19233
9753	792686	0.847251
9920	398644	2.17818
10368	401463	2.17694
10446	797499	0.836434
11165	383841	2.35538
11196	802308	0.823214
12671	746041	1.07021
13114	394093	2.27268
13175	702963	1.35025
13347	385387	2.32551
13347	390387	2.25176
13347	400387	2.24542
13347	660387	1.67033
13347	665387	1.61009
13347	670387	1.52595
13347	675387	1.79188
13347	680387	1.75143
13347	685387	1.63709
13347	690387	1.52545
13347	695387	1.44101
13347	700387	1.37997
13347	750387	1.05259
13347	755387	1.02027
13347	760387	0.997348
13347	765387	0.973625
13347	770387	0.949898
13347	775387	0.927174
13347	780387	0.910444
13347	785387	0.890017
13347	790387	0.869272
13347	795387	0.855447
13347	800387	0.840028
13357	655652	1.72335
13505	396267	2.26429
13650	381070	2.50248
13690	805277	0.831212
14115	377876	3.40019
14230	404300	2.2243
14334	810143	0.822102
14673	377099	3.4217
14704	378110	2.60921
14841	375339	4.04693
15028	377977	3.92505
15028	814864	0.813987
15206	379836	2.56518
15584	383578	2.49032
15953	820155	0.789673
16337	749049	1.07782
16397	388266	2.31177
17107	392827	2.35581
17180	657902	1.74799
17245	662902	1.68355
17257	654361	1.7913
17309	667900	1.59311
17369	672897	1.57797
17424	677894	2.05379
17475	379724	3.31
17481	682893	1.97564
17538	687890	1.6943
17586	692888	1.57186
17612	701776	1.42039
17621	752950	1.07001
17625	697887	1.48262
17675	397888	2.34626
17677	395108	2.34854
17677	402887	2.30248
17677	757887	1.04559
17677	762887	1.01026
17677	767887	0.987734
17677	772887	0.962209
17677	777887	0.943077
17677	782887	0.924125
17677	787887	0.908899
17677	792887	0.887771
17677	797887	0.873951
17677	802887	0.857837
17677	807887	0.847619
17677	812887	0.834102
17726	817881	0.807085
17869	382823	2.59014
18195	407429	2.305
18231	822719	0.785371
18544	387630	2.36809
18902	827592	0.774157
19186	670392	1.6187
19208	410811	2.29249
19271	675398	2.09673
19331	392307	2.40073
19357	680408	2.78988
19436	394843	2.83868
19470	685422	2.09324
19583	690434	1.72119
19588	832293	0.757644
19696	695445	1.58166
19809	700455	1.47272
20291	393622	3.12625
20530	752740	1.08993
20554	397117	2.49918
21473	755873	1.08122
21503	381457	2.76607
21713	390085	2.46813
21932	400503	2.39753
22007	385387	2.5951
22007	405387	2.41115
22007	760387	1.0526
22007	765387	1.01817
22007	770387	0.992745
22007	775387	0.978808
22007	780387	0.957955
22007	785387	0.942027
22007	790387	0.927799
22007	795387	0.907282
22007	800387	0.88866
22007	805387	0.87914
22007	810387	0.870322
22007	815387	0.842005
22007	820387	0.811087
22007	825387	0.795572
22007	830387	0.774154
22028	410359	2.37978
22365	834942	0.753442
23239	372035	4.57302
23263	414250	2.61647
24197	399263	3.88132
24359	372144	4.62012
25090	400050	2.79005
25205	758919	1.07482
25331	386908	2.53536
25702	399767	4.743
26268	403006	2.51979
26335	762890	1.05871
26337	407887	2.76423
26337	412887	2.80116
26337	767887	1.03718
26337	772887	1.01684
26337	777887	0.997587
26337	782887	0.975254
26337	787887	0.956031
26337	792887	0.941208
26337	797887	0.932986
26337	802887	0.918564
26337	807887	0.905044
26337	812887	0.882125
26337	817887	0.846407
26337	822887	0.82079
26337	827887	0.807273
26337	832887	0.782657
26403	383195	2.87714
26530	837631	0.762743
26979	417269	2.63824
27504	400902	4.64192
27713	840657	0.751736
29063	762192	1.08193
30101	401277	4.7106
30274	765728	1.07101
30638	384134	2.9914
30667	405387	2.99917
30667	410387	3.07682
30667	415387	3.07023
30667	770387	1.05665
30667	775387	1.03762
30667	780387	1.00889
30667	785387	0.996063
30667	790387	0.982436
30667	795387	0.972512
30667	800387	0.955289
30667	805387	0.934167
30667	810387	0.920447
30667	815387	0.886128
30667	820387	0.86181
30667	825387	0.841292
30667	830387	0.809875
30667	835387	0.789559
30742	840276	0.766743
30833	420218	2.82906
30899	380739	3.32817
30905	402310	2.83586
31961	843490	0.753436
32080	423626	2.88094
33117	401230	3.35464
33166	399584	3.35528
