x	y	tot_dep
-13625	716559	0.062422
-12679	703413	0.068047
-12290	700436	0.069414
-12027	695458	0.071948
-11789	720123	0.061905
-11751	690473	0.074397
-11473	685496	0.076916
-11188	680535	0.080187
-10893	724690	0.060674
-10885	675621	0.082603
-10543	670662	-0.124609
-10083	665526	-0.12906
-9853	719931	0.062747
-8758	723288	0.061984
-8325	702221	0.070392
-8304	672887	-0.11995
-8304	677887	0.082864
-8304	682887	0.080182
-8304	687887	0.07718
-8304	692887	0.074892
-8304	697887	0.072397
-8221	667893	-0.122841
-8099	727808	0.060732
-7972	662945	-0.126222
-7675	654994	-0.125676
-7639	657982	-0.128769
-7328	732560	0.059374
-6444	737142	0.058248
-4987	726348	0.062408
-4038	703250	0.071905
-3974	660387	-0.13428
-3974	665387	-0.131617
-3974	670387	-0.127973
-3974	675387	0.086452
-3974	680387	0.083884
-3974	685387	0.080668
-3974	690387	0.078119
-3974	695387	0.075649
-3974	700387	0.073129
-3974	730387	0.061444
-3974	735387	0.059704
-3947	656007	-0.13585
-3716	740305	0.05827
-3117	745178	0.057019
-2454	749971	0.055782
-1693	754909	0.054571
-1291	729422	0.062836
41	733157	0.062048
331	702076	0.074477
356	657887	-0.13268
356	662887	-0.1294
356	667887	-0.126338
356	672887	-0.124072
356	677887	0.087614
356	682887	0.084701
356	687887	0.081492
356	692887	0.079098
356	697887	0.076487
356	737887	0.060564
356	742887	0.059026
356	747887	0.057456
357	752887	0.055908
431	654767	-0.13015
731	757769	0.054592
1369	762644	0.053522
1739	393617	0.124124
1788	395449	0.11178
2050	767368	0.052419
2957	772655	0.05124
3854	736202	0.062543
4610	703102	0.076244
4686	660387	-0.14306
4686	665387	-0.1397
4686	670387	-0.13631
4686	675387	0.091456
4686	680387	0.088727
4686	685387	0.085313
4686	690387	0.082626
4686	695387	0.080101
4686	700387	0.07747
4686	740387	0.06151
4686	745387	0.059894
4686	750387	0.058259
4686	755387	0.056623
4686	760387	0.055234
4686	765387	0.053822
4703	655817	-0.14553
4736	770381	0.052357
4829	395187	0.127047
5229	775224	0.051155
5252	391155	0.157551
5898	780094	0.050083
6076	398315	0.119299
6587	784792	0.049187
7490	739197	0.063013
8258	397105	0.137176
8836	743046	0.06232
8982	701934	0.079156
9017	392887	0.175428
9017	657887	-0.1406
9017	662887	-0.1371
9017	667887	-0.13337
9017	672887	-0.130369
9017	677887	0.092772
9017	682887	0.089803
9017	687887	0.086455
9017	692887	0.083983
9017	697887	0.081268
9017	747887	0.060693
9017	752887	0.058983
9017	757887	0.057375
9017	762887	0.055949
9017	767887	0.054425
9017	772887	0.052996
9017	777887	0.051538
9017	782887	0.050288
9083	654534	-0.13892
9181	787844	0.049063
9439	388410	0.201146
9753	792686	0.047931
9920	398644	0.139271
10368	401463	0.190416
10446	797499	0.046838
11165	383841	0.284648
11196	802308	0.045828
12671	746041	0.062789
13114	394093	0.250199
13175	702963	0.081156
13347	385387	0.290821
13347	390387	0.268023
13347	400387	0.218232
13347	660387	-0.1453
13347	665387	-0.14085
13347	670387	-0.13741
13347	675387	0.097154
13347	680387	0.094366
13347	685387	0.090811
13347	690387	0.087996
13347	695387	0.085309
13347	700387	0.082458
13347	750387	0.061474
13347	755387	0.0597
13347	760387	0.058179
13347	765387	0.056619
13347	770387	0.055021
13347	775387	0.053444
13347	780387	0.05202
13347	785387	0.050712
13347	790387	0.049382
13347	795387	0.048046
13347	800387	0.046749
13357	655652	-0.14787
13505	396267	0.23847
13650	381070	0.317729
13690	805277	0.045662
14115	377876	0.53387
14230	404300	0.200577
14334	810143	0.043945
14673	377099	0.57597
14704	378110	0.431617
14841	375339	0.70758
15028	377977	1.25929
15028	814864	0.043065
15206	379836	0.367874
15584	383578	0.324163
15953	820155	0.04206
16337	749049	0.063109
16397	388266	0.301763
17107	392827	0.302557
17180	657902	-0.1409
17245	662902	-0.13814
17257	654361	-0.13993
17309	667900	-0.13443
17369	672897	-0.13209
17424	677894	0.098726
17475	379724	0.57962
17481	682893	0.095679
17538	687890	0.092131
17586	692888	0.089428
17612	701776	0.084254
17621	752950	0.062121
17625	697887	0.086486
17675	397888	0.273424
17677	395108	0.290503
17677	402887	0.242466
17677	757887	0.060371
17677	762887	0.058799
17677	767887	0.057071
17677	772887	0.055486
17677	777887	0.053877
17677	782887	0.052491
17677	787887	0.051104
17677	792887	0.049708
17677	797887	0.048387
17677	802887	0.046287
17677	807887	0.04513
17677	812887	0.044011
