x	y	tot_dep
-13625	716559	1.04795
-12679	703413	1.09283
-12290	700436	1.10439
-12027	695458	1.1235
-11789	720123	1.0478
-11751	690473	1.14571
-11473	685496	1.17066
-11188	680535	1.19872
-10893	724690	1.04124
-10885	675621	1.22822
-10543	670662	1.19566
-10083	665526	1.22288
-9853	719931	1.05831
-8758	723288	1.05764
-8325	702221	1.12556
-8304	672887	1.19803
-8304	677887	1.23051
-8304	682887	1.20425
-8304	687887	1.1776
-8304	692887	1.15834
-8304	697887	1.13964
-8221	667893	1.22342
-8099	727808	1.04545
-7972	662945	1.24873
-7675	654994	1.29527
-7639	657982	1.27711
-7328	732560	1.03419
-6444	737142	1.0256
-4987	726348	1.06609
-4038	703250	1.1502
-3974	660387	1.28776
-3974	665387	1.26441
-3974	670387	1.23762
-3974	675387	1.26767
-3974	680387	1.24454
-3974	685387	1.22109
-3974	690387	1.19581
-3974	695387	1.17977
-3974	700387	1.15981
-3974	730387	1.0612
-3974	735387	1.04202
-3947	656007	1.31462
-3716	740305	1.02736
-3117	745178	1.01391
-2454	749971	1.00349
-1693	754909	0.99277
-1291	729422	1.07586
41	733157	1.06981
331	702076	1.1879
356	657887	1.33346
356	662887	1.30541
356	667887	1.27913
356	672887	1.25248
356	677887	1.28715
356	682887	1.26273
356	687887	1.24197
356	692887	1.21911
356	697887	1.19986
356	737887	1.05411
356	742887	1.04089
356	747887	1.02392
357	752887	1.00849
431	654767	1.35244
731	757769	0.99909
1369	762644	0.98555
1739	393617	3.93151
1788	395449	3.94072
2050	767368	0.97781
2957	772655	0.96708
3854	736202	1.07401
4610	703102	1.21145
4686	660387	1.34961
4686	665387	1.31352
4686	670387	1.28932
4686	675387	1.32616
4686	680387	1.31269
4686	685387	1.28843
4686	690387	1.26133
4686	695387	1.24127
4686	700387	1.22178
4686	740387	1.06247
4686	745387	1.05449
4686	750387	1.03833
4686	755387	1.02013
4686	760387	1.00961
4686	765387	0.99393
4703	655817	1.37658
4736	770381	0.97915
4829	395187	4.03973
5229	775224	0.97243
5252	391155	4.0764
5898	780094	0.96165
6076	398315	4.07727
6587	784792	0.9545
7490	739197	1.08298
8258	397105	4.17136
8836	743046	1.07736
8982	701934	1.23815
9017	392887	4.22247
9017	657887	1.38733
9017	662887	1.36174
9017	667887	1.33791
9017	672887	1.31424
