x	y	tot_dep
-13625	716559	8.0267
-12679	703413	8.8327
-12290	700436	9.0392
-12027	695458	9.3809
-11789	720123	7.8927
-11751	690473	9.7375
-11473	685496	10.1254
-11188	680535	10.5366
-10893	724690	7.6797
-10885	675621	10.9346
-10543	670662	-40.628
-10083	665526	-41.718
-9853	719931	7.9655
-8758	723288	7.8246
-8325	702221	9.0765
-8304	672887	-39.509
-8304	677887	10.8984
-8304	682887	10.4853
-8304	687887	10.0838
-8304	692887	9.7146
-8304	697887	9.373
-8221	667893	-40.295
-8099	727808	7.611
-7972	662945	-41.076
-7675	654994	-40.987
-7639	657982	-41.652
-7328	732560	7.4013
-6444	737142	7.2154
-4987	726348	7.7888
-4038	703250	9.1853
-3974	660387	-43.075
-3974	665387	-42.456
-3974	670387	-41.574
-3974	675387	11.3285
-3974	680387	10.9229
-3974	685387	10.5039
-3974	690387	10.1013
-3974	695387	9.7371
-3974	700387	9.3824
-3974	730387	7.6104
-3974	735387	7.3681
-3947	656007	-43.41
-3716	740305	7.15
-3117	745178	6.9429
-2454	749971	6.7554
-1693	754909	6.5766
-1291	729422	7.7483
41	733157	7.6043
331	702076	9.4535
356	657887	-42.776
356	662887	-42.009
356	667887	-41.303
356	672887	-40.608
356	677887	11.3721
356	682887	10.9338
356	687887	10.5126
356	692887	10.1225
356	697887	9.7572
356	737887	7.3916
356	742887	7.1511
356	747887	6.9262
357	752887	6.7141
431	654767	-42.222
731	757769	6.5196
1369	762644	6.3368
1739	393617	12.833
1788	395449	11.2567
2050	767368	6.1683
2957	772655	5.9938
3854	736202	7.5837
4610	703102	9.5697
4686	660387	-45.238
4686	665387	-44.434
4686	670387	-43.643
4686	675387	11.8252
4686	680387	11.3929
4686	685387	10.9538
4686	690387	10.5326
4686	695387	10.1458
4686	700387	9.7679
4686	740387	7.4078
4686	745387	7.1672
4686	750387	6.9389
4686	755387	6.7233
4686	760387	6.5128
4686	765387	6.3071
4703	655817	-45.856
4736	770381	6.1201
4829	395187	12.9
5229	775224	5.9534
5252	391155	16.985
5898	780094	5.7941
6076	398315	11.818
6587	784792	5.6455
7490	739197	7.5602
8258	397105	13.855
8836	743046	7.4103
8982	701934	9.8599
9017	392887	18.779
9017	657887	-44.719
9017	662887	-43.994
9017	667887	-43.109
9017	672887	-42.216
9017	677887	11.8766
9017	682887	11.4162
9017	687887	10.9699
9017	692887	10.5555
9017	697887	10.1681
9017	747887	7.1807
9017	752887	6.9512
9017	757887	6.7339
9017	762887	6.5191
9017	767887	6.3162
9017	772887	6.1229
9017	777887	5.9386
9017	782887	5.7603
9083	654534	-44.406
9181	787844	5.5939
9439	388410	22.687
9753	792686	5.4401
9920	398644	13.901
10368	401463	19.493
10446	797499	5.2971
11165	383841	34.042
11196	802308	5.1608
12671	746041	7.3816
13114	394093	27.131
13175	702963	9.9846
13347	385387	34.901
13347	390387	30.746
13347	400387	22.718
13347	660387	-46.027
13347	665387	-44.996
13347	670387	-44.066
13347	675387	12.3662
13347	680387	11.9078
13347	685387	11.4395
13347	690387	10.9934
13347	695387	10.5844
13347	700387	10.1891
13347	750387	7.1902
13347	755387	6.9623
13347	760387	6.7407
13347	765387	6.5253
13347	770387	6.3222
13347	775387	6.1258
13347	780387	5.9393
13347	785387	5.7587
13347	790387	5.5839
13347	795387	5.4146
13347	800387	5.256
13357	655652	-46.582
13505	396267	25.317
13650	381070	39.002
13690	805277	5.1152
14115	377876	64.57
14230	404300	20.53
14334	810143	4.8916
14673	377099	71.005
14704	378110	47.665
14841	375339	109.05
15028	377977	135.7
15028	814864	4.7738
15206	379836	44.056
15584	383578	39.858
15953	820155	4.6508
16337	749049	7.348
16397	388266	36.569
17107	392827	34.251
17180	657902	-45.006
17245	662902	-44.345
17257	654361	-44.813
17309	667900	-43.392
17369	672897	-42.572
17424	677894	12.4027
17475	379724	77.291
17481	682893	11.9168
17538	687890	11.4471
