x	y	tot_dep
-13625	716559	0.37114
-12679	703413	0.3899
-12290	700436	0.39484
-12027	695458	0.40264
-11789	720123	0.36993
-11751	690473	0.41059
-11473	685496	0.41936
-11188	680535	0.4284
-10893	724690	0.36594
-10885	675621	0.4382
-10543	670662	0.42252
-10083	665526	0.43246
-9853	719931	0.37342
-8758	723288	0.37094
-8325	702221	0.39955
-8304	672887	0.42296
-8304	677887	0.43939
-8304	682887	0.43021
-8304	687887	0.42161
-8304	692887	0.41345
-8304	697887	0.40587
-8221	667893	0.43253
-8099	727808	0.36688
-7972	662945	0.44198
-7675	654994	0.45802
-7639	657982	0.4523
-7328	732560	0.36273
-6444	737142	0.35935
-4987	726348	0.37365
-4038	703250	0.40615
-3974	660387	0.45657
-3974	665387	0.44685
-3974	670387	0.43688
-3974	675387	0.4535
-3974	680387	0.44418
-3974	685387	0.43481
-3974	690387	0.42637
-3974	695387	0.4182
-3974	700387	0.41045
-3974	730387	0.37082
-3974	735387	0.36515
-3947	656007	0.46546
-3716	740305	0.36024
-3117	745178	0.35582
-2454	749971	0.35155
-1693	754909	0.34762
-1291	729422	0.37645
41	733157	0.37446
331	702076	0.41649
356	657887	0.47262
356	662887	0.46188
356	667887	0.45165
356	672887	0.44196
356	677887	0.45863
356	682887	0.44908
356	687887	0.43978
356	692887	0.4313
356	697887	0.42322
356	737887	0.36953
356	742887	0.36351
356	747887	0.35803
357	752887	0.35279
431	654767	0.47919
731	757769	0.34808
1369	762644	0.34402
1739	393617	1.27963
1788	395449	1.28673
2050	767368	0.34058
2957	772655	0.33647
3854	736202	0.37711
4610	703102	0.42413
4686	660387	0.47788
4686	665387	0.46738
4686	670387	0.45752
4686	675387	0.47418
4686	680387	0.46397
4686	685387	0.4542
4686	690387	0.44527
4686	695387	0.4369
4686	700387	0.4286
4686	740387	0.37341
4686	745387	0.36765
4686	750387	0.36179
4686	755387	0.35667
4686	760387	0.35134
4686	765387	0.34609
4703	655817	0.48839
4736	770381	0.34121
4829	395187	1.32903
5229	775224	0.33714
5252	391155	1.32087
5898	780094	0.333
6076	398315	1.35799
6587	784792	0.32912
7490	739197	0.3794
8258	397105	1.38871
8836	743046	0.37728
8982	701934	0.43561
9017	392887	1.3834
9017	657887	0.49505
9017	662887	0.48403
9017	667887	0.47348
9017	672887	0.46359
9017	677887	0.48033
9017	682887	0.47002
9017	687887	0.46026
9017	692887	0.45119
9017	697887	0.44266
9017	747887	0.37167
9017	752887	0.36597
9017	757887	0.3606
9017	762887	0.35534
9017	767887	0.34995
9017	772887	0.34452
9017	777887	0.33921
9017	782887	0.3342
9083	654534	0.50307
9181	787844	0.32974
9439	388410	1.3789
9753	792686	0.32581
9920	398644	1.422
10368	401463	1.42741
10446	797499	0.32195
11165	383841	1.4046
11196	802308	0.31875
12671	746041	0.38014
13114	394093	1.4475
13175	702963	0.44249
13347	385387	1.4544
13347	390387	1.4448
13347	400387	1.476
13347	660387	0.50195
13347	665387	0.49089
13347	670387	0.4806
13347	675387	0.49764
13347	680387	0.48673
13347	685387	0.47609
13347	690387	0.46589
13347	695387	0.45669
13347	700387	0.44742
13347	750387	0.376
13347	755387	0.37027
13347	760387	0.36453
13347	765387	0.35904
13347	770387	0.35354
13347	775387	0.34793
13347	780387	0.34218
13347	785387	0.33722
13347	790387	0.33253
13347	795387	0.32777
13347	800387	0.32296
13357	655652	0.51263
13505	396267	1.461
13650	381070	1.4791
13690	805277	0.31876
14115	377876	1.9675
14230	404300	1.5057
14334	810143	0.31474
14673	377099	2.0033
14704	378110	1.5615
14841	375339	2.5352
15028	377977	2.3426
15028	814864	0.31139
15206	379836	1.5332
15584	383578	1.5213
15953	820155	0.3077
16337	749049	0.38266
16397	388266	1.5355
17107	392827	1.5455
17180	657902	0.5195
17245	662902	0.50829
17257	654361	0.528
17309	667900	0.49737
17369	672897	0.48649
17424	677894	0.50315
17475	379724	2.0407
17481	682893	0.49188
17538	687890	0.48113
17586	692888	0.47118
17612	701776	0.45436
17621	752950	0.38025
17625	697887	0.4616
17675	397888	1.5598
17677	395108	1.5603
17677	402887	1.5684
17677	757887	0.37441
17677	762887	0.36822
17677	767887	0.36263
17677	772887	0.35674
17677	777887	0.35098
17677	782887	0.34555
17677	787887	0.34027
17677	792887	0.33533
17677	797887	0.33047
17677	802887	0.32536
17677	807887	0.3206
17677	812887	0.31591
17726	817881	0.3115
17869	382823	1.5974
18195	407429	1.5946
18231	822719	0.30791
18544	387630	1.596
18902	827592	0.30456
19186	670392	0.49696
19208	410811	1.6208
19271	675398	0.51396
19331	392307	1.6263
19357	680408	0.50232
19436	394843	1.9605
19470	685422	0.49108
19583	690434	0.48092
19588	832293	0.30135
19696	695445	0.47108
19809	700455	0.46181
20291	393622	2.162
20530	752740	0.38518
20554	397117	1.751
21473	755873	0.38306
21503	381457	1.7095
21713	390085	1.7187
21932	400503	1.683
22007	385387	1.7122
22007	405387	1.6743
22007	760387	0.37824
22007	765387	0.372
22007	770387	0.36554
22007	775387	0.35965
22007	780387	0.35417
22007	785387	0.34882
22007	790387	0.34354
22007	795387	0.33783
22007	800387	0.33275
22007	805387	0.32785
22007	810387	0.32319
22007	815387	0.3186
22007	820387	0.31415
22007	825387	0.30956
22007	830387	0.30538
22028	410359	1.6847
22365	834942	0.30215
23239	372035	3.0759
23263	414250	1.7133
24197	399263	2.9151
24359	372144	3.0653
25090	400050	2.0601
25205	758919	0.3849
25331	386908	1.8338
25702	399767	3.6325
26268	403006	1.815
26335	762890	0.38165
26337	407887	1.7901
26337	412887	1.7925
26337	767887	0.37525
26337	772887	0.36875
26337	777887	0.36271
26337	782887	0.35703
26337	787887	0.35147
26337	792887	0.34593
26337	797887	0.34056
26337	802887	0.33561
26337	807887	0.3306
26337	812887	0.32567
26337	817887	0.32118
26337	822887	0.31677
26337	827887	0.31235
26337	832887	0.30804
26403	383195	1.8328
26530	837631	0.30432
26979	417269	1.7968
27504	400902	3.5949
27713	840657	0.30308
29063	762192	0.38651
30101	401277	3.5198
30274	765728	0.3838
30638	384134	1.9512
30667	405387	1.9389
30667	410387	1.9112
30667	415387	1.9039
30667	770387	0.37854
30667	775387	0.37225
30667	780387	0.36577
30667	785387	0.35977
30667	790387	0.35408
30667	795387	0.34884
30667	800387	0.34358
30667	805387	0.3385
30667	810387	0.33342
30667	815387	0.32861
30667	820387	0.32391
30667	825387	0.31929
30667	830387	0.31491
30667	835387	0.3107
30742	840276	0.30677
30833	420218	1.8857
30899	380739	1.9449
30905	402310	2.1012
31961	843490	0.30541
32080	423626	1.8976
33117	401230	2.3486
33166	399584	2.6467
33229	400389	2.2164
33848	400874	2.1965
34068	768787	0.3855
34608	403458	2.1031
34743	386048	3.0456
34870	412876	2.0318
34997	382887	2.0333
34997	407887	2.0754
34997	417887	2.0101
34997	772887	0.38129
34997	777887	0.37512
34997	782887	0.36897
34997	787887	0.36286
34997	792887	0.35715
34997	797887	0.35151
34997	802887	0.3463
34997	807887	0.34134
34997	812887	0.33635
34997	817887	0.33152
34997	822887	0.32675
34997	827887	0.32206
34997	832887	0.31749
34997	837887	0.31309
35000	422883	1.9934
35010	842866	0.30913
35182	378670	2.0212
35388	398253	2.395
36074	426389	2.0152
36196	846311	0.30769
37072	394212	2.6307
37326	403144	2.2234
37332	413092	3.2716
37718	771805	0.38679
37759	406681	2.3997
37821	384020	2.2546
38142	409556	2.1732
38177	416755	2.9638
38643	411983	5.9835
38704	395155	4.0841
39072	775606	0.38386
39233	380192	2.1125
39327	420387	2.1499
39327	425387	2.1444
39327	780387	0.37803
39327	785387	0.37195
39327	790387	0.36606
39327	795387	0.36032
39327	800387	0.35481
39327	805387	0.34928
39327	810387	0.34413
39327	815387	0.33913
39327	820387	0.33429
39327	825387	0.3295
39327	830387	0.32493
39327	835387	0.32032
39327	840387	0.31594
39327	845387	0.31169
39518	415071	3.6441
39598	402332	2.2924
39671	376182	2.0844
39917	404948	2.2902
40251	428925	2.166
40323	849023	0.30972
40767	409513	2.3011
41136	413404	4.5702
42569	380976	2.2582
42891	417355	4.0304
42896	778633	0.38555
43374	396621	2.9107
43502	403691	2.4082
43539	419125	2.3389
43555	377751	2.1812
43658	407887	2.4019
43658	422887	2.3336
43658	427887	2.3265
43658	782887	0.38108
43658	787887	0.37509
43658	792887	0.3692
43658	797887	0.36338
43658	802887	0.358
43658	807887	0.35248
43658	812887	0.34719
43658	817887	0.34206
43658	822887	0.33699
43658	827887	0.33208
43658	832887	0.32749
43658	837887	0.32299
43658	842887	0.31867
43658	847887	0.31441
44055	374730	2.2605
44505	411774	2.4333
44544	432149	2.333
44982	360715	2.8233
45019	359734	2.8704
45274	360316	2.9194
46539	781629	0.38734
46661	417879	4.1055
46725	417934	4.1076
47228	849425	0.3169
47368	420980	2.5226
47511	413408	3.3212
47683	396545	3.2248
47726	425409	2.5401
47840	410197	2.5858
47864	785502	0.38422
47982	375478	2.246
47988	405388	2.5703
47988	430387	2.5542
47988	790387	0.37837
47988	795387	0.37237
47988	800387	0.36653
47988	805387	0.36092
47988	810387	0.35547
47988	815387	0.35028
47988	820387	0.34522
47988	825387	0.34012
47988	830387	0.33506
47988	835387	0.33026
47988	840387	0.32552
47988	845387	0.32119
48146	435275	2.5048
48359	378712	2.3564
48815	417836	4.4783
49091	419267	3.8939
49320	402034	2.9292
49353	439160	2.5128
49786	422909	2.7177
49808	425182	3.5878
49918	396260	3.5276
51003	374883	3.6716
51059	407374	3.5903
51226	846610	0.32366
51374	424331	4.2503
51705	788468	0.38649
52066	428656	2.8491
52318	402887	2.7312
52318	432887	2.8546
52318	437887	2.7969
52318	792887	0.38188
52318	797887	0.37578
52318	802887	0.36976
52318	807887	0.36399
52318	812887	0.35851
52318	817887	0.35305
52318	822887	0.34779
52318	827887	0.34277
52318	832887	0.33776
52318	837887	0.33303
52318	842887	0.32828
52341	377863	2.4476
52554	426737	4.7013
52634	418750	2.8491
52658	422258	2.8666
52679	397983	2.7399
53068	442005	2.7373
53467	385546	4.908
53606	382504	2.7665
54315	393461	4.6395
54679	428048	3.2146
54962	392252	4.7298
55153	376872	3.4257
55254	843713	0.33077
55397	791491	0.38806
55648	427423	4.8182
55997	440192	3.1378
56071	404117	5.0047
56314	380874	3.1601
56393	400383	2.8633
56472	384645	2.9235
56496	430888	3.2916
56555	840267	0.33563
56625	795417	0.38511
56642	428230	5.0649
56648	420387	3.0919
56648	435386	3.3041
56648	800387	0.37901
56648	805387	0.37304
56648	810387	0.36716
56648	815387	0.36157
56648	820387	0.35608
56648	825387	0.35054
56648	830387	0.34552
56648	835387	0.34048
56708	395801	2.9061
56786	423861	3.1878
56863	444977	3.0299
57321	428995	5.5544
57618	416540	3.8964
57915	373180	5.1803
58575	389601	4.8764
59083	410747	5.3953
59445	795001	0.38977
59491	373286	3.9042
59544	840535	0.33903
59975	389592	5.2604
60007	390720	4.8222
60038	427966	6.3871
60097	422295	5.0634
60112	378875	3.8866
60167	445885	3.634
60188	397044	3.2122
60196	428948	4.757
60406	382196	2.7351
60506	798306	0.38705
60588	432729	3.8516
60642	837506	0.34339
60719	403397	3.0685
60846	417851	3.3306
60978	802887	0.38208
60978	807887	0.37608
60978	812887	0.37025
60978	817887	0.36452
60978	822887	0.35894
60978	827887	0.35357
60978	832887	0.34849
61068	436730	4.0094
61180	445253	3.7728
61367	413229	3.2724
61378	393467	3.0569
61907	378441	2.6359
61944	429192	3.897
61952	406509	5.1242
62282	426981	5.9292
62345	425093	5.6465
62495	434882	10.2755
62544	433641	10.0081
62558	445203	4.0685
62989	437818	4.5991
63002	435322	10.1563
63109	388494	3.0293
63304	436731	8.8845
63357	430138	4.7466
64270	801364	0.38886
64290	430333	9.1703
64332	436276	12.4836
64416	428368	4.7708
64547	429921	8.4435
64731	834660	0.35103
64784	413875	3.4504
64953	379422	2.7218
65024	393910	3.5189
65240	404958	3.3151
65308	805387	0.38506
65308	810387	0.37905
65308	815387	0.37311
65308	820387	0.3673
65308	825387	0.36167
65308	830387	0.35621
65311	390386	3.0243
65331	411491	3.4954
65394	425966	4.0101
65581	438099	5.9899
65714	427764	5.0114
65777	376104	2.6137
65993	386153	2.9261
66808	402366	5.3949
66809	409312	3.4443
67625	445239	10.5243
67990	804469	0.39026
68496	412215	3.4871
68747	410432	4.3377
68789	831823	0.35925
69013	392088	3.1598
69184	408269	3.5771
69306	808172	0.3875
69323	426061	5.5017
69366	447428	18.5527
69395	384360	3.0597
69404	402725	3.7921
69638	387887	3.0367
69638	812887	0.38212
69638	817887	0.37619
69638	822887	0.37025
69638	827887	0.36465
69658	373572	2.888
69692	377614	2.768
70003	423619	4.055
70368	444060	28.8074
70582	410897	3.5496
71270	408726	3.9995
71272	391732	3.8635
72002	406232	3.961
72193	372745	4.3742
72270	443570	37.0069
72655	389263	3.2159
72752	829018	0.36739
72833	385642	3.4121
73023	372530	4.3389
73115	811221	0.38906
73122	379046	3.5866
73191	375793	2.9127
73352	451576	19.6541
73374	409303	4.1019
73513	373437	4.3674
73546	423866	4.1493
73901	390787	3.3856
73959	825372	0.37327
73968	815387	0.38536
73968	820387	0.37923
74192	406120	3.5191
74370	387115	3.4598
74386	453366	10.8879
74505	421002	3.9933
75232	388714	3.2713
75648	385863	4.2064
76009	454863	12.9751
76633	422270	5.9282
76751	814219	0.39079
76870	454736	13.2482
76892	826003	0.37656
77316	386850	3.2369
77317	456124	10.889
77450	405080	6.159
77564	423488	7.0743
77572	384642	4.9659
77889	604879	1.02576
78102	818059	0.3877
78135	822696	0.38202
78263	407073	3.7593
78364	417802	5.5512
78848	607888	1.01311
78888	612877	0.98247
78925	617877	0.95098
78962	622877	0.92135
78998	627877	0.89266
