name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
190           -10893  724690  0.2833E-05  0.3527E-03  0.1833E-02  0.2185E-02  0.1753E-04
190           -11789  720123  0.2970E-05  0.3668E-03  0.1861E-02  0.2228E-02  0.1807E-04
190           -13625  716559  0.3046E-05  0.3749E-03  0.1870E-02  0.2245E-02  0.1843E-04
191           -12679  703413  0.3539E-05  0.4269E-03  0.1995E-02  0.2422E-02  0.2039E-04
191           -12290  700436  0.3667E-05  0.4408E-03  0.2026E-02  0.2466E-02  0.2088E-04
191           -12027  695458  0.3892E-05  0.4649E-03  0.2079E-02  0.2544E-02  0.2175E-04
191           -11751  690473  0.4121E-05  0.4896E-03  0.2130E-02  0.2620E-02  0.2263E-04
191           -11473  685496  0.4363E-05  0.5156E-03  0.2183E-02  0.2699E-02  0.2354E-04
191           -11188  680535  0.4658E-05  0.5476E-03  0.2250E-02  0.2798E-02  0.2463E-04
191           -10885  675621  0.4948E-05  0.5782E-03  0.2298E-02  0.2876E-02  0.2549E-04
191           -10543  670662  0.6373E-05 -0.8950E-02  0.2285E-02 -0.6665E-02  0.2528E-04
191           -10083  665526  0.6712E-05 -0.9158E-02  0.2336E-02 -0.6822E-02  0.2612E-04
190            -6444  737142  0.2535E-05  0.3215E-03  0.1782E-02  0.2103E-02  0.1629E-04
190            -7328  732560  0.2660E-05  0.3342E-03  0.1807E-02  0.2141E-02  0.1675E-04
190            -8099  727808  0.2790E-05  0.3474E-03  0.1838E-02  0.2185E-02  0.1726E-04
190            -8758  723288  0.2927E-05  0.3618E-03  0.1866E-02  0.2227E-02  0.1779E-04
190            -9853  719931  0.3013E-05  0.3713E-03  0.1882E-02  0.2254E-02  0.1819E-04
191            -8325  702221  0.3691E-05  0.4423E-03  0.2053E-02  0.2495E-02  0.2082E-04
191            -8304  697887  0.3873E-05  0.4619E-03  0.2095E-02  0.2557E-02  0.2153E-04
191            -8304  692887  0.4112E-05  0.4872E-03  0.2146E-02  0.2633E-02  0.2242E-04
191            -8304  687887  0.4345E-05  0.5126E-03  0.2193E-02  0.2706E-02  0.2330E-04
191            -8304  682887  0.4618E-05  0.5416E-03  0.2255E-02  0.2797E-02  0.2431E-04
191            -8304  677887  0.4912E-05  0.5733E-03  0.2308E-02  0.2882E-02  0.2529E-04
191            -8304  672887  0.6332E-05 -0.8745E-02  0.2289E-02 -0.6456E-02  0.2508E-04
191            -8221  667893  0.6648E-05 -0.8898E-02  0.2337E-02 -0.6561E-02  0.2589E-04
191            -7972  662945  0.6988E-05 -0.9062E-02  0.2385E-02 -0.6677E-02  0.2670E-04
191            -7639  657982  0.7369E-05 -0.9214E-02  0.2434E-02 -0.6780E-02  0.2752E-04
191            -7675  654994  0.7588E-05 -0.9103E-02  0.2462E-02 -0.6641E-02  0.2804E-04
190            -1693  754909  0.2137E-05  0.2791E-03  0.1696E-02  0.1975E-02  0.1469E-04
190            -2454  749971  0.2254E-05  0.2914E-03  0.1723E-02  0.2014E-02  0.1512E-04
190            -3117  745178  0.2370E-05  0.3042E-03  0.1753E-02  0.2057E-02  0.1559E-04
190            -3716  740305  0.2493E-05  0.3170E-03  0.1784E-02  0.2101E-02  0.1607E-04
190            -3974  735387  0.2629E-05  0.3312E-03  0.1819E-02  0.2150E-02  0.1659E-04
190            -3974  730387  0.2785E-05  0.3469E-03  0.1858E-02  0.2205E-02  0.1714E-04
190            -4987  726348  0.2892E-05  0.3577E-03  0.1880E-02  0.2238E-02  0.1757E-04
191            -4038  703250  0.3762E-05  0.4483E-03  0.2091E-02  0.2540E-02  0.2087E-04
191            -3974  700387  0.3885E-05  0.4614E-03  0.2119E-02  0.2580E-02  0.2134E-04
191            -3974  695387  0.4125E-05  0.4862E-03  0.2170E-02  0.2656E-02  0.2220E-04
191            -3974  690387  0.4370E-05  0.5125E-03  0.2220E-02  0.2732E-02  0.2309E-04
191            -3974  685387  0.4625E-05  0.5401E-03  0.2271E-02  0.2811E-02  0.2401E-04
191            -3974  680387  0.4931E-05  0.5723E-03  0.2336E-02  0.2908E-02  0.2507E-04
191            -3974  675387  0.5234E-05  0.6050E-03  0.2385E-02  0.2990E-02  0.2600E-04
191            -3974  670387  0.6708E-05 -0.9165E-02  0.2363E-02 -0.6801E-02  0.2580E-04
191            -3974  665387  0.7039E-05 -0.9329E-02  0.2411E-02 -0.6919E-02  0.2661E-04
191            -3974  660387  0.7405E-05 -0.9478E-02  0.2457E-02 -0.7021E-02  0.2738E-04
191            -3947  656007  0.7743E-05 -0.9570E-02  0.2500E-02 -0.7070E-02  0.2815E-04
190             2957  772655  0.1809E-05  0.2463E-03  0.1614E-02  0.1860E-02  0.1338E-04
190             2050  767368  0.1909E-05  0.2562E-03  0.1644E-02  0.1900E-02  0.1379E-04
190             1369  762644  0.1997E-05  0.2656E-03  0.1672E-02  0.1938E-02  0.1418E-04
190              731  757769  0.2101E-05  0.2756E-03  0.1699E-02  0.1974E-02  0.1454E-04
190              357  752887  0.2215E-05  0.2870E-03  0.1730E-02  0.2017E-02  0.1495E-04
190              356  747887  0.2348E-05  0.3010E-03  0.1766E-02  0.2067E-02  0.1544E-04
190              356  742887  0.2487E-05  0.3159E-03  0.1804E-02  0.2120E-02  0.1595E-04
190              356  737887  0.2631E-05  0.3308E-03  0.1842E-02  0.2173E-02  0.1648E-04
190               41  733157  0.2776E-05  0.3456E-03  0.1876E-02  0.2222E-02  0.1700E-04
190            -1291  729422  0.2868E-05  0.3549E-03  0.1893E-02  0.2248E-02  0.1736E-04
191              331  702076  0.3935E-05  0.4657E-03  0.2154E-02  0.2620E-02  0.2132E-04
191              356  697887  0.4126E-05  0.4851E-03  0.2195E-02  0.2680E-02  0.2199E-04
191              356  692887  0.4386E-05  0.5118E-03  0.2249E-02  0.2761E-02  0.2289E-04
191              356  687887  0.4642E-05  0.5395E-03  0.2297E-02  0.2837E-02  0.2381E-04
191              356  682887  0.4946E-05  0.5716E-03  0.2362E-02  0.2933E-02  0.2486E-04
191              356  677887  0.5262E-05  0.6049E-03  0.2418E-02  0.3023E-02  0.2585E-04
191              356  672887  0.6775E-05 -0.9042E-02  0.2395E-02 -0.6647E-02  0.2565E-04
191              356  667887  0.7099E-05 -0.9154E-02  0.2440E-02 -0.6713E-02  0.2650E-04
