x	y	tot_dep
-13625	716559	11.3743
-12679	703413	12.1543
-12290	700436	12.3936
-12027	695458	12.8517
-11789	720123	11.3299
-11751	690473	13.2881
-11473	685496	13.4646
-11188	680535	13.6143
-10893	724690	11.1707
-10885	675621	13.9453
-10543	670662	13.1853
-10083	665526	13.5819
-9853	719931	11.4985
-8758	723288	11.4276
-8325	702221	12.675
-8304	672887	13.2794
-8304	677887	14.1092
-8304	682887	13.8317
-8304	687887	13.6566
-8304	692887	13.4283
-8304	697887	13.0563
-8221	667893	13.6353
-8099	727808	11.3053
-7972	662945	14.0432
-7675	654994	14.5261
-7639	657982	14.3275
-7328	732560	11.2347
-6444	737142	10.9854
-4987	726348	11.6083
-4038	703250	13.0266
-3974	660387	14.6304
-3974	665387	14.2909
-3974	670387	13.895
-3974	675387	14.7887
-3974	680387	14.4278
-3974	685387	14.1602
-3974	690387	13.8584
-3974	695387	13.6531
-3974	700387	13.2695
-3974	730387	11.5382
-3974	735387	11.4089
-3947	656007	14.9033
-3716	740305	11.2645
-3117	745178	10.9431
-2454	749971	10.627
-1693	754909	10.4048
-1291	729422	11.762
41	733157	11.7374
331	702076	13.5301
356	657887	15.278
356	662887	14.9448
356	667887	14.546
356	672887	14.1608
356	677887	15.0721
356	682887	14.7224
356	687887	14.4465
356	692887	14.1279
356	697887	13.9319
356	737887	11.6602
356	742887	11.5348
356	747887	11.0828
357	752887	10.6891
431	654767	15.4941
731	757769	10.442
1369	762644	10.2331
1739	393617	34.036
1788	395449	34.484
2050	767368	10.0384
2957	772655	9.836
3854	736202	11.8967
4610	703102	13.8719
4686	660387	15.576
4686	665387	15.195
4686	670387	14.7962
4686	675387	15.7634
4686	680387	15.3507
4686	685387	15.0222
4686	690387	14.7288
4686	695387	14.4616
4686	700387	14.1166
4686	740387	11.8837
4686	745387	11.7343
4686	750387	11.2954
4686	755387	10.8894
4686	760387	10.5877
4686	765387	10.316
4703	655817	15.9166
4736	770381	10.0603
4829	395187	35.071
5229	775224	9.8584
5252	391155	34.381
5898	780094	9.6799
6076	398315	36.072
6587	784792	9.5167
7490	739197	12.052
8258	397105	36.367
8836	743046	12.025
8982	701934	14.4553
9017	392887	35.747
9017	657887	16.246
9017	662887	15.8497
9017	667887	15.4392
9017	672887	15.0507
9017	677887	16.0469
9017	682887	15.6459
9017	687887	15.2984
9017	692887	15.0472
9017	697887	14.7188
9017	747887	11.9941
9017	752887	11.5222
9017	757887	11.0787
9017	762887	10.7675
9017	767887	10.4808
9017	772887	10.2135
9017	777887	9.9694
9017	782887	9.7372
9083	654534	16.5681
9181	787844	9.5316
9439	388410	35.263
9753	792686	9.355
9920	398644	37.168
10368	401463	37.629
10446	797499	9.2055
11165	383841	35.467
11196	802308	9.0597
12671	746041	12.1716
13114	394093	37.297
