name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
190           -10893  724690  0.5939E-01  0.1048E+02  0.5076E+02  0.6124E+02  0.3553E+00
190           -11789  720123  0.6057E-01  0.1063E+02  0.5129E+02  0.6192E+02  0.3591E+00
190           -13625  716559  0.6132E-01  0.1075E+02  0.5172E+02  0.6247E+02  0.3621E+00
191           -12679  703413  0.6557E-01  0.1123E+02  0.5346E+02  0.6469E+02  0.3733E+00
191           -12290  700436  0.6657E-01  0.1135E+02  0.5385E+02  0.6519E+02  0.3760E+00
191           -12027  695458  0.6814E-01  0.1154E+02  0.5453E+02  0.6607E+02  0.3809E+00
191           -11751  690473  0.6997E-01  0.1175E+02  0.5538E+02  0.6713E+02  0.3863E+00
191           -11473  685496  0.7181E-01  0.1197E+02  0.5628E+02  0.6825E+02  0.3922E+00
191           -11188  680535  0.7384E-01  0.1221E+02  0.5733E+02  0.6954E+02  0.3985E+00
191           -10885  675621  0.7600E-01  0.1247E+02  0.5848E+02  0.7095E+02  0.4057E+00
191           -10543  670662  0.8743E-01 -0.1581E+03  0.5655E+02 -0.1016E+03  0.3800E+00
191           -10083  665526  0.9008E-01 -0.1569E+03  0.5734E+02 -0.9953E+02  0.3852E+00
190            -6444  737142  0.5682E-01  0.1010E+02  0.4928E+02  0.5938E+02  0.3445E+00
190            -7328  732560  0.5786E-01  0.1024E+02  0.4982E+02  0.6006E+02  0.3485E+00
190            -8099  727808  0.5895E-01  0.1039E+02  0.5038E+02  0.6077E+02  0.3527E+00
190            -8758  723288  0.6001E-01  0.1053E+02  0.5092E+02  0.6145E+02  0.3566E+00
190            -9853  719931  0.6077E-01  0.1064E+02  0.5130E+02  0.6194E+02  0.3593E+00
191            -8325  702221  0.6648E-01  0.1130E+02  0.5370E+02  0.6499E+02  0.3754E+00
191            -8304  697887  0.6785E-01  0.1146E+02  0.5429E+02  0.6576E+02  0.3794E+00
191            -8304  692887  0.6959E-01  0.1167E+02  0.5508E+02  0.6675E+02  0.3844E+00
191            -8304  687887  0.7134E-01  0.1189E+02  0.5602E+02  0.6791E+02  0.3908E+00
191            -8304  682887  0.7318E-01  0.1211E+02  0.5692E+02  0.6903E+02  0.3963E+00
191            -8304  677887  0.7533E-01  0.1237E+02  0.5810E+02  0.7047E+02  0.4034E+00
191            -8304  672887  0.8678E-01 -0.1547E+03  0.5630E+02 -0.9843E+02  0.3784E+00
191            -8221  667893  0.8940E-01 -0.1532E+03  0.5716E+02 -0.9604E+02  0.3837E+00
191            -7972  662945  0.9194E-01 -0.1512E+03  0.5787E+02 -0.9338E+02  0.3885E+00
191            -7639  657982  0.9459E-01 -0.1486E+03  0.5860E+02 -0.8999E+02  0.3932E+00
191            -7675  654994  0.9616E-01 -0.1441E+03  0.5900E+02 -0.8509E+02  0.3958E+00
190            -1693  754909  0.5315E-01  0.9592E+01  0.4733E+02  0.5693E+02  0.3304E+00
190            -2454  749971  0.5414E-01  0.9728E+01  0.4788E+02  0.5761E+02  0.3345E+00
190            -3117  745178  0.5515E-01  0.9864E+01  0.4840E+02  0.5827E+02  0.3383E+00
190            -3716  740305  0.5629E-01  0.1001E+02  0.4892E+02  0.5893E+02  0.3421E+00
190            -3974  735387  0.5748E-01  0.1016E+02  0.4948E+02  0.5964E+02  0.3462E+00
190            -3974  730387  0.5877E-01  0.1032E+02  0.5007E+02  0.6040E+02  0.3506E+00
190            -4987  726348  0.5969E-01  0.1045E+02  0.5058E+02  0.6103E+02  0.3544E+00
191            -4038  703250  0.6682E-01  0.1129E+02  0.5365E+02  0.6494E+02  0.3753E+00
191            -3974  700387  0.6775E-01  0.1140E+02  0.5406E+02  0.6546E+02  0.3780E+00
191            -3974  695387  0.6942E-01  0.1160E+02  0.5482E+02  0.6642E+02  0.3830E+00
191            -3974  690387  0.7123E-01  0.1182E+02  0.5572E+02  0.6755E+02  0.3888E+00
191            -3974  685387  0.7311E-01  0.1205E+02  0.5669E+02  0.6874E+02  0.3951E+00
191            -3974  680387  0.7520E-01  0.1229E+02  0.5782E+02  0.7011E+02  0.4015E+00
191            -3974  675387  0.7750E-01  0.1257E+02  0.5900E+02  0.7157E+02  0.4088E+00
191            -3974  670387  0.8925E-01 -0.1566E+03  0.5709E+02 -0.9948E+02  0.3828E+00
191            -3974  665387  0.9174E-01 -0.1548E+03  0.5787E+02 -0.9690E+02  0.3879E+00
191            -3974  660387  0.9443E-01 -0.1523E+03  0.5861E+02 -0.9373E+02  0.3926E+00
191            -3947  656007  0.9664E-01 -0.1493E+03  0.5924E+02 -0.9007E+02  0.3968E+00
190             2957  772655  0.5007E-01  0.9149E+01  0.4545E+02  0.5460E+02  0.3165E+00
190             2050  767368  0.5101E-01  0.9278E+01  0.4599E+02  0.5526E+02  0.3205E+00
190             1369  762644  0.5191E-01  0.9402E+01  0.4648E+02  0.5588E+02  0.3243E+00
190              731  757769  0.5284E-01  0.9525E+01  0.4701E+02  0.5653E+02  0.3281E+00
190              357  752887  0.5385E-01  0.9659E+01  0.4754E+02  0.5720E+02  0.3321E+00
190              356  747887  0.5493E-01  0.9803E+01  0.4810E+02  0.5790E+02  0.3364E+00
190              356  742887  0.5609E-01  0.9949E+01  0.4863E+02  0.5858E+02  0.3403E+00
190              356  737887  0.5736E-01  0.1010E+02  0.4918E+02  0.5928E+02  0.3443E+00
190               41  733157  0.5853E-01  0.1025E+02  0.4974E+02  0.5999E+02  0.3484E+00
190            -1291  729422  0.5931E-01  0.1036E+02  0.5020E+02  0.6057E+02  0.3518E+00
191              331  702076  0.6793E-01  0.1138E+02  0.5395E+02  0.6533E+02  0.3774E+00
191              356  697887  0.6921E-01  0.1154E+02  0.5458E+02  0.6611E+02  0.3816E+00
191              356  692887  0.7100E-01  0.1175E+02  0.5540E+02  0.6715E+02  0.3868E+00
191              356  687887  0.7290E-01  0.1198E+02  0.5644E+02  0.6842E+02  0.3935E+00
191              356  682887  0.7491E-01  0.1221E+02  0.5744E+02  0.6966E+02  0.3994E+00
191              356  677887  0.7704E-01  0.1247E+02  0.5869E+02  0.7116E+02  0.4065E+00
191              356  672887  0.8889E-01 -0.1526E+03  0.5693E+02 -0.9567E+02  0.3814E+00
191              356  667887  0.9161E-01 -0.1507E+03  0.5786E+02 -0.9287E+02  0.3870E+00
191              356  662887  0.9422E-01 -0.1484E+03  0.5862E+02 -0.8979E+02  0.3918E+00
191              356  657887  0.9677E-01 -0.1461E+03  0.5935E+02 -0.8674E+02  0.3965E+00
