name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
190           -10893  724690  0.3398E-05  0.6976E-03  0.2349E-02  0.3046E-02  0.3369E-04
190           -11789  720123  0.3734E-05  0.7336E-03  0.2351E-02  0.3085E-02  0.3389E-04
190           -13625  716559  0.3997E-05  0.7591E-03  0.2399E-02  0.3158E-02  0.3425E-04
191           -12679  703413  0.4496E-05  0.8581E-03  0.2575E-02  0.3433E-02  0.3716E-04
191           -12290  700436  0.4949E-05  0.9037E-03  0.2640E-02  0.3544E-02  0.3770E-04
191           -12027  695458  0.5208E-05  0.9396E-03  0.2715E-02  0.3654E-02  0.3855E-04
191           -11751  690473  0.5642E-05  0.9880E-03  0.2778E-02  0.3766E-02  0.3926E-04
191           -11473  685496  0.6064E-05  0.1040E-02  0.2865E-02  0.3905E-02  0.4044E-04
191           -11188  680535  0.7167E-05  0.1132E-02  0.2984E-02  0.4116E-02  0.4119E-04
191           -10885  675621  0.7488E-05  0.1125E-02  0.2969E-02  0.4094E-02  0.4206E-04
191           -10543  670662  0.1105E-04 -0.1720E-01  0.3095E-02 -0.1410E-01  0.4323E-04
191           -10083  665526  0.1167E-04 -0.1742E-01  0.3141E-02 -0.1428E-01  0.4343E-04
190            -6444  737142  0.2934E-05  0.6355E-03  0.2241E-02  0.2876E-02  0.3228E-04
190            -7328  732560  0.3251E-05  0.6667E-03  0.2293E-02  0.2959E-02  0.3268E-04
190            -8099  727808  0.3326E-05  0.6818E-03  0.2317E-02  0.2999E-02  0.3314E-04
190            -8758  723288  0.3537E-05  0.7171E-03  0.2379E-02  0.3096E-02  0.3405E-04
190            -9853  719931  0.3824E-05  0.7449E-03  0.2417E-02  0.3162E-02  0.3431E-04
191            -8325  702221  0.4918E-05  0.9033E-03  0.2658E-02  0.3561E-02  0.3778E-04
191            -8304  697887  0.5342E-05  0.9531E-03  0.2732E-02  0.3685E-02  0.3874E-04
191            -8304  692887  0.5903E-05  0.1008E-02  0.2810E-02  0.3819E-02  0.3928E-04
191            -8304  687887  0.6261E-05  0.1051E-02  0.2877E-02  0.3928E-02  0.4023E-04
