name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
190           -10893  724690  0.3333E+01  0.4728E+02  0.7919E+02  0.1265E+03  0.1245E+01  0.2490E+00
190           -11789  720123  0.3367E+01  0.4770E+02  0.7975E+02  0.1275E+03  0.1254E+01  0.2509E+00
190           -13625  716559  0.3399E+01  0.4808E+02  0.8015E+02  0.1282E+03  0.1262E+01  0.2524E+00
191           -12679  703413  0.3483E+01  0.4921E+02  0.8146E+02  0.1307E+03  0.1287E+01  0.2575E+00
191           -12290  700436  0.3503E+01  0.4948E+02  0.8174E+02  0.1312E+03  0.1294E+01  0.2587E+00
191           -12027  695458  0.3539E+01  0.4998E+02  0.8219E+02  0.1322E+03  0.1305E+01  0.2611E+00
191           -11751  690473  0.3557E+01  0.5035E+02  0.8267E+02  0.1330E+03  0.1315E+01  0.2630E+00
191           -11473  685496  0.3588E+01  0.5076E+02  0.8329E+02  0.1340E+03  0.1324E+01  0.2649E+00
191           -11188  680535  0.3624E+01  0.5123E+02  0.8379E+02  0.1350E+03  0.1334E+01  0.2669E+00
191           -10885  675621  0.3661E+01  0.5169E+02  0.8424E+02  0.1359E+03  0.1344E+01  0.2688E+00
191           -10543  670662  0.3730E+01  0.4653E+02  0.8490E+02  0.1314E+03  0.1358E+01  0.2716E+00
191           -10083  665526  0.3761E+01  0.4684E+02  0.8532E+02  0.1322E+03  0.1365E+01  0.2730E+00
190            -6444  737142  0.3227E+01  0.4609E+02  0.7794E+02  0.1240E+03  0.1218E+01  0.2435E+00
190            -7328  732560  0.3261E+01  0.4653E+02  0.7847E+02  0.1250E+03  0.1227E+01  0.2455E+00
190            -8099  727808  0.3303E+01  0.4692E+02  0.7880E+02  0.1257E+03  0.1238E+01  0.2476E+00
190            -8758  723288  0.3334E+01  0.4732E+02  0.7936E+02  0.1267E+03  0.1247E+01  0.2494E+00
190            -9853  719931  0.3361E+01  0.4765E+02  0.7974E+02  0.1274E+03  0.1254E+01  0.2508E+00
191            -8325  702221  0.3473E+01  0.4921E+02  0.8153E+02  0.1307E+03  0.1290E+01  0.2580E+00
191            -8304  697887  0.3503E+01  0.4961E+02  0.8196E+02  0.1316E+03  0.1299E+01  0.2598E+00
191            -8304  692887  0.3542E+01  0.5009E+02  0.8239E+02  0.1325E+03  0.1309E+01  0.2619E+00
191            -8304  687887  0.3560E+01  0.5047E+02  0.8295E+02  0.1334E+03  0.1319E+01  0.2639E+00
191            -8304  682887  0.3599E+01  0.5096E+02  0.8355E+02  0.1345E+03  0.1331E+01  0.2661E+00
191            -8304  677887  0.3635E+01  0.5147E+02  0.8406E+02  0.1355E+03  0.1341E+01  0.2682E+00
191            -8304  672887  0.3702E+01  0.4631E+02  0.8468E+02  0.1310E+03  0.1353E+01  0.2707E+00
191            -8221  667893  0.3740E+01  0.4668E+02  0.8513E+02  0.1318E+03  0.1362E+01  0.2724E+00
191            -7972  662945  0.3777E+01  0.4706E+02  0.8558E+02  0.1326E+03  0.1371E+01  0.2742E+00
191            -7639  657982  0.3814E+01  0.4743E+02  0.8604E+02  0.1335E+03  0.1380E+01  0.2761E+00
191            -7675  654994  0.3840E+01  0.4767E+02  0.8629E+02  0.1340E+03  0.1386E+01  0.2772E+00
190            -1693  754909  0.3101E+01  0.4446E+02  0.7613E+02  0.1206E+03  0.1182E+01  0.2365E+00
190            -2454  749971  0.3133E+01  0.4488E+02  0.7667E+02  0.1215E+03  0.1192E+01  0.2383E+00
