name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
190           -10893  724690  0.4134E-01  0.4423E+00  0.5990E+00  0.1041E+01  0.1182E-01  0.2363E-02
190           -11789  720123  0.4194E-01  0.4496E+00  0.5981E+00  0.1048E+01  0.1199E-01  0.2399E-02
190           -13625  716559  0.4214E-01  0.4525E+00  0.5954E+00  0.1048E+01  0.1208E-01  0.2416E-02
191           -12679  703413  0.4483E-01  0.4808E+00  0.6121E+00  0.1093E+01  0.1282E-01  0.2564E-02
191           -12290  700436  0.4550E-01  0.4879E+00  0.6165E+00  0.1104E+01  0.1300E-01  0.2600E-02
191           -12027  695458  0.4655E-01  0.5000E+00  0.6235E+00  0.1123E+01  0.1331E-01  0.2661E-02
191           -11751  690473  0.4789E-01  0.5157E+00  0.6300E+00  0.1146E+01  0.1367E-01  0.2734E-02
191           -11473  685496  0.4930E-01  0.5326E+00  0.6380E+00  0.1171E+01  0.1407E-01  0.2814E-02
191           -11188  680535  0.5089E-01  0.5519E+00  0.6468E+00  0.1199E+01  0.1450E-01  0.2900E-02
191           -10885  675621  0.5244E-01  0.5710E+00  0.6573E+00  0.1228E+01  0.1494E-01  0.2987E-02
191           -10543  670662  0.5438E-01  0.5306E+00  0.6651E+00  0.1196E+01  0.1539E-01  0.3077E-02
191           -10083  665526  0.5622E-01  0.5489E+00  0.6740E+00  0.1223E+01  0.1584E-01  0.3169E-02
190            -6444  737142  0.4009E-01  0.4253E+00  0.6003E+00  0.1026E+01  0.1145E-01  0.2290E-02
190            -7328  732560  0.4068E-01  0.4329E+00  0.6013E+00  0.1034E+01  0.1161E-01  0.2322E-02
190            -8099  727808  0.4135E-01  0.4406E+00  0.6050E+00  0.1046E+01  0.1177E-01  0.2355E-02
190            -8758  723288  0.4211E-01  0.4497E+00  0.6079E+00  0.1058E+01  0.1198E-01  0.2396E-02
