name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
166           184048  370784  0.3803E+01  0.2747E+03  0.8795E+02  0.3626E+03  0.2923E+00
166           183769  370837  0.4162E+01  0.2386E+03  0.8763E+02  0.3262E+03  0.2891E+00
166           184141  370837  0.3743E+01  0.2701E+03  0.8763E+02  0.3577E+03  0.2924E+00
166           184327  370837  0.3643E+01  0.2636E+03  0.8701E+02  0.3506E+03  0.2919E+00
166           184513  370837  0.3561E+01  0.2578E+03  0.8649E+02  0.3443E+03  0.2918E+00
166           183676  370891  0.4206E+01  0.2410E+03  0.8792E+02  0.3289E+03  0.2895E+00
166           184048  370891  0.3775E+01  0.2726E+03  0.8800E+02  0.3606E+03  0.2925E+00
166           184234  370891  0.3676E+01  0.2661E+03  0.8732E+02  0.3534E+03  0.2923E+00
167           184234  370891  0.3676E+01  0.2661E+03  0.8732E+02  0.3534E+03  0.2923E+00
166           184420  370891  0.3586E+01  0.2599E+03  0.8675E+02  0.3466E+03  0.2919E+00
166           184606  370891  0.3513E+01  0.2542E+03  0.8620E+02  0.3404E+03  0.2917E+00
166           184792  370891  0.3450E+01  0.2492E+03  0.8578E+02  0.3350E+03  0.2912E+00
493           184978  370891  0.3396E+01  0.2449E+03  0.8551E+02  0.3304E+03  0.2906E+00
166           183769  370945  0.4128E+01  0.2366E+03  0.8769E+02  0.3243E+03  0.2895E+00
535           183955  370945  0.4014E+01  0.2300E+03  0.8715E+02  0.3172E+03  0.2888E+00
166           184141  370945  0.3710E+01  0.2681E+03  0.8770E+02  0.3558E+03  0.2925E+00
167           184141  370945  0.3710E+01  0.2681E+03  0.8770E+02  0.3558E+03  0.2925E+00
166           184327  370945  0.3618E+01  0.2620E+03  0.8700E+02  0.3490E+03  0.2922E+00
166           184513  370945  0.3535E+01  0.2558E+03  0.8639E+02  0.3422E+03  0.2921E+00
166           184699  370945  0.3471E+01  0.2508E+03  0.8601E+02  0.3368E+03  0.2918E+00
493           184885  370945  0.3412E+01  0.2463E+03  0.8559E+02  0.3319E+03  0.2917E+00
493           185071  370945  0.3620E+01  0.1889E+03  0.8460E+02  0.2735E+03  0.2917E+00
166           183676  370999  0.4171E+01  0.2388E+03  0.8790E+02  0.3267E+03  0.2897E+00
