name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
166           184048  370784  0.5472E+00  0.4170E+02  0.2707E+02  0.6877E+02  0.9812E-01
166           183769  370837  0.5667E+00  0.3493E+02  0.2704E+02  0.6197E+02  0.9625E-01
166           184141  370837  0.5465E+00  0.4166E+02  0.2707E+02  0.6873E+02  0.9816E-01
166           184327  370837  0.5443E+00  0.4158E+02  0.2701E+02  0.6859E+02  0.9815E-01
166           184513  370837  0.5437E+00  0.4154E+02  0.2697E+02  0.6851E+02  0.9822E-01
166           183676  370891  0.5673E+00  0.3497E+02  0.2707E+02  0.6204E+02  0.9626E-01
166           184048  370891  0.5466E+00  0.4168E+02  0.2712E+02  0.6879E+02  0.9812E-01
166           184234  370891  0.5448E+00  0.4161E+02  0.2707E+02  0.6868E+02  0.9818E-01
167           184234  370891  0.5448E+00  0.4161E+02  0.2707E+02  0.6868E+02  0.9818E-01
166           184420  370891  0.5433E+00  0.4153E+02  0.2702E+02  0.6855E+02  0.9819E-01
166           184606  370891  0.5428E+00  0.4151E+02  0.2697E+02  0.6848E+02  0.9825E-01
166           184792  370891  0.5426E+00  0.4148E+02  0.2694E+02  0.6842E+02  0.9832E-01
493           184978  370891  0.5425E+00  0.4148E+02  0.2690E+02  0.6838E+02  0.9844E-01
166           183769  370945  0.5661E+00  0.3492E+02  0.2709E+02  0.6201E+02  0.9635E-01
535           183955  370945  0.5647E+00  0.3484E+02  0.2705E+02  0.6189E+02  0.9649E-01
166           184141  370945  0.5455E+00  0.4162E+02  0.2713E+02  0.6875E+02  0.9821E-01
167           184141  370945  0.5455E+00  0.4162E+02  0.2713E+02  0.6875E+02  0.9821E-01
166           184327  370945  0.5434E+00  0.4154E+02  0.2706E+02  0.6860E+02  0.9822E-01
166           184513  370945  0.5424E+00  0.4149E+02  0.2701E+02  0.6850E+02  0.9827E-01
166           184699  370945  0.5419E+00  0.4146E+02  0.2698E+02  0.6844E+02  0.9830E-01
493           184885  370945  0.5420E+00  0.4145E+02  0.2694E+02  0.6839E+02  0.9845E-01
493           185071  370945  0.5664E+00  0.3255E+02  0.2682E+02  0.5938E+02  0.9812E-01
166           183676  370999  0.5670E+00  0.3498E+02  0.2713E+02  0.6211E+02  0.9632E-01
166           183862  370999  0.5651E+00  0.3487E+02  0.2710E+02  0.6197E+02  0.9646E-01
535           184048  370999  0.5459E+00  0.4166E+02  0.2717E+02  0.6883E+02  0.9817E-01
166           184234  370999  0.5438E+00  0.4157E+02  0.2711E+02  0.6868E+02  0.9823E-01
167           184234  370999  0.5438E+00  0.4157E+02  0.2711E+02  0.6868E+02  0.9823E-01
166           184420  370999  0.5424E+00  0.4149E+02  0.2706E+02  0.6855E+02  0.9824E-01
166           184606  370999  0.5414E+00  0.4144E+02  0.2701E+02  0.6845E+02  0.9825E-01
493           184792  370999  0.5413E+00  0.4145E+02  0.2698E+02  0.6843E+02  0.9835E-01
493           184978  370999  0.5412E+00  0.4143E+02  0.2694E+02  0.6837E+02  0.9846E-01
493           185165  370999  0.5656E+00  0.3255E+02  0.2681E+02  0.5936E+02  0.9815E-01
166           183582  371052  0.5815E+00  0.3305E+02  0.2704E+02  0.6009E+02  0.9450E-01
166           183769  371052  0.5793E+00  0.3296E+02  0.2701E+02  0.5997E+02  0.9462E-01
535           183769  371052  0.5793E+00  0.3296E+02  0.2701E+02  0.5997E+02  0.9462E-01
166           183955  371052  0.5778E+00  0.3287E+02  0.2696E+02  0.5983E+02  0.9479E-01
220           183955  371052  0.5778E+00  0.3287E+02  0.2696E+02  0.5983E+02  0.9479E-01
535           183955  371052  0.5778E+00  0.3287E+02  0.2696E+02  0.5983E+02  0.9479E-01
166           184141  371052  0.5715E+00  0.3408E+02  0.2705E+02  0.6112E+02  0.9711E-01
166           184327  371052  0.5689E+00  0.3396E+02  0.2699E+02  0.6095E+02  0.9707E-01
167           184327  371052  0.5689E+00  0.3396E+02  0.2699E+02  0.6095E+02  0.9707E-01
166           184513  371052  0.5680E+00  0.3390E+02  0.2695E+02  0.6086E+02  0.9713E-01
166           184699  371052  0.5675E+00  0.3387E+02  0.2691E+02  0.6078E+02  0.9721E-01
493           184885  371052  0.5677E+00  0.3387E+02  0.2687E+02  0.6074E+02  0.9736E-01
493           185071  371052  0.5516E+00  0.3918E+02  0.2686E+02  0.6604E+02  0.9680E-01
166           183303  371106  0.5851E+00  0.3325E+02  0.2716E+02  0.6041E+02  0.9456E-01
166           183489  371106  0.5824E+00  0.3312E+02  0.2710E+02  0.6022E+02  0.9457E-01
166           183676  371106  0.5805E+00  0.3302E+02  0.2706E+02  0.6009E+02  0.9464E-01
535           183862  371106  0.5786E+00  0.3292E+02  0.2700E+02  0.5992E+02  0.9478E-01
166           184048  371106  0.5721E+00  0.3412E+02  0.2708E+02  0.6121E+02  0.9715E-01
220           184048  371106  0.5721E+00  0.3412E+02  0.2708E+02  0.6121E+02  0.9715E-01
535           184048  371106  0.5721E+00  0.3412E+02  0.2708E+02  0.6121E+02  0.9715E-01
166           184234  371106  0.5697E+00  0.3401E+02  0.2704E+02  0.6105E+02  0.9714E-01
167           184234  371106  0.5697E+00  0.3401E+02  0.2704E+02  0.6105E+02  0.9714E-01
166           184420  371106  0.5681E+00  0.3392E+02  0.2699E+02  0.6091E+02  0.9715E-01
166           184606  371106  0.5673E+00  0.3387E+02  0.2694E+02  0.6082E+02  0.9718E-01
166           184792  371106  0.5673E+00  0.3386E+02  0.2691E+02  0.6077E+02  0.9731E-01
493           184792  371106  0.5673E+00  0.3386E+02  0.2691E+02  0.6077E+02  0.9731E-01
493           184978  371106  0.5670E+00  0.3384E+02  0.2687E+02  0.6072E+02  0.9739E-01
493           185165  371106  0.5507E+00  0.3915E+02  0.2684E+02  0.6599E+02  0.9686E-01
166           183210  371160  0.5867E+00  0.3335E+02  0.2719E+02  0.6054E+02  0.9458E-01
166           183396  371160  0.5837E+00  0.3320E+02  0.2714E+02  0.6033E+02  0.9469E-01
166           183582  371160  0.5814E+00  0.3308E+02  0.2710E+02  0.6017E+02  0.9459E-01
166           183769  371160  0.5792E+00  0.3297E+02  0.2705E+02  0.6002E+02  0.9471E-01
167           183769  371160  0.5792E+00  0.3297E+02  0.2705E+02  0.6002E+02  0.9471E-01
535           183769  371160  0.5792E+00  0.3297E+02  0.2705E+02  0.6002E+02  0.9471E-01
166           183955  371160  0.5768E+00  0.3284E+02  0.2700E+02  0.5984E+02  0.9483E-01
220           183955  371160  0.5768E+00  0.3284E+02  0.2700E+02  0.5984E+02  0.9483E-01
166           184141  371160  0.5705E+00  0.3406E+02  0.2708E+02  0.6114E+02  0.9715E-01
166           184327  371160  0.5680E+00  0.3394E+02  0.2703E+02  0.6096E+02  0.9711E-01
167           184327  371160  0.5680E+00  0.3394E+02  0.2703E+02  0.6096E+02  0.9711E-01
166           184513  371160  0.5669E+00  0.3388E+02  0.2699E+02  0.6087E+02  0.9718E-01
166           184699  371160  0.5665E+00  0.3385E+02  0.2695E+02  0.6080E+02  0.9725E-01
493           184885  371160  0.5662E+00  0.3383E+02  0.2691E+02  0.6075E+02  0.9736E-01
493           185071  371160  0.5500E+00  0.3911E+02  0.2687E+02  0.6598E+02  0.9682E-01
493           185258  371160  0.5498E+00  0.3911E+02  0.2685E+02  0.6596E+02  0.9691E-01
166           183303  371213  0.5848E+00  0.3327E+02  0.2719E+02  0.6046E+02  0.9470E-01
166           183489  371213  0.5821E+00  0.3314E+02  0.2713E+02  0.6026E+02  0.9469E-01
166           183676  371213  0.5799E+00  0.3302E+02  0.2708E+02  0.6011E+02  0.9472E-01
166           183862  371213  0.5778E+00  0.3292E+02  0.2706E+02  0.5998E+02  0.9482E-01
535           183862  371213  0.5778E+00  0.3292E+02  0.2706E+02  0.5998E+02  0.9482E-01
166           184048  371213  0.5710E+00  0.3411E+02  0.2713E+02  0.6124E+02  0.9720E-01
220           184048  371213  0.5710E+00  0.3411E+02  0.2713E+02  0.6124E+02  0.9720E-01
166           184234  371213  0.5686E+00  0.3398E+02  0.2707E+02  0.6105E+02  0.9720E-01
166           184420  371213  0.5670E+00  0.3390E+02  0.2702E+02  0.6092E+02  0.9718E-01
166           184606  371213  0.5660E+00  0.3385E+02  0.2698E+02  0.6083E+02  0.9720E-01
166           184792  371213  0.5656E+00  0.3382E+02  0.2695E+02  0.6077E+02  0.9730E-01
493           184792  371213  0.5656E+00  0.3382E+02  0.2695E+02  0.6077E+02  0.9730E-01
493           184978  371213  0.5653E+00  0.3380E+02  0.2690E+02  0.6070E+02  0.9738E-01
535           184978  371213  0.5653E+00  0.3380E+02  0.2690E+02  0.6070E+02  0.9738E-01
493           185165  371213  0.5493E+00  0.3910E+02  0.2689E+02  0.6599E+02  0.9687E-01
493           185351  371213  0.5490E+00  0.3907E+02  0.2684E+02  0.6591E+02  0.9695E-01
166           183210  371267  0.5863E+00  0.3336E+02  0.2724E+02  0.6060E+02  0.9467E-01
166           183396  371267  0.5836E+00  0.3323E+02  0.2718E+02  0.6041E+02  0.9481E-01
166           183582  371267  0.5811E+00  0.3309E+02  0.2713E+02  0.6022E+02  0.9472E-01
166           183769  371267  0.5786E+00  0.3297E+02  0.2709E+02  0.6006E+02  0.9481E-01
166           183955  371267  0.5780E+00  0.3280E+02  0.2707E+02  0.5987E+02  0.9539E-01
220           183955  371267  0.5780E+00  0.3280E+02  0.2707E+02  0.5987E+02  0.9539E-01
166           184141  371267  0.5697E+00  0.3405E+02  0.2712E+02  0.6117E+02  0.9726E-01
166           184327  371267  0.5672E+00  0.3392E+02  0.2706E+02  0.6098E+02  0.9720E-01
167           184327  371267  0.5672E+00  0.3392E+02  0.2706E+02  0.6098E+02  0.9720E-01
166           184513  371267  0.5660E+00  0.3386E+02  0.2702E+02  0.6088E+02  0.9725E-01
535           184513  371267  0.5660E+00  0.3386E+02  0.2702E+02  0.6088E+02  0.9725E-01
166           184699  371267  0.5656E+00  0.3384E+02  0.2699E+02  0.6084E+02  0.9733E-01
535           184699  371267  0.5656E+00  0.3384E+02  0.2699E+02  0.6084E+02  0.9733E-01
493           184885  371267  0.5647E+00  0.3378E+02  0.2695E+02  0.6073E+02  0.9740E-01
535           184885  371267  0.5647E+00  0.3378E+02  0.2695E+02  0.6073E+02  0.9740E-01
493           185071  371267  0.5487E+00  0.3906E+02  0.2692E+02  0.6597E+02  0.9683E-01
493           185258  371267  0.5484E+00  0.3905E+02  0.2689E+02  0.6594E+02  0.9694E-01
166           183117  371321  0.5876E+00  0.3344E+02  0.2728E+02  0.6072E+02  0.9464E-01
166           183303  371321  0.5843E+00  0.3327E+02  0.2723E+02  0.6050E+02  0.9475E-01
166           183489  371321  0.5820E+00  0.3317E+02  0.2718E+02  0.6035E+02  0.9479E-01
166           183676  371321  0.5795E+00  0.3303E+02  0.2713E+02  0.6016E+02  0.9479E-01
166           183862  371321  0.5772E+00  0.3292E+02  0.2707E+02  0.5998E+02  0.9492E-01
166           184048  371321  0.5704E+00  0.3410E+02  0.2715E+02  0.6125E+02  0.9730E-01
220           184048  371321  0.5704E+00  0.3410E+02  0.2715E+02  0.6125E+02  0.9730E-01
166           184234  371321  0.5680E+00  0.3398E+02  0.2711E+02  0.6109E+02  0.9729E-01
166           184420  371321  0.5663E+00  0.3389E+02  0.2706E+02  0.6095E+02  0.9726E-01
535           184420  371321  0.5663E+00  0.3389E+02  0.2706E+02  0.6095E+02  0.9726E-01
166           184606  371321  0.5653E+00  0.3384E+02  0.2703E+02  0.6087E+02  0.9728E-01
535           184606  371321  0.5653E+00  0.3384E+02  0.2703E+02  0.6087E+02  0.9728E-01
166           184792  371321  0.5648E+00  0.3381E+02  0.2700E+02  0.6082E+02  0.9740E-01
493           184792  371321  0.5648E+00  0.3381E+02  0.2700E+02  0.6082E+02  0.9740E-01
535           184792  371321  0.5648E+00  0.3381E+02  0.2700E+02  0.6082E+02  0.9740E-01
493           184978  371321  0.5640E+00  0.3376E+02  0.2694E+02  0.6071E+02  0.9747E-01
535           184978  371321  0.5640E+00  0.3376E+02  0.2694E+02  0.6071E+02  0.9747E-01
493           185165  371321  0.5478E+00  0.3902E+02  0.2692E+02  0.6594E+02  0.9692E-01
493           185351  371321  0.5477E+00  0.3902E+02  0.2687E+02  0.6590E+02  0.9696E-01
166           183210  371375  0.5859E+00  0.3338E+02  0.2729E+02  0.6066E+02  0.9472E-01
166           183396  371375  0.5832E+00  0.3324E+02  0.2723E+02  0.6047E+02  0.9483E-01
166           183582  371375  0.5807E+00  0.3311E+02  0.2717E+02  0.6028E+02  0.9477E-01
166           183769  371375  0.5781E+00  0.3298E+02  0.2711E+02  0.6009E+02  0.9488E-01
166           183955  371375  0.5773E+00  0.3279E+02  0.2709E+02  0.5988E+02  0.9547E-01
220           183955  371375  0.5773E+00  0.3279E+02  0.2709E+02  0.5988E+02  0.9547E-01
166           184141  371375  0.5690E+00  0.3404E+02  0.2715E+02  0.6119E+02  0.9730E-01
166           184327  371375  0.5664E+00  0.3392E+02  0.2712E+02  0.6104E+02  0.9726E-01
166           184513  371375  0.5654E+00  0.3387E+02  0.2708E+02  0.6094E+02  0.9734E-01
535           184513  371375  0.5654E+00  0.3387E+02  0.2708E+02  0.6094E+02  0.9734E-01
166           184699  371375  0.5645E+00  0.3382E+02  0.2704E+02  0.6086E+02  0.9737E-01
535           184699  371375  0.5645E+00  0.3382E+02  0.2704E+02  0.6086E+02  0.9737E-01
493           184885  371375  0.5636E+00  0.3377E+02  0.2698E+02  0.6075E+02  0.9747E-01
535           184885  371375  0.5636E+00  0.3377E+02  0.2698E+02  0.6075E+02  0.9747E-01
493           185071  371375  0.5477E+00  0.3904E+02  0.2696E+02  0.6599E+02  0.9689E-01
493           185258  371375  0.5472E+00  0.3900E+02  0.2693E+02  0.6593E+02  0.9698E-01
493           185444  371375  0.5467E+00  0.3898E+02  0.2689E+02  0.6587E+02  0.9704E-01
166           183117  371428  0.5876E+00  0.3348E+02  0.2733E+02  0.6082E+02  0.9466E-01
166           183303  371428  0.5841E+00  0.3330E+02  0.2727E+02  0.6057E+02  0.9478E-01
166           183489  371428  0.5815E+00  0.3317E+02  0.2722E+02  0.6039E+02  0.9481E-01
166           183676  371428  0.5791E+00  0.3305E+02  0.2717E+02  0.6022E+02  0.9484E-01
166           183862  371428  0.5768E+00  0.3293E+02  0.2711E+02  0.6004E+02  0.9494E-01
166           184048  371428  0.5698E+00  0.3410E+02  0.2720E+02  0.6130E+02  0.9732E-01
220           184048  371428  0.5698E+00  0.3410E+02  0.2720E+02  0.6130E+02  0.9732E-01
166           184234  371428  0.5673E+00  0.3398E+02  0.2715E+02  0.6112E+02  0.9735E-01
166           184420  371428  0.5655E+00  0.3388E+02  0.2710E+02  0.6099E+02  0.9735E-01
535           184420  371428  0.5655E+00  0.3388E+02  0.2710E+02  0.6099E+02  0.9735E-01
166           184606  371428  0.5645E+00  0.3383E+02  0.2708E+02  0.6091E+02  0.9734E-01
535           184606  371428  0.5645E+00  0.3383E+02  0.2708E+02  0.6091E+02  0.9734E-01
166           184792  371428  0.5634E+00  0.3377E+02  0.2703E+02  0.6080E+02  0.9739E-01
493           184792  371428  0.5634E+00  0.3377E+02  0.2703E+02  0.6080E+02  0.9739E-01
535           184792  371428  0.5634E+00  0.3377E+02  0.2703E+02  0.6080E+02  0.9739E-01
493           184978  371428  0.5627E+00  0.3374E+02  0.2699E+02  0.6073E+02  0.9749E-01
493           185165  371428  0.5468E+00  0.3899E+02  0.2697E+02  0.6596E+02  0.9695E-01
493           185351  371428  0.5464E+00  0.3897E+02  0.2692E+02  0.6589E+02  0.9701E-01
166           183210  371482  0.5856E+00  0.3340E+02  0.2733E+02  0.6072E+02  0.9473E-01
166           183396  371482  0.5830E+00  0.3326E+02  0.2727E+02  0.6054E+02  0.9487E-01
166           183582  371482  0.5803E+00  0.3312E+02  0.2722E+02  0.6034E+02  0.9479E-01
166           183769  371482  0.5777E+00  0.3299E+02  0.2715E+02  0.6014E+02  0.9492E-01
166           183955  371482  0.5769E+00  0.3280E+02  0.2714E+02  0.5994E+02  0.9551E-01
220           183955  371482  0.5769E+00  0.3280E+02  0.2714E+02  0.5994E+02  0.9551E-01
166           184141  371482  0.5682E+00  0.3404E+02  0.2720E+02  0.6123E+02  0.9733E-01
166           184327  371482  0.5656E+00  0.3392E+02  0.2715E+02  0.6107E+02  0.9733E-01
166           184513  371482  0.5643E+00  0.3384E+02  0.2710E+02  0.6094E+02  0.9738E-01
167           184513  371482  0.5643E+00  0.3384E+02  0.2710E+02  0.6094E+02  0.9738E-01
535           184513  371482  0.5643E+00  0.3384E+02  0.2710E+02  0.6094E+02  0.9738E-01
166           184699  371482  0.5632E+00  0.3379E+02  0.2707E+02  0.6086E+02  0.9738E-01
535           184699  371482  0.5632E+00  0.3379E+02  0.2707E+02  0.6086E+02  0.9738E-01
166           184885  371482  0.5622E+00  0.3373E+02  0.2702E+02  0.6075E+02  0.9748E-01
493           184885  371482  0.5622E+00  0.3373E+02  0.2702E+02  0.6075E+02  0.9748E-01
166           185071  371482  0.5464E+00  0.3899E+02  0.2699E+02  0.6598E+02  0.9690E-01
493           185071  371482  0.5464E+00  0.3899E+02  0.2699E+02  0.6598E+02  0.9690E-01
493           185258  371482  0.5459E+00  0.3895E+02  0.2697E+02  0.6592E+02  0.9696E-01
493           185444  371482  0.5455E+00  0.3894E+02  0.2693E+02  0.6588E+02  0.9709E-01
166           183117  371536  0.5877E+00  0.3352E+02  0.2738E+02  0.6090E+02  0.9474E-01
166           183303  371536  0.5842E+00  0.3334E+02  0.2732E+02  0.6066E+02  0.9480E-01
166           183489  371536  0.5814E+00  0.3320E+02  0.2727E+02  0.6047E+02  0.9484E-01
166           183676  371536  0.5789E+00  0.3306E+02  0.2721E+02  0.6027E+02  0.9487E-01
166           183862  371536  0.5765E+00  0.3294E+02  0.2716E+02  0.6010E+02  0.9499E-01
166           184048  371536  0.5693E+00  0.3411E+02  0.2725E+02  0.6136E+02  0.9729E-01
166           184234  371536  0.5665E+00  0.3398E+02  0.2720E+02  0.6118E+02  0.9729E-01
166           184420  371536  0.5649E+00  0.3389E+02  0.2716E+02  0.6104E+02  0.9734E-01
535           184420  371536  0.5649E+00  0.3389E+02  0.2716E+02  0.6104E+02  0.9734E-01
166           184606  371536  0.5637E+00  0.3382E+02  0.2711E+02  0.6092E+02  0.9736E-01
535           184606  371536  0.5637E+00  0.3382E+02  0.2711E+02  0.6092E+02  0.9736E-01
166           184792  371536  0.5626E+00  0.3377E+02  0.2706E+02  0.6083E+02  0.9740E-01
535           184792  371536  0.5626E+00  0.3377E+02  0.2706E+02  0.6083E+02  0.9740E-01
166           184978  371536  0.5615E+00  0.3371E+02  0.2703E+02  0.6074E+02  0.9747E-01
493           184978  371536  0.5615E+00  0.3371E+02  0.2703E+02  0.6074E+02  0.9747E-01
493           185165  371536  0.5458E+00  0.3897E+02  0.2701E+02  0.6598E+02  0.9690E-01
493           185351  371536  0.5455E+00  0.3896E+02  0.2697E+02  0.6593E+02  0.9699E-01
166           183210  371590  0.5857E+00  0.3343E+02  0.2738E+02  0.6082E+02  0.9477E-01
166           183396  371590  0.5830E+00  0.3330E+02  0.2732E+02  0.6062E+02  0.9491E-01
166           183582  371590  0.5802E+00  0.3314E+02  0.2726E+02  0.6040E+02  0.9485E-01
166           183769  371590  0.5772E+00  0.3300E+02  0.2720E+02  0.6020E+02  0.9494E-01
166           183955  371590  0.5765E+00  0.3281E+02  0.2719E+02  0.6000E+02  0.9553E-01
166           184141  371590  0.5676E+00  0.3404E+02  0.2726E+02  0.6130E+02  0.9731E-01
166           184327  371590  0.5653E+00  0.3393E+02  0.2721E+02  0.6113E+02  0.9737E-01
166           184513  371590  0.5640E+00  0.3385E+02  0.2716E+02  0.6101E+02  0.9742E-01
167           184513  371590  0.5640E+00  0.3385E+02  0.2716E+02  0.6101E+02  0.9742E-01
535           184513  371590  0.5640E+00  0.3385E+02  0.2716E+02  0.6101E+02  0.9742E-01
166           184699  371590  0.5627E+00  0.3379E+02  0.2710E+02  0.6088E+02  0.9743E-01
535           184699  371590  0.5627E+00  0.3379E+02  0.2710E+02  0.6088E+02  0.9743E-01
166           184885  371590  0.5616E+00  0.3373E+02  0.2706E+02  0.6079E+02  0.9752E-01
166           185071  371590  0.5455E+00  0.3896E+02  0.2704E+02  0.6601E+02  0.9694E-01
493           185071  371590  0.5455E+00  0.3896E+02  0.2704E+02  0.6601E+02  0.9694E-01
493           185258  371590  0.5450E+00  0.3893E+02  0.2700E+02  0.6593E+02  0.9697E-01
493           185444  371590  0.5444E+00  0.3890E+02  0.2697E+02  0.6588E+02  0.9703E-01
166           183117  371643  0.5875E+00  0.3355E+02  0.2743E+02  0.6099E+02  0.9482E-01
166           183303  371643  0.5840E+00  0.3336E+02  0.2736E+02  0.6073E+02  0.9487E-01
166           183489  371643  0.5812E+00  0.3322E+02  0.2731E+02  0.6052E+02  0.9492E-01
166           183676  371643  0.5788E+00  0.3309E+02  0.2725E+02  0.6034E+02  0.9499E-01
166           183862  371643  0.5761E+00  0.3295E+02  0.2720E+02  0.6015E+02  0.9507E-01
166           184048  371643  0.5688E+00  0.3411E+02  0.2730E+02  0.6141E+02  0.9739E-01
166           184234  371643  0.5663E+00  0.3399E+02  0.2725E+02  0.6124E+02  0.9740E-01
166           184420  371643  0.5640E+00  0.3387E+02  0.2719E+02  0.6107E+02  0.9738E-01
535           184420  371643  0.5640E+00  0.3387E+02  0.2719E+02  0.6107E+02  0.9738E-01
166           184606  371643  0.5627E+00  0.3381E+02  0.2714E+02  0.6095E+02  0.9740E-01
