name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
190           226669  563454  0.5451E-01  0.8010E+01  0.2764E+01  0.1077E+02  0.2229E-02
190           226576  563508  0.5385E-01  0.7944E+01  0.2768E+01  0.1071E+02  0.2230E-02
190           226483  563561  0.5370E-01  0.7971E+01  0.2774E+01  0.1074E+02  0.2232E-02
190           226669  563561  0.5228E-01  0.7943E+01  0.2764E+01  0.1071E+02  0.2228E-02
190           226204  563615  0.5490E-01  0.8182E+01  0.2789E+01  0.1097E+02  0.2237E-02
190           226390  563615  0.5318E-01  0.7996E+01  0.2778E+01  0.1077E+02  0.2233E-02
190           226576  563615  0.5222E-01  0.7903E+01  0.2768E+01  0.1067E+02  0.2230E-02
190           226297  563669  0.5433E-01  0.8096E+01  0.2784E+01  0.1088E+02  0.2236E-02
190           226483  563669  0.5322E-01  0.7956E+01  0.2775E+01  0.1073E+02  0.2232E-02
190           226669  563669  0.5346E-01  0.8072E+01  0.2764E+01  0.1084E+02  0.2228E-02
190           226204  563723  0.5479E-01  0.8189E+01  0.2792E+01  0.1098E+02  0.2237E-02
190           226390  563723  0.5396E-01  0.8040E+01  0.2781E+01  0.1082E+02  0.2234E-02
190           226576  563723  0.5254E-01  0.7835E+01  0.2770E+01  0.1060E+02  0.2229E-02
190           226297  563776  0.5410E-01  0.8019E+01  0.2787E+01  0.1081E+02  0.2235E-02
190           226483  563776  0.5335E-01  0.7897E+01  0.2776E+01  0.1067E+02  0.2232E-02
190           226669  563776  0.5264E-01  0.7846E+01  0.2766E+01  0.1061E+02  0.2228E-02
190           226204  563830  0.5421E-01  0.7931E+01  0.2793E+01  0.1072E+02  0.2236E-02
190           226390  563830  0.5332E-01  0.7807E+01  0.2782E+01  0.1059E+02  0.2233E-02
190           226576  563830  0.5295E-01  0.7795E+01  0.2771E+01  0.1057E+02  0.2229E-02
190           226111  563884  0.5443E-01  0.7906E+01  0.2798E+01  0.1070E+02  0.2238E-02
190           226297  563884  0.5306E-01  0.7741E+01  0.2788E+01  0.1053E+02  0.2234E-02
190           226483  563884  0.5241E-01  0.7700E+01  0.2777E+01  0.1048E+02  0.2231E-02
190           226204  563938  0.5260E-01  0.7790E+01  0.2793E+01  0.1058E+02  0.2235E-02
190           226390  563938  0.5147E-01  0.7634E+01  0.2781E+01  0.1042E+02  0.2232E-02
190           226576  563938  0.5069E-01  0.7628E+01  0.2770E+01  0.1040E+02  0.2228E-02
190           226111  563991  0.4984E-01  0.7602E+01  0.2797E+01  0.1040E+02  0.2237E-02
190           226297  563991  0.4830E-01  0.7344E+01  0.2787E+01  0.1013E+02  0.2233E-02
190           226483  563991  0.4705E-01  0.7195E+01  0.2776E+01  0.9971E+01  0.2229E-02
190           226204  564045  0.3665E-01  0.7819E+01  0.2972E+01  0.1079E+02  0.2071E-02
204           226204  564045  0.3665E-01  0.7819E+01  0.2972E+01  0.1079E+02  0.2071E-02
190           226390  564045  0.3541E-01  0.7639E+01  0.2960E+01  0.1060E+02  0.2068E-02
190           226576  564045  0.3470E-01  0.7495E+01  0.2949E+01  0.1044E+02  0.2066E-02
190           226111  564099  0.3681E-01  0.7855E+01  0.2979E+01  0.1083E+02  0.2071E-02
204           226111  564099  0.3681E-01  0.7855E+01  0.2979E+01  0.1083E+02  0.2071E-02
190           226297  564099  0.3493E-01  0.7463E+01  0.2966E+01  0.1043E+02  0.2068E-02
204           226297  564099  0.3493E-01  0.7463E+01  0.2966E+01  0.1043E+02  0.2068E-02
190           226483  564099  0.3411E-01  0.7290E+01  0.2954E+01  0.1024E+02  0.2066E-02
190           226204  564152  0.3510E-01  0.7493E+01  0.2971E+01  0.1046E+02  0.2069E-02
204           226204  564152  0.3510E-01  0.7493E+01  0.2971E+01  0.1046E+02  0.2069E-02
190           226390  564152  0.3404E-01  0.7261E+01  0.2958E+01  0.1022E+02  0.2067E-02
190           226576  564152  0.3316E-01  0.7083E+01  0.2947E+01  0.1003E+02  0.2064E-02
190           226297  564206  0.3410E-01  0.7239E+01  0.2965E+01  0.1020E+02  0.2067E-02
 
