snr,x,y,q,hc,h,r,s,dv,cat,area,ps,component
"2017","13500","371500",0.002532,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","14500","369500",0.02406,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","14500","370500",0.01158,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","14500","371500",0.04368,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","14500","372500",0.02573,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","14500","377500",0.0008999,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","15500","366500",0.007124,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","15500","367500",0.0522,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","15500","368500",0.04072,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","15500","369500",0.03621,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","15500","370500",0.01491,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","15500","371500",0.02137,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","15500","372500",0.03991,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","15500","373500",0.01205,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","15500","374500",0.01166,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","15500","375500",0.03019,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","15500","376500",0.0178,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","15500","377500",0.01445,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","15500","378500",0.0005108,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","16500","365500",0.009885,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","16500","366500",0.04867,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","16500","367500",0.03759,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","16500","368500",0.03799,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","16500","369500",0.0289,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","16500","370500",0.03404,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","16500","371500",0.03126,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","16500","372500",0.04674,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","16500","373500",0.0393,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","16500","374500",0.0458,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","16500","375500",0.03817,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","16500","376500",0.04466,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","16500","377500",0.04084,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","16500","378500",0.01284,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","17500","365500",0.03261,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","17500","366500",0.04381,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","17500","367500",0.04801,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","17500","368500",0.05916,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","17500","369500",0.04722,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","17500","370500",0.03367,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","17500","371500",0.04574,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","17500","372500",0.04107,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","17500","373500",0.03694,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","17500","374500",0.03374,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","17500","375500",0.0429,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","17500","376500",0.05166,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","17500","377500",0.01926,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","17500","378500",0.0343,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","17500","379500",0.0004657,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","18500","363500",0.01232,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","18500","364500",0.04056,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","18500","365500",0.04464,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","18500","366500",0.02999,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","18500","367500",0.04323,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","18500","368500",0.05375,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","18500","369500",0.03852,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","18500","370500",0.04423,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","18500","371500",0.04405,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","18500","372500",0.04332,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","18500","373500",0.04016,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","18500","374500",0.03173,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","18500","375500",0.0459,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","18500","376500",0.03734,0,0.5,"1000",0.3,"5","4140","528","0",NH3
"2017","18500","377500",0.03619,0,0.5,"1000",0.3,"5","4140","528","0",NH3
