name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
190           226669  563454  0.1431E+01  0.1655E+03  0.5785E+02  0.2234E+03  0.1576E+00
190           226576  563508  0.1444E+01  0.1671E+03  0.5799E+02  0.2251E+03  0.1576E+00
190           226483  563561  0.1462E+01  0.1694E+03  0.5818E+02  0.2276E+03  0.1577E+00
190           226669  563561  0.1416E+01  0.1645E+03  0.5786E+02  0.2224E+03  0.1575E+00
190           226204  563615  0.1581E+01  0.1850E+03  0.5871E+02  0.2438E+03  0.1580E+00
190           226390  563615  0.1481E+01  0.1723E+03  0.5832E+02  0.2306E+03  0.1577E+00
190           226576  563615  0.1428E+01  0.1659E+03  0.5800E+02  0.2239E+03  0.1575E+00
190           226297  563669  0.1520E+01  0.1778E+03  0.5851E+02  0.2363E+03  0.1579E+00
190           226483  563669  0.1449E+01  0.1686E+03  0.5819E+02  0.2268E+03  0.1576E+00
190           226669  563669  0.1402E+01  0.1633E+03  0.5786E+02  0.2211E+03  0.1574E+00
190           226204  563723  0.1573E+01  0.1850E+03  0.5875E+02  0.2437E+03  0.1580E+00
190           226390  563723  0.1472E+01  0.1721E+03  0.5835E+02  0.2304E+03  0.1577E+00
190           226576  563723  0.1418E+01  0.1652E+03  0.5801E+02  0.2232E+03  0.1575E+00
190           226297  563776  0.1504E+01  0.1767E+03  0.5853E+02  0.2353E+03  0.1579E+00
190           226483  563776  0.1435E+01  0.1677E+03  0.5817E+02  0.2259E+03  0.1576E+00
190           226669  563776  0.1388E+01  0.1624E+03  0.5785E+02  0.2203E+03  0.1573E+00
190           226204  563830  0.1553E+01  0.1836E+03  0.5874E+02  0.2424E+03  0.1579E+00
190           226390  563830  0.1454E+01  0.1707E+03  0.5832E+02  0.2290E+03  0.1577E+00
190           226576  563830  0.1400E+01  0.1638E+03  0.5798E+02  0.2218E+03  0.1574E+00
190           226111  563884  0.1635E+01  0.1947E+03  0.5896E+02  0.2536E+03  0.1581E+00
190           226297  563884  0.1484E+01  0.1749E+03  0.5851E+02  0.2334E+03  0.1578E+00
190           226483  563884  0.1415E+01  0.1657E+03  0.5815E+02  0.2239E+03  0.1575E+00
190           226204  563938  0.1524E+01  0.1808E+03  0.5868E+02  0.2394E+03  0.1579E+00
190           226390  563938  0.1426E+01  0.1680E+03  0.5829E+02  0.2263E+03  0.1575E+00
190           226576  563938  0.1375E+01  0.1614E+03  0.5795E+02  0.2193E+03  0.1573E+00
190           226111  563991  0.1584E+01  0.1892E+03  0.5887E+02  0.2481E+03  0.1580E+00
190           226297  563991  0.1442E+01  0.1704E+03  0.5847E+02  0.2289E+03  0.1577E+00
190           226483  563991  0.1376E+01  0.1618E+03  0.5812E+02  0.2199E+03  0.1574E+00
190           226204  564045  0.1333E+01  0.2744E+03  0.6601E+02  0.3404E+03  0.1461E+00
204           226204  564045  0.1333E+01  0.2744E+03  0.6601E+02  0.3404E+03  0.1461E+00
190           226390  564045  0.1265E+01  0.2581E+03  0.6561E+02  0.3237E+03  0.1460E+00
190           226576  564045  0.1227E+01  0.2491E+03  0.6529E+02  0.3143E+03  0.1459E+00
190           226111  564099  0.1374E+01  0.2847E+03  0.6622E+02  0.3509E+03  0.1462E+00
204           226111  564099  0.1374E+01  0.2847E+03  0.6622E+02  0.3509E+03  0.1462E+00
190           226297  564099  0.1273E+01  0.2604E+03  0.6579E+02  0.3262E+03  0.1460E+00
204           226297  564099  0.1273E+01  0.2604E+03  0.6579E+02  0.3262E+03  0.1460E+00
190           226483  564099  0.1225E+01  0.2488E+03  0.6542E+02  0.3142E+03  0.1458E+00
190           226204  564152  0.1296E+01  0.2665E+03  0.6595E+02  0.3325E+03  0.1460E+00
204           226204  564152  0.1296E+01  0.2665E+03  0.6595E+02  0.3325E+03  0.1460E+00
190           226390  564152  0.1231E+01  0.2512E+03  0.6553E+02  0.3167E+03  0.1459E+00
190           226576  564152  0.1197E+01  0.2425E+03  0.6521E+02  0.3077E+03  0.1458E+00
190           226297  564206  0.1246E+01  0.2548E+03  0.6569E+02  0.3205E+03  0.1458E+00
 
