snr,x,y,q,hc,h,r,s,dv,cat,area,ps,component
"2017","14500","370500",0.001291,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","14500","375500",0.0001341,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","15500","367500",0.001833,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","15500","369500",0.0003759,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","15500","370500",7.226e-05,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","15500","374500",1.032e-05,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","15500","375500",0.001668,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","15500","376500",5.162e-06,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","16500","366500",0.01774,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","16500","368500",3.097e-05,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","16500","369500",0.02713,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","16500","370500",4.868e-05,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","16500","372500",0.004208,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","16500","373500",0.0002157,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","16500","375500",0.0001576,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","17500","365500",0.001159,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","17500","366500",0.0003503,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","17500","367500",0.0008354,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","17500","368500",0.003177,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","17500","369500",0.001878,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","17500","370500",0.0004626,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","17500","372500",1.548e-05,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","17500","373500",0.001616,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","17500","375500",2.065e-05,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","17500","376500",0.002613,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","18500","363500",0.03422,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","18500","364500",0.004819,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","18500","366500",0.0437,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","18500","367500",0.002839,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","18500","368500",0.0412,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","18500","369500",0.00016,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","18500","370500",0.0002529,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","18500","371500",0.001226,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","18500","374500",0.01431,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","18500","375500",0.0003759,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","18500","376500",0.001714,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","19500","363500",0.0009427,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","19500","364500",0.02209,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","19500","370500",0.05496,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","19500","377500",5.162e-06,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","19500","378500",2.065e-05,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","20500","363500",0.002804,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","20500","366500",0.1323,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","20500","367500",0.02239,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","20500","369500",0.209,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","20500","370500",0.009356,0,5,"1000",2.5,"4","4112","528","0",NH3
"2017","20500","371500",0.3033,0,5,"1000",2.5,"4","4112","528","0",NH3
