name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
190           226669  563454  0.5930E-01  0.8481E+01  0.4375E+01  0.1286E+02  0.6557E-02
190           226576  563508  0.5896E-01  0.8440E+01  0.4367E+01  0.1281E+02  0.6545E-02
190           226483  563561  0.5867E-01  0.8404E+01  0.4361E+01  0.1276E+02  0.6535E-02
190           226669  563561  0.5921E-01  0.8469E+01  0.4374E+01  0.1284E+02  0.6551E-02
190           226204  563615  0.5793E-01  0.8314E+01  0.4348E+01  0.1266E+02  0.6500E-02
190           226390  563615  0.5836E-01  0.8364E+01  0.4355E+01  0.1272E+02  0.6521E-02
190           226576  563615  0.5884E-01  0.8423E+01  0.4364E+01  0.1279E+02  0.6540E-02
190           226297  563669  0.5810E-01  0.8334E+01  0.4351E+01  0.1269E+02  0.6509E-02
190           226483  563669  0.5854E-01  0.8389E+01  0.4362E+01  0.1275E+02  0.6530E-02
190           226669  563669  0.5904E-01  0.8450E+01  0.4370E+01  0.1282E+02  0.6548E-02
190           226204  563723  0.5785E-01  0.8305E+01  0.4348E+01  0.1265E+02  0.6496E-02
190           226390  563723  0.5827E-01  0.8354E+01  0.4357E+01  0.1271E+02  0.6519E-02
190           226576  563723  0.5874E-01  0.8410E+01  0.4364E+01  0.1277E+02  0.6538E-02
190           226297  563776  0.5802E-01  0.8323E+01  0.4351E+01  0.1267E+02  0.6505E-02
190           226483  563776  0.5845E-01  0.8376E+01  0.4362E+01  0.1274E+02  0.6526E-02
190           226669  563776  0.5896E-01  0.8438E+01  0.4369E+01  0.1281E+02  0.6546E-02
190           226204  563830  0.5778E-01  0.8294E+01  0.4347E+01  0.1264E+02  0.6493E-02
190           226390  563830  0.5818E-01  0.8341E+01  0.4356E+01  0.1270E+02  0.6515E-02
190           226576  563830  0.5865E-01  0.8397E+01  0.4363E+01  0.1276E+02  0.6534E-02
190           226111  563884  0.5757E-01  0.8268E+01  0.4341E+01  0.1261E+02  0.6479E-02
190           226297  563884  0.5795E-01  0.8312E+01  0.4352E+01  0.1266E+02  0.6498E-02
190           226483  563884  0.5839E-01  0.8366E+01  0.4361E+01  0.1273E+02  0.6521E-02
190           226204  563938  0.5773E-01  0.8284E+01  0.4346E+01  0.1263E+02  0.6489E-02
190           226390  563938  0.5812E-01  0.8329E+01  0.4355E+01  0.1268E+02  0.6507E-02
190           226576  563938  0.5858E-01  0.8386E+01  0.4365E+01  0.1275E+02  0.6528E-02
190           226111  563991  0.5755E-01  0.8263E+01  0.4342E+01  0.1260E+02  0.6475E-02
190           226297  563991  0.5790E-01  0.8302E+01  0.4352E+01  0.1265E+02  0.6494E-02
190           226483  563991  0.5834E-01  0.8356E+01  0.4362E+01  0.1272E+02  0.6514E-02
190           226204  564045  0.5635E-01  0.1085E+02  0.4601E+01  0.1545E+02  0.5882E-02
204           226204  564045  0.5635E-01  0.1085E+02  0.4601E+01  0.1545E+02  0.5882E-02
190           226390  564045  0.5668E-01  0.1090E+02  0.4612E+01  0.1551E+02  0.5894E-02
190           226576  564045  0.5708E-01  0.1097E+02  0.4621E+01  0.1559E+02  0.5909E-02
190           226111  564099  0.5617E-01  0.1082E+02  0.4593E+01  0.1541E+02  0.5875E-02
204           226111  564099  0.5617E-01  0.1082E+02  0.4593E+01  0.1541E+02  0.5875E-02
190           226297  564099  0.5650E-01  0.1087E+02  0.4607E+01  0.1547E+02  0.5887E-02
204           226297  564099  0.5650E-01  0.1087E+02  0.4607E+01  0.1547E+02  0.5887E-02
190           226483  564099  0.5687E-01  0.1093E+02  0.4617E+01  0.1554E+02  0.5899E-02
190           226204  564152  0.5632E-01  0.1084E+02  0.4597E+01  0.1543E+02  0.5879E-02
204           226204  564152  0.5632E-01  0.1084E+02  0.4597E+01  0.1543E+02  0.5879E-02
190           226390  564152  0.5667E-01  0.1089E+02  0.4610E+01  0.1550E+02  0.5891E-02
190           226576  564152  0.5705E-01  0.1096E+02  0.4622E+01  0.1558E+02  0.5904E-02
190           226297  564206  0.5648E-01  0.1086E+02  0.4603E+01  0.1546E+02  0.5880E-02
 
