name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
190           226669  563454  0.2220E-01  0.3620E+01  0.2655E+01  0.6275E+01  0.2160E-02
190           226576  563508  0.2229E-01  0.3637E+01  0.2660E+01  0.6298E+01  0.2162E-02
190           226483  563561  0.2238E-01  0.3655E+01  0.2666E+01  0.6321E+01  0.2163E-02
190           226669  563561  0.2224E-01  0.3627E+01  0.2656E+01  0.6283E+01  0.2160E-02
190           226204  563615  0.2262E-01  0.3702E+01  0.2682E+01  0.6384E+01  0.2168E-02
190           226390  563615  0.2246E-01  0.3671E+01  0.2671E+01  0.6342E+01  0.2164E-02
190           226576  563615  0.2232E-01  0.3643E+01  0.2661E+01  0.6304E+01  0.2161E-02
190           226297  563669  0.2256E-01  0.3690E+01  0.2677E+01  0.6367E+01  0.2167E-02
190           226483  563669  0.2241E-01  0.3661E+01  0.2667E+01  0.6328E+01  0.2163E-02
190           226669  563669  0.2227E-01  0.3632E+01  0.2657E+01  0.6289E+01  0.2160E-02
190           226204  563723  0.2265E-01  0.3708E+01  0.2684E+01  0.6392E+01  0.2168E-02
190           226390  563723  0.2249E-01  0.3677E+01  0.2673E+01  0.6350E+01  0.2165E-02
190           226576  563723  0.2235E-01  0.3648E+01  0.2663E+01  0.6311E+01  0.2161E-02
190           226297  563776  0.2259E-01  0.3695E+01  0.2679E+01  0.6374E+01  0.2167E-02
190           226483  563776  0.2244E-01  0.3666E+01  0.2669E+01  0.6335E+01  0.2164E-02
190           226669  563776  0.2230E-01  0.3638E+01  0.2658E+01  0.6297E+01  0.2160E-02
190           226204  563830  0.2267E-01  0.3713E+01  0.2685E+01  0.6397E+01  0.2168E-02
190           226390  563830  0.2252E-01  0.3682E+01  0.2674E+01  0.6356E+01  0.2165E-02
190           226576  563830  0.2238E-01  0.3653E+01  0.2663E+01  0.6317E+01  0.2162E-02
190           226111  563884  0.2277E-01  0.3731E+01  0.2690E+01  0.6421E+01  0.2169E-02
190           226297  563884  0.2262E-01  0.3701E+01  0.2681E+01  0.6382E+01  0.2167E-02
190           226483  563884  0.2247E-01  0.3672E+01  0.2670E+01  0.6343E+01  0.2164E-02
190           226204  563938  0.2271E-01  0.3719E+01  0.2686E+01  0.6404E+01  0.2168E-02
190           226390  563938  0.2255E-01  0.3688E+01  0.2675E+01  0.6363E+01  0.2165E-02
190           226576  563938  0.2241E-01  0.3660E+01  0.2665E+01  0.6325E+01  0.2162E-02
190           226111  563991  0.2281E-01  0.3737E+01  0.2691E+01  0.6428E+01  0.2169E-02
190           226297  563991  0.2265E-01  0.3707E+01  0.2682E+01  0.6388E+01  0.2166E-02
190           226483  563991  0.2251E-01  0.3678E+01  0.2672E+01  0.6350E+01  0.2163E-02
190           226204  564045  0.2210E-01  0.4832E+01  0.2869E+01  0.7701E+01  0.2023E-02
204           226204  564045  0.2210E-01  0.4832E+01  0.2869E+01  0.7701E+01  0.2023E-02
190           226390  564045  0.2197E-01  0.4796E+01  0.2859E+01  0.7655E+01  0.2022E-02
190           226576  564045  0.2185E-01  0.4760E+01  0.2848E+01  0.7608E+01  0.2020E-02
190           226111  564099  0.2218E-01  0.4857E+01  0.2874E+01  0.7731E+01  0.2024E-02
204           226111  564099  0.2218E-01  0.4857E+01  0.2874E+01  0.7731E+01  0.2024E-02
190           226297  564099  0.2205E-01  0.4816E+01  0.2865E+01  0.7681E+01  0.2022E-02
204           226297  564099  0.2205E-01  0.4816E+01  0.2865E+01  0.7681E+01  0.2022E-02
190           226483  564099  0.2193E-01  0.4781E+01  0.2855E+01  0.7635E+01  0.2020E-02
190           226204  564152  0.2213E-01  0.4841E+01  0.2869E+01  0.7710E+01  0.2023E-02
204           226204  564152  0.2213E-01  0.4841E+01  0.2869E+01  0.7710E+01  0.2023E-02
190           226390  564152  0.2200E-01  0.4803E+01  0.2860E+01  0.7662E+01  0.2021E-02
190           226576  564152  0.2187E-01  0.4766E+01  0.2849E+01  0.7615E+01  0.2019E-02
190           226297  564206  0.2208E-01  0.4824E+01  0.2865E+01  0.7690E+01  0.2022E-02
 
