name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
190           -10893  724690  0.1158E-04  0.2965E-02  0.1487E-01  0.1783E-01  0.1840E-03
190           -11789  720123  0.1184E-04  0.3123E-02  0.1514E-01  0.1826E-01  0.1945E-03
190           -13625  716559  0.1280E-04  0.3207E-02  0.1511E-01  0.1831E-01  0.1951E-03
191           -12679  703413  0.1622E-04  0.3903E-02  0.1657E-01  0.2047E-01  0.2252E-03
191           -12290  700436  0.1728E-04  0.4115E-02  0.1697E-01  0.2108E-01  0.2335E-03
191           -12027  695458  0.1834E-04  0.4398E-02  0.1745E-01  0.2185E-01  0.2462E-03
191           -11751  690473  0.2049E-04  0.4743E-02  0.1810E-01  0.2284E-01  0.2587E-03
191           -11473  685496  0.2400E-04  0.5208E-02  0.1857E-01  0.2377E-01  0.2709E-03
191           -11188  680535  0.2753E-04  0.5618E-02  0.1908E-01  0.2470E-01  0.2791E-03
191           -10885  675621  0.3068E-04  0.5888E-02  0.1987E-01  0.2576E-01  0.2875E-03
191           -10543  670662  0.3795E-04 -0.5016E-01  0.2070E-01 -0.2946E-01  0.2707E-03
191           -10083  665526  0.4355E-04 -0.5624E-01  0.2128E-01 -0.3496E-01  0.2771E-03
190            -6444  737142  0.9991E-05  0.2586E-02  0.1412E-01  0.1670E-01  0.1646E-03
190            -7328  732560  0.1105E-04  0.2739E-02  0.1444E-01  0.1718E-01  0.1709E-03
190            -8099  727808  0.1178E-04  0.2912E-02  0.1492E-01  0.1784E-01  0.1802E-03
190            -8758  723288  0.1249E-04  0.3071E-02  0.1512E-01  0.1820E-01  0.1876E-03
190            -9853  719931  0.1259E-04  0.3157E-02  0.1537E-01  0.1853E-01  0.1943E-03
191            -8325  702221  0.1663E-04  0.4031E-02  0.1709E-01  0.2112E-01  0.2315E-03
191            -8304  697887  0.1865E-04  0.4315E-02  0.1762E-01  0.2194E-01  0.2421E-03
191            -8304  692887  0.2026E-04  0.4637E-02  0.1809E-01  0.2273E-01  0.2534E-03
191            -8304  687887  0.2342E-04  0.5111E-02  0.1875E-01  0.2386E-01  0.2689E-03
191            -8304  682887  0.2626E-04  0.5477E-02  0.1912E-01  0.2459E-01  0.2770E-03
191            -8304  677887  0.3063E-04  0.6006E-02  0.1975E-01  0.2576E-01  0.2881E-03
191            -8304  672887  0.4416E-04 -0.5888E-01  0.2024E-01 -0.3864E-01  0.2836E-03
191            -8221  667893  0.4216E-04 -0.5311E-01  0.2137E-01 -0.3174E-01  0.2768E-03
191            -7972  662945  0.4587E-04 -0.5618E-01  0.2179E-01 -0.3438E-01  0.2822E-03
191            -7639  657982  0.5139E-04 -0.6099E-01  0.2234E-01 -0.3865E-01  0.2916E-03
191            -7675  654994  0.5302E-04 -0.6016E-01  0.2257E-01 -0.3758E-01  0.2966E-03
190            -1693  754909  0.8025E-05  0.2190E-02  0.1299E-01  0.1518E-01  0.1436E-03
190            -2454  749971  0.8558E-05  0.2297E-02  0.1337E-01  0.1567E-01  0.1496E-03
190            -3117  745178  0.9821E-05  0.2438E-02  0.1356E-01  0.1600E-01  0.1546E-03
190            -3716  740305  0.9927E-05  0.2539E-02  0.1402E-01  0.1656E-01  0.1631E-03
190            -3974  735387  0.1031E-04  0.2647E-02  0.1435E-01  0.1700E-01  0.1682E-03
190            -3974  730387  0.1168E-04  0.2859E-02  0.1496E-01  0.1782E-01  0.1779E-03
190            -4987  726348  0.1238E-04  0.2987E-02  0.1524E-01  0.1823E-01  0.1849E-03
191            -4038  703250  0.1758E-04  0.4093E-02  0.1744E-01  0.2153E-01  0.2325E-03
191            -3974  700387  0.1889E-04  0.4266E-02  0.1786E-01  0.2212E-01  0.2386E-03
191            -3974  695387  0.2057E-04  0.4589E-02  0.1828E-01  0.2287E-01  0.2510E-03
191            -3974  690387  0.2345E-04  0.5002E-02  0.1893E-01  0.2393E-01  0.2638E-03
191            -3974  685387  0.2628E-04  0.5426E-02  0.1951E-01  0.2494E-01  0.2763E-03
191            -3974  680387  0.3171E-04  0.5989E-02  0.1997E-01  0.2595E-01  0.2841E-03
191            -3974  675387  0.3369E-04  0.6405E-02  0.2043E-01  0.2683E-01  0.2974E-03
191            -3974  670387  0.4589E-04 -0.6067E-01  0.2096E-01 -0.3971E-01  0.2922E-03
191            -3974  665387  0.4524E-04 -0.5671E-01  0.2220E-01 -0.3451E-01  0.2823E-03
191            -3974  660387  0.5027E-04 -0.6107E-01  0.2276E-01 -0.3831E-01  0.2922E-03
191            -3947  656007  0.5298E-04 -0.6213E-01  0.2315E-01 -0.3898E-01  0.2999E-03
190             2957  772655  0.6345E-05  0.1916E-02  0.1219E-01  0.1410E-01  0.1284E-03
190             2050  767368  0.6631E-05  0.1983E-02  0.1245E-01  0.1444E-01  0.1329E-03
