x	y	tot_dep
-13625	716559	0.060785
-12679	703413	0.066347
-12290	700436	0.067891
-12027	695458	0.070293
-11789	720123	0.060132
-11751	690473	0.072352
-11473	685496	0.074579
-11188	680535	0.077124
-10893	724690	0.059591
-10885	675621	0.079462
-10543	670662	-0.124652
-10083	665526	-0.132639
-9853	719931	0.061102
-8758	723288	0.06035
-8325	702221	0.068561
-8304	672887	-0.129692
-8304	677887	0.080137
-8304	682887	0.077416
-8304	687887	0.075296
-8304	692887	0.072534
-8304	697887	0.070676
-8221	667893	-0.123792
-8099	727808	0.059866
-7972	662945	-0.130395
-7675	654994	-0.133892
-7639	657982	-0.136028
-7328	732560	0.058077
-6444	737142	0.056792
-4987	726348	0.061225
-4038	703250	0.069945
-3974	660387	-0.139028
-3974	665387	-0.134317
-3974	670387	-0.137133
-3974	675387	0.083765
-3974	680387	0.081348
-3974	685387	0.07865
-3974	690387	0.076124
-3974	695387	0.073693
-3974	700387	0.071442
-3974	730387	0.059902
-3974	735387	0.05782
-3947	656007	-0.137659
-3716	740305	0.056702
-3117	745178	0.055254
-2454	749971	0.054235
-1693	754909	0.052945
-1291	729422	0.060709
41	733157	0.059985
331	702076	0.072654
356	657887	-0.13561
356	662887	-0.134759
356	667887	-0.136032
356	672887	-0.137382
356	677887	0.084955
356	682887	0.08209
356	687887	0.079468
356	692887	0.07688
356	697887	0.074349
356	737887	0.05853
356	742887	0.056952
356	747887	0.055503
357	752887	0.05386
431	654767	-0.137023
731	757769	0.052651
1369	762644	0.051454
1739	393617	0.096138
1788	395449	0.083767
2050	767368	0.050707
2957	772655	0.049585
3854	736202	0.06036
4610	703102	0.074166
4686	660387	-0.146285
4686	665387	-0.147904
4686	670387	-0.147457
4686	675387	0.088776
4686	680387	0.086097
4686	685387	0.082809
4686	690387	0.080137
4686	695387	0.077719
4686	700387	0.075049
4686	740387	0.05906
4686	745387	0.057813
4686	750387	0.055925
4686	755387	0.054543
4686	760387	0.053445
4686	765387	0.05202
4703	655817	-0.14442
4736	770381	0.050634
4829	395187	0.093524
5229	775224	0.049547
5252	391155	0.121624
5898	780094	0.048378
6076	398315	0.087929
6587	784792	0.047485
7490	739197	0.060564
8258	397105	0.103934
8836	743046	0.059584
8982	701934	0.076629
9017	392887	0.13637
9017	657887	-0.149819
9017	662887	-0.146322
9017	667887	-0.140855
9017	672887	-0.134546
9017	677887	0.089878
9017	682887	0.086729
9017	687887	0.084345
9017	692887	0.081154
9017	697887	0.079022
9017	747887	0.058179
9017	752887	0.056893
9017	757887	0.055363
9017	762887	0.053841
9017	767887	0.052205
9017	772887	0.050813
9017	777887	0.04971
9017	782887	0.048564
9083	654534	-0.140516
9181	787844	0.047157
9439	388410	0.161831
9753	792686	0.046209
9920	398644	0.103398
10368	401463	0.147802
10446	797499	0.044941
11165	383841	0.250146
11196	802308	0.044413
12671	746041	0.059591
13114	394093	0.203009
13175	702963	0.078415
13347	385387	0.245363
13347	390387	0.219665
13347	400387	0.170116
13347	660387	-0.154939
13347	665387	-0.147108
13347	670387	-0.145197
13347	675387	0.094333
13347	680387	0.091546
13347	685387	0.088159
13347	690387	0.084773
13347	695387	0.082278
13347	700387	0.079598
13347	750387	0.058721
13347	755387	0.057571
13347	760387	0.055809
13347	765387	0.054269
13347	770387	0.052749
13347	775387	0.05126
13347	780387	0.049886
13347	785387	0.048745
13347	790387	0.047311
13347	795387	0.046401
13347	800387	0.04524
13357	655652	-0.156646
13505	396267	0.190816
13650	381070	0.284132
13690	805277	0.044225
14115	377876	0.44218
14230	404300	0.1554
14334	810143	0.042822
14673	377099	0.44446
14704	378110	0.31905
14841	375339	0.5944
15028	377977	0.59026
15028	814864	0.041907
15206	379836	0.312965
15584	383578	0.279748
15953	820155	0.041103
16337	749049	0.060345
16397	388266	0.246596
17107	392827	0.242902
17180	657902	-0.149085
17245	662902	-0.14543
17257	654361	-0.145657
17309	667900	-0.142696
17369	672897	-0.138784
17424	677894	0.095359
17475	379724	0.45989
17481	682893	0.092247
17538	687890	0.088862
17586	692888	0.085807
17612	701776	0.081267
17621	752950	0.059474
17625	697887	0.083093
17675	397888	0.216024
17677	395108	0.230308
17677	402887	0.188941
17677	757887	0.057733
17677	762887	0.055935
17677	767887	0.054616
17677	772887	0.052992
17677	777887	0.05177
17677	782887	0.050659
17677	787887	0.049258
17677	792887	0.047655
17677	797887	0.046566
17677	802887	0.045029
17677	807887	0.044105
17677	812887	0.042973
17726	817881	0.041911
17869	382823	0.306375
18195	407429	0.165343
18231	822719	0.040977
18544	387630	0.26882
18902	827592	0.04019
19186	670392	-0.150588
19208	410811	0.153793
19271	675398	0.097929
19331	392307	0.268454
19357	680408	0.095073
19436	394843	0.4123
19470	685422	0.091889
19583	690434	0.088871
19588	832293	0.039351
19696	695445	0.085471
19809	700455	0.083596
20291	393622	0.41383
20530	752740	0.060521
20554	397117	0.266693
21473	755873	0.059805
21503	381457	0.36742
21713	390085	0.290646
21932	400503	0.243371
22007	385387	0.315993
22007	405387	0.21107
22007	760387	0.058445
22007	765387	0.056784
22007	770387	0.055018
22007	775387	0.053536
22007	780387	0.052228
22007	785387	0.050854
22007	790387	0.049357
22007	795387	0.047663
22007	800387	0.046418
22007	805387	0.045445
22007	810387	0.044293
22007	815387	0.043164
22007	820387	0.042201
22007	825387	0.041188
22007	830387	0.04031
22028	410359	0.17508
22365	834942	0.039464
23239	372035	1.16938
23263	414250	0.15636
24197	399263	0.69655
24359	372144	0.76152
25090	400050	0.341723
25205	758919	0.059988
25331	386908	0.34696
25702	399767	1.02041
26268	403006	0.262557
26335	762890	0.058921
26337	407887	0.229584
26337	412887	0.197858
26337	767887	0.057075
26337	772887	0.055683
26337	777887	0.054078
26337	782887	0.052859
26337	787887	0.050679
26337	792887	0.04941
26337	797887	0.048028
26337	802887	0.046728
26337	807887	0.045766
26337	812887	0.044664
26337	817887	0.043291
26337	822887	0.042303
26337	827887	0.041277
26337	832887	0.040424
26403	383195	0.44055
26530	837631	0.039608
26979	417269	0.171502
27504	400902	1.08329
27713	840657	0.039022
29063	762192	0.059951
30101	401277	0.97556
30274	765728	0.05944
30638	384134	0.59527
30667	405387	0.29527
30667	410387	0.264023
30667	415387	0.225501
30667	770387	0.057706
30667	775387	0.056214
30667	780387	0.053949
30667	785387	0.052543
30667	790387	0.050866
30667	795387	0.049704
30667	800387	0.048599
30667	805387	0.047216
30667	810387	0.045927
30667	815387	0.044725
30667	820387	0.043594
30667	825387	0.04243
30667	830387	0.041484
30667	835387	0.040481
30742	840276	0.039523
30833	420218	0.239743
30899	380739	0.7062
30905	402310	0.353377
31961	843490	0.039054
32080	423626	0.235812
33117	401230	0.48377
33166	399584	0.60717
33229	400389	0.44602
33848	400874	0.46649
34068	768787	0.059228
34608	403458	0.401825
34743	386048	1.56035
34870	412876	0.358901
34997	382887	1.09085
34997	407887	0.358052
34997	417887	0.311681
34997	772887	0.057383
34997	777887	0.056108
34997	782887	0.054582
34997	787887	0.053012
34997	792887	0.051468
34997	797887	0.049939
34997	802887	0.048707
34997	807887	0.0475
