x	y	tot_dep
-13625	716559	0.147014
-12679	703413	0.15462
-12290	700436	0.15696
-12027	695458	0.1602
-11789	720123	0.146612
-11751	690473	0.16341
-11473	685496	0.16657
-11188	680535	0.17031
-10893	724690	0.145942
-10885	675621	0.17348
-10543	670662	0.16777
-10083	665526	0.17194
-9853	719931	0.149243
-8758	723288	0.147788
-8325	702221	0.15862
-8304	672887	0.168115
-8304	677887	0.17429
-8304	682887	0.17089
-8304	687887	0.16766
-8304	692887	0.16429
-8304	697887	0.16118
-8221	667893	0.17184
-8099	727808	0.14596
-7972	662945	0.17563
-7675	654994	0.18104
-7639	657982	0.17915
-7328	732560	0.143984
-6444	737142	0.14271
-4987	726348	0.148423
-4038	703250	0.16221
-3974	660387	0.18064
-3974	665387	0.17755
-3974	670387	0.17357
-3974	675387	0.18001
-3974	680387	0.17636
-3974	685387	0.17282
-3974	690387	0.16963
-3974	695387	0.16606
-3974	700387	0.16368
-3974	730387	0.147581
-3974	735387	0.143767
-3947	656007	0.18443
-3716	740305	0.14133
-3117	745178	0.139066
-2454	749971	0.138407
-1693	754909	0.136738
-1291	729422	0.14835
41	733157	0.148196
331	702076	0.16692
356	657887	0.18692
356	662887	0.18355
356	667887	0.17905
356	672887	0.17591
356	677887	0.18171
356	682887	0.17844
356	687887	0.17457
356	692887	0.17201
356	697887	0.16868
356	737887	0.144942
356	742887	0.143153
356	747887	0.140771
357	752887	0.138727
431	654767	0.18907
731	757769	0.137121
1369	762644	0.134542
1739	393617	0.45282
1788	395449	0.45103
2050	767368	0.132703
2957	772655	0.130874
3854	736202	0.148709
4610	703102	0.16977
4686	660387	0.18961
4686	665387	0.18508
4686	670387	0.18197
4686	675387	0.18767
4686	680387	0.18403
4686	685387	0.1815
4686	690387	0.17735
4686	695387	0.1749
4686	700387	0.17125
4686	740387	0.146949
4686	745387	0.145598
4686	750387	0.142872
4686	755387	0.139912
4686	760387	0.136891
4686	765387	0.134741
4703	655817	0.19316
4736	770381	0.133551
4829	395187	0.4627
5229	775224	0.131879
5252	391155	0.46084
5898	780094	0.130132
6076	398315	0.46636
6587	784792	0.12926
7490	739197	0.150113
8258	397105	0.47524
8836	743046	0.147819
