x	y	tot_dep-mol~ha~y
-13625	716559	62.403
-12679	703413	64.612
-12290	700436	65.127
-12027	695458	65.988
-11789	720123	61.851
-11751	690473	67.05
-11473	685496	68.169
-11188	680535	69.457
-10893	724690	61.173
-10885	675621	70.873
-10543	670662	-102.856
-10083	665526	-100.804
-9853	719931	61.869
-8758	723288	61.374
-8325	702221	64.921
-8304	672887	-99.691
-8304	677887	70.384
-8304	682887	68.963
-8304	687887	67.833
-8304	692887	66.681
-8304	697887	65.688
-8221	667893	-97.275
-8099	727808	60.697
-7972	662945	-94.5893
-7675	654994	-86.2184
-7639	657982	-91.1657
-7328	732560	59.998
-6444	737142	59.311
-4987	726348	60.955
-4038	703250	64.871
-3974	660387	-94.929
-3974	665387	-98.1292
-3974	670387	-100.726
-3974	675387	71.488
-3974	680387	70.034
-3974	685387	68.666
-3974	690387	67.478
-3974	695387	66.347
-3974	700387	65.392
-3974	730387	60.33
-3974	735387	59.578
-3947	656007	-91.2216
-3716	740305	58.871
-3117	745178	58.201
-2454	749971	57.54
-1693	754909	56.858
-1291	729422	60.494
41	733157	59.922
331	702076	65.252
356	657887	-87.8643
356	662887	-90.9381
356	667887	-94.0502
356	672887	-96.877
356	677887	71.077
356	682887	69.587
356	687887	68.351
356	692887	67.076
356	697887	66.041
356	737887	59.208
356	742887	58.512
356	747887	57.837
357	752887	57.137
431	654767	-82.945
731	757769	56.468
1369	762644	55.815
1739	393617	117.493
1788	395449	111.641
2050	767368	55.199
2957	772655	54.534
3854	736202	59.511
4610	703102	65.192
4686	660387	-94.7621
4686	665387	-97.8426
4686	670387	-100.927
4686	675387	72.204
4686	680387	70.671
4686	685387	69.218
4686	690387	67.92
4686	695387	66.74
4686	700387	65.734
4686	740387	58.888
4686	745387	58.173
4686	750387	57.486
4686	755387	56.774
4686	760387	56.093
4686	765387	55.454
4703	655817	-91.3883
4736	770381	54.816
4829	395187	116.587
5229	775224	54.192
5252	391155	131.456
5898	780094	53.571
6076	398315	111.174
6587	784792	52.964
7490	739197	59.09
8258	397105	117.034
8836	743046	58.536
8982	701934	65.619
9017	392887	133.457
9017	657887	-87.3307
9017	662887	-90.6612
9017	667887	-93.6572
9017	672887	-96.2563
9017	677887	71.759
9017	682887	70.188
9017	687887	68.887
9017	692887	67.54
9017	697887	66.421
9017	747887	57.881
9017	752887	57.17
9017	757887	56.453
9017	762887	55.78
9017	767887	55.146
9017	772887	54.49
9017	777887	53.859
9017	782887	53.223
9083	654534	-82.7489
9181	787844	52.583
9439	388410	148.849
9753	792686	51.992
9920	398644	115.462
10368	401463	125.8
10446	797499	51.416
11165	383841	190.923
11196	802308	50.84
12671	746041	58.153
13114	394093	148.185
13175	702963	65.601
13347	385387	183.593
13347	390387	162.562
13347	400387	132.113
13347	660387	-90.4533
13347	665387	-93.3663
13347	670387	-96.4681
13347	675387	72.862
13347	680387	71.299
13347	685387	69.82
13347	690387	68.472
13347	695387	67.209
13347	700387	66.148
13347	750387	57.574
13347	755387	56.865
13347	760387	56.158
13347	765387	55.499
13347	770387	54.842
13347	775387	54.193
13347	780387	53.543
13347	785387	52.883
13347	790387	52.266
13347	795387	51.651
13347	800387	51.059
13357	655652	-86.7189
13505	396267	140.089
13650	381070	207.582
13690	805277	50.487
14115	377876	314
14230	404300	123.112
14334	810143	49.436
14673	377099	328.808
14704	378110	240.614
14841	375339	532.674
15028	377977	385.794
15028	814864	48.916
15206	379836	218.785
15584	383578	194.242
15953	820155	48.306
16337	749049	57.787
16397	388266	173.481
17107	392827	160.577
17180	657902	-82.4523
17245	662902	-86.3326
17257	654361	-77.8068
17309	667900	-89.2719
17369	672897	-92.2872
17424	677894	72.369
17475	379724	266.569
17481	682893	70.81
17538	687890	69.464
17586	692888	68.076
17612	701776	66.092
17621	752950	57.259
