name	x-coord	y-coord	conc.	dry_dep.	wet_dep.	tot.dep.	conc.
190	-10893	724690	0.1237E-07	0.3752E-04	0.4812E-03	0.5187E-03	0.2697E-05
190	-11789	720123	0.8497E-08	0.4395E-04	0.4655E-03	0.5094E-03	0.2745E-05
190	-13625	716559	0.9025E-08	0.4539E-04	0.4750E-03	0.5204E-03	0.2779E-05
191	-12679	703413	0.1249E-07	0.5182E-04	0.5104E-03	0.5622E-03	0.3036E-05
191	-12290	700436	0.1343E-07	0.5370E-04	0.5236E-03	0.5773E-03	0.3120E-05
191	-12027	695458	0.1574E-07	0.5670E-04	0.5431E-03	0.5998E-03	0.3254E-05
191	-11751	690473	0.1793E-07	0.5997E-04	0.5633E-03	0.6233E-03	0.3398E-05
191	-11473	685496	0.2020E-07	0.6225E-04	0.5697E-03	0.6319E-03	0.3486E-05
191	-11188	680535	0.2322E-07	0.6572E-04	0.5901E-03	0.6558E-03	0.3639E-05
191	-10885	675621	0.2632E-07	0.7006E-04	0.6126E-03	0.6827E-03	0.3819E-05
191	-10543	670662	0.4620E-07	0.2085E-04	0.6306E-03	0.6514E-03	0.3968E-05
191	-10083	665526	0.5191E-07	0.1920E-04	0.6428E-03	0.6620E-03	0.4103E-05
190	-6444	737142	0.9551E-08	0.3441E-04	0.4558E-03	0.4902E-03	0.2576E-05
190	-7328	732560	0.1063E-07	0.3543E-04	0.4691E-03	0.5045E-03	0.2635E-05
190	-8099	727808	0.1181E-07	0.3644E-04	0.4735E-03	0.5100E-03	0.2660E-05
190	-8758	723288	0.1341E-07	0.3846E-04	0.4880E-03	0.5265E-03	0.2734E-05
190	-9853	719931	0.1435E-07	0.3995E-04	0.4983E-03	0.5383E-03	0.2795E-05
191	-8325	702221	0.1373E-07	0.5438E-04	0.5341E-03	0.5885E-03	0.3159E-05
191	-8304	697887	0.1560E-07	0.5694E-04	0.5508E-03	0.6078E-03	0.3274E-05
191	-8304	692887	0.1823E-07	0.6019E-04	0.5710E-03	0.6312E-03	0.3415E-05
191	-8304	687887	0.2017E-07	0.6245E-04	0.5777E-03	0.6402E-03	0.3505E-05
191	-8304	682887	0.2319E-07	0.6593E-04	0.5988E-03	0.6647E-03	0.3658E-05
191	-8304	677887	0.2664E-07	0.6977E-04	0.6208E-03	0.6905E-03	0.3823E-05
191	-8304	672887	0.4594E-07	0.2067E-04	0.6238E-03	0.6445E-03	0.3914E-05
191	-8221	667893	0.5221E-07	0.1957E-04	0.6492E-03	0.6688E-03	0.4101E-05
191	-7972	662945	0.6009E-07	0.1731E-04	0.6755E-03	0.6928E-03	0.4308E-05
191	-7639	657982	0.6737E-07	0.1532E-04	0.6858E-03	0.7011E-03	0.4433E-05
191	-7675	654994	0.7238E-07	0.1576E-04	0.7017E-03	0.7175E-03	0.4557E-05
190	-1693	754909	0.6374E-08	0.3226E-04	0.4269E-03	0.4592E-03	0.2449E-05
190	-2454	749971	0.7262E-08	0.3256E-04	0.4314E-03	0.4640E-03	0.2471E-05
190	-3117	745178	0.8227E-08	0.3353E-04	0.4446E-03	0.4782E-03	0.2526E-05
190	-3716	740305	0.9445E-08	0.3460E-04	0.4586E-03	0.4932E-03	0.2585E-05
190	-3974	735387	0.1052E-07	0.3576E-04	0.4739E-03	0.5097E-03	0.2652E-05
190	-3974	730387	0.1214E-07	0.3658E-04	0.4799E-03	0.5165E-03	0.2686E-05
190	-4987	726348	0.1332E-07	0.3832E-04	0.4921E-03	0.5304E-03	0.2741E-05
191	-4038	703250	0.2507E-07	0.5061E-04	0.5678E-03	0.6184E-03	0.3177E-05
191	-3974	700387	0.2695E-07	0.5251E-04	0.5790E-03	0.6315E-03	0.3254E-05
191	-3974	695387	0.3156E-07	0.5599E-04	0.6001E-03	0.6561E-03	0.3391E-05
191	-3974	690387	0.2122E-07	0.6280E-04	0.5864E-03	0.6492E-03	0.3525E-05
191	-3974	685387	0.2401E-07	0.6642E-04	0.6080E-03	0.6744E-03	0.3683E-05
191	-3974	680387	0.2741E-07	0.7017E-04	0.6303E-03	0.7005E-03	0.3848E-05
191	-3974	675387	0.3090E-07	0.7346E-04	0.6388E-03	0.7123E-03	0.3969E-05
191	-3974	670387	0.5466E-07	0.1584E-04	0.6580E-03	0.6738E-03	0.4126E-05
191	-3974	665387	0.6200E-07	0.1405E-04	0.6860E-03	0.7001E-03	0.4336E-05
191	-3974	660387	0.7043E-07	0.1064E-04	0.6965E-03	0.7072E-03	0.4461E-05
191	-3947	656007	0.7977E-07	0.7561E-05	0.7204E-03	0.7280E-03	0.4645E-05
190	2957	772655	0.4942E-08	0.2969E-04	0.4040E-03	0.4337E-03	0.2346E-05
190	2050	767368	0.5700E-08	0.3060E-04	0.4178E-03	0.4484E-03	0.2396E-05
190	1369	762644	0.5498E-08	0.3127E-04	0.4154E-03	0.4467E-03	0.2394E-05
190	731	757769	0.6071E-08	0.3178E-04	0.4194E-03	0.4512E-03	0.2415E-05
190	357	752887	0.6806E-08	0.3280E-04	0.4334E-03	0.4662E-03	0.2477E-05
190	356	747887	0.7982E-08	0.3388E-04	0.4493E-03	0.4832E-03	0.2545E-05
190	356	742887	0.9449E-08	0.3501E-04	0.4639E-03	0.4989E-03	0.2606E-05
190	356	737887	0.1043E-07	0.3561E-04	0.4712E-03	0.5068E-03	0.2641E-05
190	41	733157	0.1156E-07	0.3671E-04	0.4840E-03	0.5207E-03	0.2699E-05
190	-1291	729422	0.1320E-07	0.3810E-04	0.4961E-03	0.5342E-03	0.2752E-05
191	331	702076	0.2754E-07	0.5327E-04	0.5905E-03	0.6437E-03	0.3297E-05
191	356	697887	0.3123E-07	0.5622E-04	0.6088E-03	0.6651E-03	0.3415E-05
191	356	692887	0.3532E-07	0.5879E-04	0.6153E-03	0.6740E-03	0.3493E-05
191	356	687887	0.3978E-07	0.6275E-04	0.6368E-03	0.6996E-03	0.3640E-05
191	356	682887	0.4625E-07	0.6706E-04	0.6606E-03	0.7277E-03	0.3798E-05
191	356	677887	0.3120E-07	0.7381E-04	0.6486E-03	0.7224E-03	0.3993E-05
191	356	672887	0.5483E-07	0.1702E-04	0.6668E-03	0.6838E-03	0.4147E-05
191	356	667887	0.6230E-07	0.1555E-04	0.6955E-03	0.7110E-03	0.4357E-05
191	356	662887	0.7099E-07	0.1203E-04	0.7073E-03	0.7194E-03	0.4494E-05
191	356	657887	0.8140E-07	0.8565E-05	0.7350E-03	0.7436E-03	0.4706E-05
191	431	654767	0.8862E-07	0.7529E-05	0.7534E-03	0.7609E-03	0.4848E-05
159	1788	395449	0.2796E-04	-0.7116E-03	0.2198E-02	0.1487E-02	0.2204E-04
159	1739	393617	0.2765E-04	-0.4868E-03	0.2205E-02	0.1718E-02	0.2174E-04
190	6587	784792	0.3995E-08	0.2843E-04	0.3840E-03	0.4124E-03	0.2284E-05
190	5898	780094	0.4359E-08	0.2918E-04	0.3948E-03	0.4240E-03	0.2324E-05
190	5229	775224	0.4533E-08	0.2996E-04	0.4073E-03	0.4373E-03	0.2364E-05
190	4736	770381	0.5416E-08	0.3017E-04	0.4113E-03	0.4415E-03	0.2375E-05
190	4686	765387	0.5270E-08	0.3090E-04	0.4103E-03	0.4412E-03	0.2374E-05
190	4686	760387	0.6110E-08	0.3214E-04	0.4234E-03	0.4556E-03	0.2431E-05
190	4686	755387	0.6922E-08	0.3321E-04	0.4384E-03	0.4716E-03	0.2498E-05
190	4686	750387	0.7878E-08	0.3431E-04	0.4529E-03	0.4872E-03	0.2558E-05
190	4686	745387	0.9301E-08	0.3544E-04	0.4693E-03	0.5047E-03	0.2627E-05
190	4686	740387	0.1052E-07	0.3587E-04	0.4744E-03	0.5103E-03	0.2652E-05
190	3854	736202	0.1156E-07	0.3685E-04	0.4873E-03	0.5241E-03	0.2708E-05
191	4610	703102	0.2929E-07	0.5447E-04	0.6040E-03	0.6585E-03	0.3352E-05
191	4686	700387	0.3134E-07	0.5642E-04	0.6153E-03	0.6718E-03	0.3427E-05
191	4686	695387	0.3606E-07	0.5901E-04	0.6236E-03	0.6826E-03	0.3513E-05
191	4686	690387	0.4068E-07	0.6299E-04	0.6454E-03	0.7084E-03	0.3660E-05
191	4686	685387	0.4621E-07	0.6731E-04	0.6683E-03	0.7356E-03	0.3816E-05
191	4686	680387	0.5374E-07	0.7245E-04	0.6943E-03	0.7668E-03	0.3997E-05
191	4686	675387	0.6011E-07	0.7577E-04	0.7030E-03	0.7787E-03	0.4101E-05
191	4686	670387	0.1011E-06	-0.6714E-04	0.7276E-03	0.6605E-03	0.4264E-05
191	4686	665387	0.1141E-06	-0.7639E-04	0.7581E-03	0.6817E-03	0.4480E-05
191	4686	660387	0.8330E-07	0.3487E-05	0.7455E-03	0.7490E-03	0.4732E-05
191	4703	655817	0.9491E-07	-0.1555E-05	0.7725E-03	0.7709E-03	0.4940E-05
159	6076	398315	0.3094E-04	-0.8849E-03	0.2427E-02	0.1542E-02	0.2135E-04
