name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
190           -10893  724690  0.8489E-05  0.9517E-04  0.1109E-03  0.2060E-03  0.2627E-05  0.5254E-06
190           -11789  720123  0.8669E-05  0.9759E-04  0.1113E-03  0.2089E-03  0.2685E-05  0.5371E-06
190           -13625  716559  0.8756E-05  0.9917E-04  0.1108E-03  0.2100E-03  0.2724E-05  0.5448E-06
191           -12679  703413  0.9498E-05  0.1079E-03  0.1140E-03  0.2219E-03  0.2940E-05  0.5880E-06
191           -12290  700436  0.9689E-05  0.1099E-03  0.1149E-03  0.2248E-03  0.2990E-05  0.5980E-06
191           -12027  695458  0.1000E-04  0.1137E-03  0.1162E-03  0.2299E-03  0.3081E-05  0.6161E-06
191           -11751  690473  0.1033E-04  0.1177E-03  0.1174E-03  0.2351E-03  0.3175E-05  0.6350E-06
191           -11473  685496  0.1068E-04  0.1217E-03  0.1188E-03  0.2404E-03  0.3269E-05  0.6538E-06
191           -11188  680535  0.1105E-04  0.1261E-03  0.1203E-03  0.2464E-03  0.3374E-05  0.6748E-06
191           -10885  675621  0.1143E-04  0.1307E-03  0.1219E-03  0.2526E-03  0.3480E-05  0.6961E-06
191           -10543  670662  0.1190E-04  0.1202E-03  0.1238E-03  0.2440E-03  0.3592E-05  0.7184E-06
191           -10083  665526  0.1236E-04  0.1234E-03  0.1311E-03  0.2545E-03  0.3664E-05  0.7329E-06
190            -6444  737142  0.8132E-05  0.9008E-04  0.1104E-03  0.2005E-03  0.2505E-05  0.5009E-06
190            -7328  732560  0.8290E-05  0.9215E-04  0.1107E-03  0.2029E-03  0.2555E-05  0.5110E-06
190            -8099  727808  0.8475E-05  0.9448E-04  0.1114E-03  0.2059E-03  0.2611E-05  0.5223E-06
190            -8758  723288  0.8655E-05  0.9664E-04  0.1124E-03  0.2090E-03  0.2662E-05  0.5323E-06
190            -9853  719931  0.8763E-05  0.9808E-04  0.1124E-03  0.2105E-03  0.2696E-05  0.5393E-06
191            -8325  702221  0.9786E-05  0.1098E-03  0.1167E-03  0.2265E-03  0.2985E-05  0.5970E-06
191            -8304  697887  0.1005E-04  0.1131E-03  0.1176E-03  0.2307E-03  0.3064E-05  0.6128E-06
191            -8304  692887  0.1037E-04  0.1167E-03  0.1189E-03  0.2356E-03  0.3150E-05  0.6301E-06
191            -8304  687887  0.1070E-04  0.1208E-03  0.1199E-03  0.2407E-03  0.3246E-05  0.6493E-06
191            -8304  682887  0.1106E-04  0.1251E-03  0.1212E-03  0.2463E-03  0.3348E-05  0.6696E-06
191            -8304  677887  0.1143E-04  0.1296E-03  0.1224E-03  0.2521E-03  0.3454E-05  0.6908E-06
191            -8304  672887  0.1188E-04  0.1195E-03  0.1241E-03  0.2436E-03  0.3567E-05  0.7133E-06
191            -8221  667893  0.1230E-04  0.1235E-03  0.1259E-03  0.2494E-03  0.3678E-05  0.7355E-06
191            -7972  662945  0.1275E-04  0.1267E-03  0.1332E-03  0.2599E-03  0.3749E-05  0.7499E-06
191            -7639  657982  0.1325E-04  0.1313E-03  0.1354E-03  0.2667E-03  0.3876E-05  0.7751E-06
