name	x-coord	y-coord	conc.	dry_dep.	wet_dep.	tot.dep.	conc.	conc.
190	-10893	724690	0.1893E-01	0.2145E+00	0.2885E+00	0.5031E+00	0.5550E-02	0.1110E-02
190	-11789	720123	0.1906E-01	0.2173E+00	0.2878E+00	0.5051E+00	0.5622E-02	0.1124E-02
190	-13625	716559	0.1926E-01	0.2201E+00	0.2889E+00	0.5091E+00	0.5703E-02	0.1141E-02
191	-12679	703413	0.2028E-01	0.2354E+00	0.2961E+00	0.5314E+00	0.6108E-02	0.1222E-02
191	-12290	700436	0.2056E-01	0.2392E+00	0.2989E+00	0.5381E+00	0.6206E-02	0.1241E-02
191	-12027	695458	0.2095E-01	0.2451E+00	0.3014E+00	0.5465E+00	0.6357E-02	0.1271E-02
191	-11751	690473	0.2144E-01	0.2522E+00	0.3059E+00	0.5581E+00	0.6526E-02	0.1305E-02
191	-11473	685496	0.2188E-01	0.2590E+00	0.3095E+00	0.5686E+00	0.6698E-02	0.1340E-02
191	-11188	680535	0.2230E-01	0.2662E+00	0.3136E+00	0.5797E+00	0.6861E-02	0.1372E-02
191	-10885	675621	0.2283E-01	0.2743E+00	0.3189E+00	0.5932E+00	0.7059E-02	0.1412E-02
191	-10543	670662	0.2338E-01	0.2463E+00	0.3223E+00	0.5687E+00	0.7058E-02	0.1412E-02
191	-10083	665526	0.2386E-01	0.2530E+00	0.3251E+00	0.5781E+00	0.7251E-02	0.1450E-02
190	-6444	737142	0.1844E-01	0.2062E+00	0.2864E+00	0.4926E+00	0.5337E-02	0.1067E-02
190	-7328	732560	0.1875E-01	0.2111E+00	0.2892E+00	0.5003E+00	0.5457E-02	0.1091E-02
190	-8099	727808	0.1887E-01	0.2135E+00	0.2888E+00	0.5023E+00	0.5516E-02	0.1103E-02
190	-8758	723288	0.1916E-01	0.2178E+00	0.2912E+00	0.5090E+00	0.5620E-02	0.1124E-02
190	-9853	719931	0.1931E-01	0.2203E+00	0.2920E+00	0.5123E+00	0.5688E-02	0.1138E-02
191	-8325	702221	0.2069E-01	0.2402E+00	0.3035E+00	0.5436E+00	0.6197E-02	0.1239E-02
191	-8304	697887	0.2109E-01	0.2459E+00	0.3071E+00	0.5530E+00	0.6343E-02	0.1269E-02
191	-8304	692887	0.2157E-01	0.2529E+00	0.3092E+00	0.5621E+00	0.6532E-02	0.1306E-02
191	-8304	687887	0.2197E-01	0.2595E+00	0.3119E+00	0.5714E+00	0.6696E-02	0.1339E-02
191	-8304	682887	0.2249E-01	0.2670E+00	0.3170E+00	0.5840E+00	0.6883E-02	0.1377E-02
191	-8304	677887	0.2303E-01	0.2757E+00	0.3228E+00	0.5985E+00	0.7085E-02	0.1417E-02
191	-8304	672887	0.2338E-01	0.2457E+00	0.3231E+00	0.5688E+00	0.7030E-02	0.1406E-02
191	-8221	667893	0.2395E-01	0.2529E+00	0.3282E+00	0.5810E+00	0.7231E-02	0.1446E-02
191	-7972	662945	0.2449E-01	0.2598E+00	0.3317E+00	0.5916E+00	0.7430E-02	0.1486E-02
191	-7639	657982	0.2468E-01	0.2632E+00	0.3347E+00	0.5978E+00	0.7441E-02	0.1488E-02
191	-7675	654994	0.2508E-01	0.2684E+00	0.3373E+00	0.6058E+00	0.7587E-02	0.1517E-02
190	-1693	754909	0.1770E-01	0.1946E+00	0.2839E+00	0.4785E+00	0.5057E-02	0.1011E-02
190	-2454	749971	0.1787E-01	0.1975E+00	0.2838E+00	0.4814E+00	0.5124E-02	0.1025E-02
190	-3117	745178	0.1821E-01	0.2027E+00	0.2864E+00	0.4890E+00	0.5249E-02	0.1050E-02
190	-3716	740305	0.1852E-01	0.2067E+00	0.2891E+00	0.4958E+00	0.5341E-02	0.1068E-02
190	-3974	735387	0.1874E-01	0.2101E+00	0.2904E+00	0.5006E+00	0.5422E-02	0.1084E-02
190	-3974	730387	0.1910E-01	0.2152E+00	0.2942E+00	0.5094E+00	0.5544E-02	0.1109E-02
190	-4987	726348	0.1933E-01	0.2193E+00	0.2956E+00	0.5150E+00	0.5643E-02	0.1129E-02
191	-4038	703250	0.2103E-01	0.2437E+00	0.3105E+00	0.5542E+00	0.6261E-02	0.1252E-02
191	-3974	700387	0.2132E-01	0.2477E+00	0.3132E+00	0.5609E+00	0.6361E-02	0.1272E-02
191	-3974	695387	0.2180E-01	0.2544E+00	0.3172E+00	0.5716E+00	0.6524E-02	0.1305E-02
191	-3974	690387	0.2216E-01	0.2601E+00	0.3190E+00	0.5791E+00	0.6670E-02	0.1334E-02
191	-3974	685387	0.2268E-01	0.2676E+00	0.3230E+00	0.5907E+00	0.6863E-02	0.1373E-02
191	-3974	680387	0.2324E-01	0.2760E+00	0.3287E+00	0.6046E+00	0.7072E-02	0.1414E-02
191	-3974	675387	0.2369E-01	0.2841E+00	0.3312E+00	0.6153E+00	0.7270E-02	0.1454E-02
191	-3974	670387	0.2422E-01	0.2542E+00	0.3341E+00	0.5884E+00	0.7244E-02	0.1449E-02
191	-3974	665387	0.2477E-01	0.2615E+00	0.3378E+00	0.5993E+00	0.7454E-02	0.1491E-02
191	-3974	660387	0.2493E-01	0.2645E+00	0.3403E+00	0.6048E+00	0.7457E-02	0.1491E-02
191	-3947	656007	0.2543E-01	0.2714E+00	0.3430E+00	0.6143E+00	0.7648E-02	0.1530E-02
190	2957	772655	0.1699E-01	0.1843E+00	0.2828E+00	0.4671E+00	0.4817E-02	0.9635E-03
190	2050	767368	0.1723E-01	0.1873E+00	0.2843E+00	0.4716E+00	0.4882E-02	0.9765E-03
190	1369	762644	0.1746E-01	0.1908E+00	0.2852E+00	0.4760E+00	0.4965E-02	0.9930E-03
190	731	757769	0.1765E-01	0.1938E+00	0.2849E+00	0.4787E+00	0.5031E-02	0.1006E-02
190	357	752887	0.1792E-01	0.1974E+00	0.2866E+00	0.4840E+00	0.5118E-02	0.1024E-02
190	356	747887	0.1828E-01	0.2022E+00	0.2900E+00	0.4923E+00	0.5223E-02	0.1045E-02
190	356	742887	0.1859E-01	0.2068E+00	0.2923E+00	0.4991E+00	0.5332E-02	0.1066E-02
190	356	737887	0.1897E-01	0.2124E+00	0.2957E+00	0.5081E+00	0.5457E-02	0.1091E-02
190	41	733157	0.1931E-01	0.2173E+00	0.2987E+00	0.5161E+00	0.5574E-02	0.1115E-02
