x	y	tot_dep
-13625	716559	0.206
-12679	703413	0.21688
-12290	700436	0.21973
-12027	695458	0.22441
-11789	720123	0.20569
-11751	690473	0.22917
-11473	685496	0.23455
-11188	680535	0.24036
-10893	724690	0.20377
-10885	675621	0.24614
-10543	670662	0.23903
-10083	665526	0.24522
-9853	719931	0.2078
-8758	723288	0.20685
-8325	702221	0.22237
-8304	672887	0.23893
-8304	677887	0.24655
-8304	682887	0.24091
-8304	687887	0.23555
-8304	692887	0.23056
-8304	697887	0.22616
-8221	667893	0.24479
-8099	727808	0.20505
-7972	662945	0.25075
-7675	654994	0.26052
-7639	657982	0.25699
-7328	732560	0.20288
-6444	737142	0.20142
-4987	726348	0.20916
-4038	703250	0.22642
-3974	660387	0.25892
-3974	665387	0.25297
-3974	670387	0.2469
-3974	675387	0.25477
-3974	680387	0.24896
-3974	685387	0.2431
-3974	690387	0.23804
-3974	695387	0.23322
-3974	700387	0.22891
-3974	730387	0.20791
-3974	735387	0.20486
-3947	656007	0.26445
-3716	740305	0.20236
-3117	745178	0.20032
-2454	749971	0.19844
-1693	754909	0.19664
-1291	729422	0.21139
41	733157	0.21063
331	702076	0.23283
356	657887	0.26799
356	662887	0.26136
356	667887	0.25541
356	672887	0.24978
356	677887	0.25739
356	682887	0.25142
356	687887	0.24589
356	692887	0.24094
356	697887	0.23628
356	737887	0.20808
356	742887	0.20524
356	747887	0.20246
357	752887	0.19988
431	654767	0.27227
731	757769	0.1976
1369	762644	0.19542
1739	393617	0.71833
1788	395449	0.72125
2050	767368	0.19382
2957	772655	0.19181
3854	736202	0.21309
4610	703102	0.23762
4686	660387	0.27063
4686	665387	0.26447
4686	670387	0.25856
4686	675387	0.26633
4686	680387	0.26014
4686	685387	0.25438
4686	690387	0.24922
4686	695387	0.24454
4686	700387	0.23991
4686	740387	0.21144
4686	745387	0.20863
4686	750387	0.20572
4686	755387	0.20278
4686	760387	0.20015
4686	765387	0.19731
4703	655817	0.27707
4736	770381	0.19462
4829	395187	0.74683
5229	775224	0.19265
5252	391155	0.74412
5898	780094	0.1908
6076	398315	0.76046
6587	784792	0.18903
7490	739197	0.21535
8258	397105	0.77943
8836	743046	0.21463
8982	701934	0.24449
9017	392887	0.78075
9017	657887	0.28064
9017	662887	0.27406
9017	667887	0.26775
9017	672887	0.26164
9017	677887	0.26958
9017	682887	0.26363
9017	687887	0.25841
9017	692887	0.25316
9017	697887	0.24825
9017	747887	0.21185
9017	752887	0.2087
9017	757887	0.20573
9017	762887	0.20289
9017	767887	0.20017
9017	772887	0.19736
9017	777887	0.19462
9017	782887	0.19209
9083	654534	0.2854
9181	787844	0.18982
9439	388410	0.77889
9753	792686	0.18802
9920	398644	0.79735
10368	401463	0.79664
10446	797499	0.18612
11165	383841	0.79002
11196	802308	0.1843
12671	746041	0.21702
13114	394093	0.81768
13175	702963	0.24989
13347	385387	0.81968
13347	390387	0.81546
13347	400387	0.82586
13347	660387	0.28437
13347	665387	0.27759
13347	670387	0.2714
13347	675387	0.2797
13347	680387	0.2738
13347	685387	0.26796
13347	690387	0.26245
13347	695387	0.25748
13347	700387	0.25242
13347	750387	0.21486
13347	755387	0.2118
13347	760387	0.20873
13347	765387	0.20583
13347	770387	0.20303
13347	775387	0.19997
13347	780387	0.19718
13347	785387	0.19456
13347	790387	0.192
13347	795387	0.18955
13347	800387	0.18691
13357	655652	0.2908
13505	396267	0.82444
13650	381070	0.83011
13690	805277	0.18474
14115	377876	1.09183
14230	404300	0.84025
14334	810143	0.18234
14673	377099	1.10231
14704	378110	0.86352
14841	375339	1.34181
15028	377977	1.32429
15028	814864	0.18055
15206	379836	0.85504
15584	383578	0.86161
15953	820155	0.17857
16337	749049	0.21917
16397	388266	0.86188
17107	392827	0.86691
17180	657902	0.29443
17245	662902	0.28769
17257	654361	0.29964
17309	667900	0.28129
17369	672897	0.27556
17424	677894	0.28391
17475	379724	1.13662
17481	682893	0.27806
17538	687890	0.27222
17586	692888	0.26694
17612	701776	0.25778
17621	752950	0.21794
17625	697887	0.2619
17675	397888	0.87779
17677	395108	0.87821
17677	402887	0.87772
17677	757887	0.21489
17677	762887	0.21168
17677	767887	0.20854
17677	772887	0.20556
17677	777887	0.20264
17677	782887	0.1998
17677	787887	0.19697
17677	792887	0.19432
17677	797887	0.19156
17677	802887	0.18861
17677	807887	0.18602
17677	812887	0.1835
17726	817881	0.18093
17869	382823	0.90825
18195	407429	0.88762
18231	822719	0.17885
18544	387630	0.90564
18902	827592	0.17696
19186	670392	0.28189
19208	410811	0.90239
19271	675398	0.29058
19331	392307	0.90392
19357	680408	0.2844
19436	394843	1.11977
19470	685422	0.27855
19583	690434	0.2729
19588	832293	0.17515
19696	695445	0.26774
19809	700455	0.26269
20291	393622	1.20312
20530	752740	0.22118
20554	397117	0.96841
21473	755873	0.22022
21503	381457	0.98857
21713	390085	0.96888
21932	400503	0.9419
22007	385387	1.0008
22007	405387	0.93719
22007	760387	0.21785
22007	765387	0.21451
22007	770387	0.21121
22007	775387	0.20815
22007	780387	0.20519
22007	785387	0.20234
22007	790387	0.19932
22007	795387	0.19608
22007	800387	0.19323
22007	805387	0.19056
22007	810387	0.18798
22007	815387	0.18536
22007	820387	0.18279
22007	825387	0.18023
22007	830387	0.17771
22028	410359	0.93936
22365	834942	0.17564
23239	372035	2.60987
23263	414250	0.95903
24197	399263	1.90365
24359	372144	1.71787
25090	400050	1.19567
25205	758919	0.22207
25331	386908	1.13938
25702	399767	2.04759
26268	403006	1.01433
26335	762890	0.22056
26337	407887	1.0044
26337	412887	1.00228
26337	767887	0.21728
26337	772887	0.21392
26337	777887	0.21074
26337	782887	0.20759
26337	787887	0.20404
26337	792887	0.20106
26337	797887	0.19826
26337	802887	0.19535
26337	807887	0.19259
26337	812887	0.18985
26337	817887	0.18717
26337	822887	0.18452
26337	827887	0.1819
26337	832887	0.17931
26403	383195	1.19102
26530	837631	0.17699
26979	417269	1.01323
27504	400902	2.02124
27713	840657	0.17626
29063	762192	0.22394
30101	401277	1.90238
30274	765728	0.22272
30638	384134	1.38639
30667	405387	1.08639
30667	410387	1.0741
30667	415387	1.07314
30667	770387	0.21986
30667	775387	0.21661
30667	780387	0.21273
30667	785387	0.20936
30667	790387	0.20624
30667	795387	0.20322
30667	800387	0.20028
30667	805387	0.19736
30667	810387	0.19456
30667	815387	0.19172
30667	820387	0.18891
30667	825387	0.1862
30667	830387	0.18343
30667	835387	0.18079
30742	840276	0.17823
30833	420218	1.07546
30899	380739	1.18065
30905	402310	1.16751
31961	843490	0.17743
32080	423626	1.09568
33117	401230	1.3487
33166	399584	1.44214
33229	400389	1.26687
33848	400874	1.23194
34068	768787	0.22445
34608	403458	1.17977
34743	386048	1.98609
34870	412876	1.14633
34997	382887	1.22769
34997	407887	1.15971
34997	417887	1.14984
34997	772887	0.22193
34997	777887	0.21836
34997	782887	0.21496
34997	787887	0.21157
34997	792887	0.20836
34997	797887	0.20529
34997	802887	0.20226
34997	807887	0.19933
34997	812887	0.19645
34997	817887	0.19352
34997	822887	0.1906
34997	827887	0.1877
34997	832887	0.18492
34997	837887	0.1822
35000	422883	1.14836
35010	842866	0.17962
35182	378670	1.15352
35388	398253	1.34757
36074	426389	1.16804
36196	846311	0.17856
37072	394212	1.53658
37326	403144	1.2401
37332	413092	1.85344
37718	771805	0.22553
37759	406681	1.34125
37821	384020	1.38408
38142	409556	1.22332
38177	416755	1.69233
38643	411983	3.2565
38704	395155	2.37934
39072	775606	0.22388
39233	380192	1.20533
39327	420387	1.23899
39327	425387	1.23801
39327	780387	0.22067
39327	785387	0.21723
39327	790387	0.21383
39327	795387	0.21053
39327	800387	0.20742
39327	805387	0.20424
39327	810387	0.20109
39327	815387	0.19805
39327	820387	0.19509
39327	825387	0.19213
39327	830387	0.18918
39327	835387	0.18643
39327	840387	0.18373
39327	845387	0.18113
39518	415071	2.03057
39598	402332	1.2784
39671	376182	1.17325
39917	404948	1.27322
40251	428925	1.25291
40323	849023	0.17984
40767	409513	1.2797
41136	413404	3.02867
42569	380976	1.27066
42891	417355	2.36155
42896	778633	0.22544
43374	396621	1.63104
43502	403691	1.34662
43539	419125	1.35055
43555	377751	1.2381
43658	407887	1.34814
43658	422887	1.34149
43658	427887	1.33458
43658	782887	0.22303
43658	787887	0.2194
43658	792887	0.21585
43658	797887	0.21253
43658	802887	0.20937
43658	807887	0.20605
43658	812887	0.20283
43658	817887	0.19975
43658	822887	0.19675
43658	827887	0.19376
43658	832887	0.19078
43658	837887	0.18799
43658	842887	0.18528
43658	847887	0.18265
44055	374730	1.31022
44505	411774	1.36683
44544	432149	1.34803
44982	360715	1.8285
45019	359734	1.70797
45274	360316	1.76154
46539	781629	0.22659
46661	417879	2.29802
46725	417934	2.29945
47228	849425	0.18405
47368	420980	1.44098
47511	413408	1.802
47683	396545	1.77422
47726	425409	1.44327
47840	410197	1.45221
47864	785502	0.22498
47982	375478	1.37432
47988	405388	1.45556
47988	430387	1.44442
47988	790387	0.22147
47988	795387	0.21786
47988	800387	0.21442
47988	805387	0.21116
47988	810387	0.20791
47988	815387	0.20461
47988	820387	0.20142
47988	825387	0.19842
47988	830387	0.19548
47988	835387	0.19251
47988	840387	0.18957
47988	845387	0.18673
48146	435275	1.43647
48359	378712	1.32931
48815	417836	2.51156
49091	419267	2.22546
49320	402034	1.64573
49353	439160	1.46571
49786	422909	1.53896
49808	425182	1.9968
49918	396260	1.96228
51003	374883	2.11668
51059	407374	2.06299
51226	846610	0.18824
51374	424331	2.33789
51705	788468	0.22625
52066	428656	1.57077
52318	402887	1.54071
52318	432887	1.57381
52318	437887	1.5681
52318	792887	0.22362
52318	797887	0.21993
52318	802887	0.21641
52318	807887	0.21307
52318	812887	0.20976
52318	817887	0.20648
52318	822887	0.20317
52318	827887	0.19998
52318	832887	0.19695
52318	837887	0.19402
52318	842887	0.19115
52341	377863	1.35357
52554	426737	2.55457
52634	418750	1.61506
52658	422258	1.62338
52679	397983	1.53733
53068	442005	1.59078
53467	385546	2.2154
53606	382504	1.43179
54315	393461	2.76882
54679	428048	1.73373
54962	392252	2.68667
55153	376872	1.74717
55254	843713	0.19254
55397	791491	0.22731
55648	427423	2.40529
55997	440192	1.72154
56071	404117	2.70468
56314	380874	1.63804
56393	400383	1.60327
56472	384645	1.49831
56496	430888	1.73886
56555	840267	0.19545
56625	795417	0.22555
56642	428230	2.54369
56648	420387	1.7557
56648	435386	1.74736
56648	800387	0.22198
56648	805387	0.21843
56648	810387	0.21488
56648	815387	0.21143
56648	820387	0.20816
56648	825387	0.20491
56648	830387	0.20166
56648	835387	0.19851
56708	395801	1.60336
56786	423861	1.76552
56863	444977	1.76121
57321	428995	2.82762
57618	416540	2.16165
57915	373180	2.01521
58575	389601	2.28185
59083	410747	2.69718
59445	795001	0.22833
59491	373286	2.02532
59544	840535	0.19751
59975	389592	2.27395
60007	390720	2.33831
60038	427966	3.28481
60097	422295	2.74146
60112	378875	2.08632
60167	445885	2.05072
60188	397044	1.74536
60196	428948	2.41838
60406	382196	1.4681
60506	798306	0.2269
60588	432729	1.93861
60642	837506	0.20021
60719	403397	1.70702
60846	417851	1.91068
60978	802887	0.22388
60978	807887	0.22034
60978	812887	0.21674
60978	817887	0.21317
