name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
190           -10893  724690  0.6492E-04  0.1395E-01  0.1194E+00  0.1333E+00  0.9506E-03
190           -11789  720123  0.6676E-04  0.1409E-01  0.1201E+00  0.1342E+00  0.9632E-03
190           -13625  716559  0.6856E-04  0.1440E-01  0.1220E+00  0.1364E+00  0.9832E-03
191           -12679  703413  0.8204E-04  0.1613E-01  0.1315E+00  0.1477E+00  0.1063E-02
191           -12290  700436  0.8451E-04  0.1651E-01  0.1338E+00  0.1503E+00  0.1085E-02
191           -12027  695458  0.9131E-04  0.1722E-01  0.1366E+00  0.1539E+00  0.1110E-02
191           -11751  690473  0.9676E-04  0.1794E-01  0.1404E+00  0.1583E+00  0.1143E-02
191           -11473  685496  0.1024E-03  0.1880E-01  0.1449E+00  0.1637E+00  0.1187E-02
191           -11188  680535  0.1090E-03  0.1961E-01  0.1487E+00  0.1683E+00  0.1222E-02
191           -10885  675621  0.1119E-03  0.2032E-01  0.1535E+00  0.1738E+00  0.1268E-02
191           -10543  670662  0.1580E-03 -0.1974E+00  0.1577E+00 -0.3969E-01  0.1310E-02
191           -10083  665526  0.1703E-03 -0.2038E+00  0.1629E+00 -0.4091E-01  0.1351E-02
190            -6444  737142  0.5650E-04  0.1301E-01  0.1148E+00  0.1278E+00  0.9071E-03
190            -7328  732560  0.5899E-04  0.1325E-01  0.1154E+00  0.1286E+00  0.9188E-03
190            -8099  727808  0.6364E-04  0.1374E-01  0.1180E+00  0.1318E+00  0.9375E-03
190            -8758  723288  0.6516E-04  0.1413E-01  0.1210E+00  0.1352E+00  0.9662E-03
190            -9853  719931  0.6840E-04  0.1438E-01  0.1223E+00  0.1367E+00  0.9751E-03
191            -8325  702221  0.8810E-04  0.1667E-01  0.1339E+00  0.1506E+00  0.1074E-02
191            -8304  697887  0.9547E-04  0.1729E-01  0.1357E+00  0.1530E+00  0.1088E-02
191            -8304  692887  0.1017E-03  0.1809E-01  0.1397E+00  0.1578E+00  0.1124E-02
191            -8304  687887  0.1042E-03  0.1880E-01  0.1450E+00  0.1638E+00  0.1173E-02
191            -8304  682887  0.1074E-03  0.1952E-01  0.1496E+00  0.1691E+00  0.1218E-02
191            -8304  677887  0.1113E-03  0.2034E-01  0.1551E+00  0.1754E+00  0.1269E-02
191            -8304  672887  0.1559E-03 -0.1921E+00  0.1588E+00 -0.3333E-01  0.1306E-02
191            -8221  667893  0.1654E-03 -0.1947E+00  0.1612E+00 -0.3349E-01  0.1336E-02
191            -7972  662945  0.1804E-03 -0.2037E+00  0.1658E+00 -0.3789E-01  0.1372E-02
191            -7639  657982  0.1993E-03 -0.2175E+00  0.1701E+00 -0.4747E-01  0.1392E-02
191            -7675  654994  0.2034E-03 -0.2116E+00  0.1744E+00 -0.3715E-01  0.1436E-02
190            -1693  754909  0.4694E-04  0.1166E-01  0.1069E+00  0.1185E+00  0.8307E-03
