name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
190           -10893  724690  0.1939E-01  0.2089E+00  0.2664E+00  0.4752E+00  0.5665E-02  0.1133E-02
190           -11789  720123  0.1959E-01  0.2115E+00  0.2650E+00  0.4765E+00  0.5723E-02  0.1145E-02
190           -13625  716559  0.1961E-01  0.2123E+00  0.2628E+00  0.4751E+00  0.5746E-02  0.1149E-02
191           -12679  703413  0.2094E-01  0.2271E+00  0.2696E+00  0.4967E+00  0.6106E-02  0.1221E-02
191           -12290  700436  0.2128E-01  0.2310E+00  0.2720E+00  0.5031E+00  0.6201E-02  0.1240E-02
191           -12027  695458  0.2168E-01  0.2363E+00  0.2731E+00  0.5094E+00  0.6331E-02  0.1266E-02
191           -11751  690473  0.2236E-01  0.2450E+00  0.2749E+00  0.5200E+00  0.6525E-02  0.1305E-02
191           -11473  685496  0.2315E-01  0.2549E+00  0.2793E+00  0.5342E+00  0.6745E-02  0.1349E-02
191           -11188  680535  0.2398E-01  0.2660E+00  0.2833E+00  0.5493E+00  0.6986E-02  0.1397E-02
191           -10885  675621  0.2467E-01  0.2757E+00  0.2879E+00  0.5636E+00  0.7202E-02  0.1440E-02
191           -10543  670662  0.2565E-01  0.2573E+00  0.2913E+00  0.5485E+00  0.7444E-02  0.1489E-02
191           -10083  665526  0.2660E-01  0.2674E+00  0.2955E+00  0.5629E+00  0.7681E-02  0.1536E-02
190            -6444  737142  0.1893E-01  0.2020E+00  0.2680E+00  0.4700E+00  0.5529E-02  0.1106E-02
190            -7328  732560  0.1917E-01  0.2054E+00  0.2676E+00  0.4731E+00  0.5598E-02  0.1120E-02
190            -8099  727808  0.1944E-01  0.2089E+00  0.2689E+00  0.4777E+00  0.5664E-02  0.1133E-02
190            -8758  723288  0.1978E-01  0.2127E+00  0.2699E+00  0.4827E+00  0.5748E-02  0.1150E-02
190            -9853  719931  0.1980E-01  0.2136E+00  0.2673E+00  0.4810E+00  0.5770E-02  0.1154E-02
191            -8325  702221  0.2178E-01  0.2356E+00  0.2793E+00  0.5149E+00  0.6295E-02  0.1259E-02
191            -8304  697887  0.2203E-01  0.2392E+00  0.2786E+00  0.5178E+00  0.6384E-02  0.1277E-02
191            -8304  692887  0.2264E-01  0.2466E+00  0.2803E+00  0.5269E+00  0.6550E-02  0.1310E-02
191            -8304  687887  0.2319E-01  0.2534E+00  0.2823E+00  0.5357E+00  0.6697E-02  0.1339E-02
191            -8304  682887  0.2389E-01  0.2630E+00  0.2844E+00  0.5474E+00  0.6903E-02  0.1381E-02
191            -8304  677887  0.2463E-01  0.2732E+00  0.2899E+00  0.5631E+00  0.7132E-02  0.1426E-02
191            -8304  672887  0.2561E-01  0.2555E+00  0.2938E+00  0.5494E+00  0.7375E-02  0.1475E-02
191            -8221  667893  0.2640E-01  0.2645E+00  0.2962E+00  0.5607E+00  0.7584E-02  0.1517E-02
191            -7972  662945  0.2730E-01  0.2743E+00  0.3003E+00  0.5746E+00  0.7841E-02  0.1568E-02
191            -7639  657982  0.2802E-01  0.2819E+00  0.3052E+00  0.5871E+00  0.8003E-02  0.1601E-02
191            -7675  654994  0.2856E-01  0.2884E+00  0.3063E+00  0.5948E+00  0.8191E-02  0.1638E-02
