name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
190           -10893  724690  0.7245E-02  0.8871E+00  0.3176E+01  0.4063E+01  0.3257E-01
190           -11789  720123  0.7575E-02  0.9214E+00  0.3230E+01  0.4151E+01  0.3365E-01
190           -13625  716559  0.7789E-02  0.9453E+00  0.3255E+01  0.4200E+01  0.3449E-01
191           -12679  703413  0.9098E-02  0.1083E+01  0.3469E+01  0.4552E+01  0.3845E-01
191           -12290  700436  0.9444E-02  0.1118E+01  0.3523E+01  0.4641E+01  0.3942E-01
191           -12027  695458  0.1003E-01  0.1179E+01  0.3610E+01  0.4789E+01  0.4114E-01
191           -11751  690473  0.1067E-01  0.1246E+01  0.3699E+01  0.4944E+01  0.4297E-01
191           -11473  685496  0.1134E-01  0.1315E+01  0.3792E+01  0.5107E+01  0.4491E-01
191           -11188  680535  0.1207E-01  0.1391E+01  0.3894E+01  0.5285E+01  0.4701E-01
191           -10885  675621  0.1284E-01  0.1470E+01  0.3987E+01  0.5457E+01  0.4902E-01
191           -10543  670662  0.1534E-01 -0.2424E+02  0.3873E+01 -0.2037E+02  0.4612E-01
191           -10083  665526  0.1612E-01 -0.2475E+02  0.3954E+01 -0.2080E+02  0.4748E-01
190            -6444  737142  0.6543E-02  0.8132E+00  0.3068E+01  0.3881E+01  0.3005E-01
190            -7328  732560  0.6824E-02  0.8427E+00  0.3116E+01  0.3959E+01  0.3097E-01
190            -8099  727808  0.7146E-02  0.8756E+00  0.3172E+01  0.4048E+01  0.3203E-01
190            -8758  723288  0.7466E-02  0.9091E+00  0.3228E+01  0.4137E+01  0.3310E-01
190            -9853  719931  0.7687E-02  0.9327E+00  0.3260E+01  0.4192E+01  0.3386E-01
191            -8325  702221  0.9488E-02  0.1120E+01  0.3557E+01  0.4677E+01  0.3921E-01
191            -8304  697887  0.1001E-01  0.1173E+01  0.3631E+01  0.4804E+01  0.4069E-01
191            -8304  692887  0.1060E-01  0.1236E+01  0.3716E+01  0.4951E+01  0.4243E-01
191            -8304  687887  0.1125E-01  0.1304E+01  0.3804E+01  0.5107E+01  0.4432E-01
191            -8304  682887  0.1196E-01  0.1378E+01  0.3901E+01  0.5279E+01  0.4637E-01
191            -8304  677887  0.1274E-01  0.1457E+01  0.3998E+01  0.5455E+01  0.4847E-01
