x	y	tot_dep
-13625	716559	0.444029
-12679	703413	0.481261
-12290	700436	0.490678
-12027	695458	0.507678
-11789	720123	0.440205
-11751	690473	0.524044
-11473	685496	0.540808
-11188	680535	0.56153
-10893	724690	0.431516
-10885	675621	0.577435
-10543	670662	-1.01266
-10083	665526	-1.04804
-9853	719931	0.446088
-8758	723288	0.440444
-8325	702221	0.497311
-8304	672887	-0.97669
-8304	677887	0.579022
-8304	682887	0.561814
-8304	687887	0.542106
-8304	692887	0.527252
-8304	697887	0.510583
-8221	667893	-1.00408
-8099	727808	0.431974
-7972	662945	-1.03343
-7675	654994	-1.02584
-7639	657982	-1.04747
-7328	732560	0.42306
-6444	737142	0.415256
-4987	726348	0.443332
-4038	703250	0.507589
-3974	660387	-1.09311
-3974	665387	-1.0708
-3974	670387	-1.03924
-3974	675387	0.601729
-3974	680387	0.585394
-3974	685387	0.564761
-3974	690387	0.548363
-3974	695387	0.532288
-3974	700387	0.515801
-3974	730387	0.436567
-3974	735387	0.425313
-3947	656007	-1.10423
-3716	740305	0.415578
-3117	745178	0.406572
-2454	749971	0.397967
-1693	754909	0.389864
-1291	729422	0.445689
41	733157	0.44075
331	702076	0.524562
356	657887	-1.08118
356	662887	-1.05459
356	667887	-1.02853
356	672887	-1.00332
356	677887	0.609195
356	682887	0.591454
356	687887	0.570417
356	692887	0.555124
356	697887	0.537822
356	737887	0.431011
356	742887	0.420367
356	747887	0.40943
357	752887	0.398892
431	654767	-1.06412
731	757769	0.389777
1369	762644	0.382185
1739	393617	0.830002
1788	395449	0.746661
2050	767368	0.374292
2957	772655	0.366187
3854	736202	0.444106
4610	703102	0.535858
4686	660387	-1.15519
4686	665387	-1.12788
4686	670387	-1.09805
4686	675387	0.633931
4686	680387	0.617259
4686	685387	0.595496
4686	690387	0.578284
4686	695387	0.56167
4686	700387	0.544363
4686	740387	0.437213
4686	745387	0.426365
4686	750387	0.414919
4686	755387	0.403881
4686	760387	0.393751
4686	765387	0.383725
4703	655817	-1.1774
4736	770381	0.373998
4829	395187	0.843029
5229	775224	0.365992
5252	391155	1.04933
5898	780094	0.358502
6076	398315	0.786433
6587	784792	0.351825
7490	739197	0.447376
8258	397105	0.902224
8836	743046	0.44231
8982	701934	0.555558
9017	392887	1.15523
9017	657887	-1.13114
9017	662887	-1.10655
9017	667887	-1.07824
9017	672887	-1.04987
9017	677887	0.643415
9017	682887	0.624635
9017	687887	0.602778
9017	692887	0.586769
9017	697887	0.568933
9017	747887	0.431872
9017	752887	0.420215
9017	757887	0.409073
9017	762887	0.398942
9017	767887	0.388405
9017	772887	0.378376
9017	777887	0.36845
9017	782887	0.35964
9083	654534	-1.12597
9181	787844	0.351332
9439	388410	1.32799
9753	792686	0.343336
9920	398644	0.909204
10368	401463	1.23819
10446	797499	0.336151
11165	383841	1.87332
11196	802308	0.329172
12671	746041	0.44578
13114	394093	1.60852
13175	702963	0.567975
13347	385387	1.88878
13347	390387	1.72819
13347	400387	1.41297
13347	660387	-1.16712
13347	665387	-1.13601
13347	670387	-1.10461
13347	675387	0.671348
13347	680387	0.653822
13347	685387	0.630719
13347	690387	0.612483
13347	695387	0.595247
13347	700387	0.576894
13347	750387	0.437566
13347	755387	0.42551
13347	760387	0.414167
13347	765387	0.403226
13347	770387	0.392288
13347	775387	0.382055
13347	780387	0.372033
13347	785387	0.362816
13347	790387	0.353797
13347	795387	0.344484
13347	800387	0.335875
13357	655652	-1.18582
13505	396267	1.53339
13650	381070	2.06813
13690	805277	0.32828
14115	377876	3.07379
14230	404300	1.29363
14334	810143	0.316089
14673	377099	3.18409
14704	378110	2.36865
14841	375339	4.58355
15028	377977	4.50974
15028	814864	0.309818
15206	379836	2.23809
15584	383578	2.07402
15953	820155	0.302869
16337	749049	0.448241
16397	388266	1.93114
17107	392827	1.89539
17180	657902	-1.12465
17245	662902	-1.11149
17257	654361	-1.11881
17309	667900	-1.08568
17369	672897	-1.05951
17424	677894	0.681331
17475	379724	3.21733
17481	682893	0.662113
17538	687890	0.638532
17586	692888	0.621811
17612	701776	0.589132
17621	752950	0.442172
17625	697887	0.603043
17675	397888	1.733
17677	395108	1.80812
17677	402887	1.54853
17677	757887	0.430216
17677	762887	0.418564
17677	767887	0.406915
17677	772887	0.395977
17677	777887	0.38504
17677	782887	0.37552
17677	787887	0.365995
17677	792887	0.356074
17677	797887	0.346955
17677	802887	0.332388
17677	807887	0.324279
17677	812887	0.316693
17726	817881	0.308988
17869	382823	2.24772
18195	407429	1.38763
18231	822719	0.302042
18544	387630	2.11467
18902	827592	0.295488
19186	670392	-1.13186
19208	410811	1.30394
19271	675398	0.699401
19331	392307	2.06676
19357	680408	0.681327
19436	394843	3.36388
19470	685422	0.657808
19583	690434	0.639063
19588	832293	0.289277
19696	695445	0.620823
19809	700455	0.602055
20291	393622	3.21675
20530	752740	0.449706
20554	397117	2.12712
21473	755873	0.444142
21503	381457	2.56836
21713	390085	2.33577
21932	400503	1.9356
22007	385387	2.48358
22007	405387	1.73792
22007	760387	0.434523
22007	765387	0.422665
22007	770387	0.410618
22007	775387	0.399273
22007	780387	0.388537
22007	785387	0.378812
22007	790387	0.368985
22007	795387	0.3529
22007	800387	0.343675
22007	805387	0.335064
22007	810387	0.327054
22007	815387	0.319005
22007	820387	0.310879
22007	825387	0.30289
22007	830387	0.295119
22028	410359	1.48143
22365	834942	0.288856
23239	372035	17.3543
23263	414250	1.34291
24197	399263	6.32815
24359	372144	8.44316
25090	400050	2.76043
25205	758919	0.445713
25331	386908	2.88551
25702	399767	10.0149
26268	403006	2.14222
26335	762890	0.438642
26337	407887	1.91108
26337	412887	1.64864
26337	767887	0.426176
26337	772887	0.414222
26337	777887	0.402379
26337	782887	0.392051
26337	787887	0.376268
26337	792887	0.365635
26337	797887	0.355795
26337	802887	0.346168
26337	807887	0.337656
26337	812887	0.329441
26337	817887	0.321141
26337	822887	0.312632
26337	827887	0.304637
26337	832887	0.296966
26403	383195	3.14783
26530	837631	0.290248
26979	417269	1.38521
27504	400902	8.66753
27713	840657	0.287467
29063	762192	0.446597
30101	401277	8.14375
30274	765728	0.440943
30638	384134	3.94925
30667	405387	2.30334
30667	410387	2.05661
30667	415387	1.74942
30667	770387	0.429611
30667	775387	0.417453
30667	780387	0.39986
30667	785387	0.389428
30667	790387	0.378989
30667	795387	0.368145
30667	800387	0.358104
30667	805387	0.348671
30667	810387	0.340047
30667	815387	0.331721
30667	820387	0.32313
30667	825387	0.31469
30667	830387	0.306304
30667	835387	0.29865
30742	840276	0.291776
30833	420218	1.45055
30899	380739	3.49648
30905	402310	2.85815
31961	843490	0.288813
32080	423626	1.39721
33117	401230	5.89352
33166	399584	6.81197
33229	400389	4.26447
33848	400874	4.24194
34068	768787	0.441453
34608	403458	2.92785
34743	386048	8.33992
34870	412876	2.20758
34997	382887	3.8283
34997	407887	2.59179
34997	417887	1.91345
34997	772887	0.427025
34997	777887	0.414368
34997	782887	0.40343
34997	787887	0.392687
34997	792887	0.381332
34997	797887	0.370879
34997	802887	0.360832
34997	807887	0.351595
34997	812887	0.342763
34997	817887	0.33383
34997	822887	0.324801
34997	827887	0.316486
34997	832887	0.308139
34997	837887	0.300269
35000	422883	1.6667
35010	842866	0.292966
35182	378670	3.65602
35388	398253	4.17928
36074	426389	1.53565
36196	846311	0.289502
37072	394212	5.50729
37326	403144	3.62335
37332	413092	7.26526
37718	771805	0.435919
37759	406681	3.81328
37821	384020	5.25518
38142	409556	2.88929
38177	416755	5.05018
38643	411983	15.3106
38704	395155	11.1626
39072	775606	0.428768
39233	380192	3.97841
39327	420387	2.07952
39327	425387	1.84384
39327	780387	0.417741
39327	785387	0.406605
39327	790387	0.395757
39327	795387	0.384201
39327	800387	0.373339
39327	805387	0.363292
39327	810387	0.354054
39327	815387	0.344914
39327	820387	0.335481
39327	825387	0.326543
39327	830387	0.317601
39327	835387	0.309382
39327	840387	0.301651
39327	845387	0.294287
39518	415071	8.51953
39598	402332	3.43037
39671	376182	3.83423
39917	404948	3.24471
40251	428925	1.77855
40323	849023	0.29018
40767	409513	3.33607
41136	413404	19.8262
42569	380976	5.45928
42891	417355	10.7295
42896	778633	0.429954
43374	396621	5.86306
43502	403691	3.55114
43539	419125	2.61545
43555	377751	4.6311
43658	407887	3.45229
43658	422887	2.40527
43658	427887	2.13946
43658	782887	0.420965
43658	787887	0.409627
43658	792887	0.397782
43658	797887	0.386635
43658	802887	0.375383
43658	807887	0.36544
43658	812887	0.3558
43658	817887	0.34646
43658	822887	0.336921
43658	827887	0.327883
43658	832887	0.319077
43658	837887	0.310652
43658	842887	0.302927
43658	847887	0.295328
44055	374730	7.46556
44505	411774	3.64186
44544	432149	1.92379
44982	360715	9.72636
45019	359734	7.20872
45274	360316	8.19305
46539	781629	0.430268
46661	417879	11.0469
46725	417934	11.0946
47228	849425	0.297125
47368	420980	3.09302
47511	413408	7.75078
47683	396545	7.85843
47726	425409	2.76912
47840	410197	3.91551
47864	785502	0.423584
47982	375478	4.50798
47988	405388	3.89172
47988	430387	2.43492
47988	790387	0.412245
47988	795387	0.399807
47988	800387	0.388376
47988	805387	0.377443
47988	810387	0.367613
47988	815387	0.357782
47988	820387	0.347951
47988	825387	0.338424
47988	830387	0.329104
47988	835387	0.320447
47988	840387	0.312152
47988	845387	0.304284
48146	435275	2.18024
48359	378712	4.44267
48815	417836	13.4528
49091	419267	11.5427
49320	402034	7.963
49353	439160	2.00574
49786	422909	3.53941
49808	425182	6.59718
49918	396260	19.4886
51003	374883	8.03488
51059	407374	7.91721
51226	846610	0.305942
51374	424331	10.2851
51705	788468	0.423845
52066	428656	3.38408
52318	402887	5.00926
52318	432887	2.93306
52318	437887	2.51344
52318	792887	0.413618
52318	797887	0.401669
52318	802887	0.389933
52318	807887	0.3793
52318	812887	0.369159
52318	817887	0.359119
52318	822887	0.348989
52318	827887	0.339471
52318	832887	0.330259
52318	837887	0.32149
52318	842887	0.313232
52341	377863	4.51503
52554	426737	10.0339
52634	418750	4.05991
52658	422258	3.89918
52679	397983	4.97287
53068	442005	2.31403
53467	385546	8.18827
53606	382504	5.04822
54315	393461	14.1958
54679	428048	4.22885
54962	392252	12.0906
55153	376872	6.60101
55254	843713	0.315131
55397	791491	0.423012
55648	427423	8.15618
55997	440192	2.75279
56071	404117	11.5242
56314	380874	6.12018
56393	400383	4.91532
56472	384645	5.52636
56496	430888	3.9002
56555	840267	0.322467
56625	795417	0.415413
56642	428230	9.14109
56648	420387	4.45067
56648	435386	3.34785
56648	800387	0.403257
56648	805387	0.391708
56648	810387	0.380857
56648	815387	0.370505
56648	820387	0.360159
56648	825387	0.350124
56648	830387	0.340195
56648	835387	0.331074
56708	395801	5.12323
56786	423861	4.6742
56863	444977	2.64214
57321	428995	10.9819
57618	416540	6.84741
57915	373180	10.1822
58575	389601	11.63
59083	410747	11.4937
59445	795001	0.421593
59491	373286	8.03456
59544	840535	0.325387
59975	389592	11.2455
60007	390720	11.7457
60038	427966	16.2897
60097	422295	9.49036
60112	378875	9.05093
60167	445885	4.35507
60188	397044	5.93026
60196	428948	7.86522
60406	382196	5.5961
60506	798306	0.415203
60588	432729	4.41299
60642	837506	0.331917
60719	403397	5.46303
60846	417851	5.18802
60978	802887	0.404461
60978	807887	0.3931
60978	812887	0.382242
60978	817887	0.371583
60978	822887	0.360933
60978	827887	0.350891
60978	832887	0.340957
61068	436730	4.08187
61180	445253	3.47352
61367	413229	5.37381
61378	393467	5.63043
61907	378441	5.29617
61944	429192	5.47182
61952	406509	10.4956
62282	426981	24.0514
62345	425093	12.5882
62495	434882	19.8194
62544	433641	19.3926
62558	445203	3.59909
62989	437818	4.91029
63002	435322	18.6844
63109	388494	6.93432
63304	436731	15.9205
63357	430138	7.54421
64270	801364	0.413979
64290	430333	21.2062
64332	436276	24.9394
64416	428368	8.58372
64547	429921	32.2559
64731	834660	0.342131
64784	413875	6.15978
64953	379422	5.71783
65024	393910	6.96633
65240	404958	6.1494
65308	805387	0.405865
65308	810387	0.394501
65308	815387	0.383438
65308	820387	0.372576
65308	825387	0.361721
65308	830387	0.351266
65311	390386	5.95779
65331	411491	6.43198
65394	425966	6.83202
65581	438099	7.2155
65714	427764	9.28701
65777	376104	5.28675
65993	386153	6.33134
66808	402366	12.5069
66809	409312	7.30548
67625	445239	11.8943
67990	804469	0.412464
68496	412215	7.10093
68747	410432	16.813
68789	831823	0.352841
69013	392088	6.30228
69184	408269	7.35312
69306	808172	0.405766
69323	426061	19.7734
69366	447428	12.1457
69395	384360	6.85494
69404	402725	7.00021
69638	387887	6.31635
69638	812887	0.395518
69638	817887	0.384449
69638	822887	0.373076
69638	827887	0.362399
69658	373572	5.18921
69692	377614	5.91095
70003	423619	7.90847
70368	444060	22.9941
70582	410897	8.39534
71270	408726	9.04617
71272	391732	8.9826
72002	406232	9.03662
72193	372745	8.56877
72270	443570	31.804
72655	389263	6.90103
72752	829018	0.363885
72833	385642	7.18385
73023	372530	8.55468
73115	811221	0.404949
73122	379046	8.95753
73191	375793	5.89991
73352	451576	27.2925
73374	409303	9.28516
73513	373437	8.47419
73546	423866	8.57433
73901	390787	7.68899
73959	825372	0.373654
73968	815387	0.396328
73968	820387	0.384954
74192	406120	7.5578
74370	387115	8.44797
74386	453366	16.7608
74505	421002	8.45068
75232	388714	7.55887
75648	385863	10.6607
76009	454863	43.7951
76633	422270	12.8023
76751	814219	0.40344
76870	454736	57.4748
76892	826003	0.376276
77316	386850	8.67085
77317	456124	36.6727
77450	405080	14.4609
77564	423488	16.1441
77572	384642	15.4573
77889	604879	-0.665891
78102	818059	0.396656
78135	822696	0.385539
78263	407073	8.60727
78364	417802	12.9485
78848	607888	-0.762606
78888	612877	-0.774365
78925	617877	-0.791878
78962	622877	-0.812656
78998	627877	-1.14423
79035	632877	-1.11628
79072	637876	-1.09801
79109	642876	-1.08336
79321	415037	9.51713
79422	646729	-1.13709
79823	385182	32.3558
80174	459217	27.3854
80224	386935	119.597
81416	607184	-0.656395
81430	820584	0.395313
81712	418342	14.181
