x	y	tot_dep-mol~ha~y
-13625	716559	12.874
-12679	703413	15.829
-12290	700436	18.309
-12027	695458	25.735
-11789	720123	12.547
-11751	690473	27.683
-11473	685496	29.788
-11188	680535	31.732
-10893	724690	12.064
-10885	675621	35.216
-10543	670662	-369.022
-10083	665526	-424.355
-9853	719931	12.737
-8758	723288	12.4
-8325	702221	16.885
-8304	672887	-330.322
-8304	677887	34.338
-8304	682887	31.935
-8304	687887	29.232
-8304	692887	27.13
-8304	697887	24.78
-8221	667893	-385.415
-8099	727808	11.916
-7972	662945	-450.164
-7675	654994	-516.017
-7639	657982	-491.409
-7328	732560	11.466
-6444	737142	11.077
-4987	726348	12.31
-4038	703250	16.813
-3974	660387	-448.416
-3974	665387	-409.745
-3974	670387	-364.245
-3974	675387	37.324
-3974	680387	33.601
-3974	685387	30.83
-3974	690387	28.448
-3974	695387	26.061
-3974	700387	19.289
-3974	730387	11.913
-3974	735387	11.411
-3947	656007	-481.5
-3716	740305	10.951
-3117	745178	10.545
-2454	749971	10.18
-1693	754909	9.815
-1291	729422	12.214
41	733157	11.892
331	702076	17.873
356	657887	-453.474
356	662887	-420.592
356	667887	-415.65
356	672887	-350.548
356	677887	36.922
356	682887	33.241
356	687887	30.179
356	692887	27.99
356	697887	25.534
356	737887	11.436
356	742887	10.964
356	747887	10.509
357	752887	10.086
431	654767	-461.053
731	757769	9.71
1369	762644	9.369
1739	393617	-42.825
1788	395449	-57.168
2050	767368	9.045
2957	772655	8.705
3854	736202	11.822
4610	703102	17.756
4686	660387	-458.409
4686	665387	-486.689
4686	670387	-451.168
4686	675387	40.422
4686	680387	35.884
4686	685387	33.123
4686	690387	29.934
4686	695387	27.567
4686	700387	20.202
4686	740387	11.446
4686	745387	10.967
4686	750387	10.525
4686	755387	10.098
4686	760387	9.694
4686	765387	9.309
4703	655817	-479.69
4736	770381	8.936
4829	395187	-44.524
5229	775224	8.614
5252	391155	-3.856
5898	780094	8.314
6076	398315	-52.73
6587	784792	8.029
7490	739197	11.719
8258	397105	-37.7
8836	743046	11.417
8982	701934	18.828
9017	392887	6.376
9017	657887	-479.58
9017	662887	-480.827
9017	667887	-469.388
9017	672887	-417.455
9017	677887	39.64
9017	682887	35.561
9017	687887	32.133
9017	692887	29.206
9017	697887	26.815
9017	747887	10.959
9017	752887	10.511
9017	757887	10.085
9017	762887	9.684
9017	767887	9.295
9017	772887	8.923
9017	777887	8.568
9017	782887	8.231
9083	654534	-490.186
9181	787844	7.912
9439	388410	37.005
9753	792686	7.631
9920	398644	-40.021
10368	401463	10.244
10446	797499	7.363
11165	383841	111.024
11196	802308	7.094
12671	746041	11.314
13114	394093	68.466
13175	702963	18.677
13347	385387	103.604
13347	390387	86.821
13347	400387	28.618
13347	660387	-510.642
13347	665387	-490.508
13347	670387	-470.49
13347	675387	42.876
13347	680387	38.279
13347	685387	34.504
13347	690387	31.41
13347	695387	29.079
13347	700387	21.207
