x	y	tot_dep-mol~ha~y
-13625	716559	16.403
-12679	703413	16.815
-12290	700436	16.897
-12027	695458	17.056
-11789	720123	16.305
-11751	690473	17.23
-11473	685496	17.389
-11188	680535	17.575
-10893	724690	16.191
-10885	675621	17.788
-10543	670662	16.959
-10083	665526	17.187
-9853	719931	16.287
-8758	723288	16.204
-8325	702221	16.81
-8304	672887	16.865
-8304	677887	17.662
-8304	682887	17.459
-8304	687887	17.279
-8304	692887	17.109
-8304	697887	16.943
-8221	667893	17.08
-8099	727808	16.104
-7972	662945	17.281
-7675	654994	17.584
-7639	657982	17.467
-7328	732560	16.016
-6444	737142	15.987
-4987	726348	16.116
-4038	703250	16.76
-3974	660387	17.362
-3974	665387	17.161
-3974	670387	16.946
-3974	675387	17.746
-3974	680387	17.532
-3974	685387	17.338
-3974	690387	17.156
-3974	695387	16.989
-3974	700387	16.841
-3974	730387	16.033
-3974	735387	15.948
-3947	656007	17.534
-3716	740305	15.88
-3117	745178	15.84
-2454	749971	15.799
-1693	754909	15.966
-1291	729422	16.04
41	733157	15.955
331	702076	16.776
356	657887	17.452
356	662887	17.245
356	667887	17.037
356	672887	16.845
356	677887	17.622
356	682887	17.416
356	687887	17.229
356	692887	17.06
356	697887	16.897
356	737887	15.864
356	742887	15.809
356	747887	15.738
357	752887	15.7
431	654767	17.578
731	757769	15.807
1369	762644	15.425
1739	393617	34.205
1788	395449	34.049
2050	767368	15.198
2957	772655	15.066
3854	736202	15.877
4610	703102	16.745
4686	660387	17.319
4686	665387	17.114
4686	670387	16.924
4686	675387	17.703
4686	680387	17.501
4686	685387	17.306
4686	690387	17.13
4686	695387	16.961
4686	700387	16.814
4686	740387	15.798
4686	745387	15.708
4686	750387	15.628
4686	755387	15.539
4686	760387	15.44
4686	765387	15.269
4703	655817	17.516
4736	770381	15.119
4829	395187	33.381
5229	775224	14.989
5252	391155	33.68
5898	780094	14.851
6076	398315	32.844
6587	784792	14.746
7490	739197	15.814
8258	397105	32.417
8836	743046	15.727
8982	701934	16.769
9017	392887	32.41
9017	657887	17.401
9017	662887	17.203
9017	667887	17.014
9017	672887	16.834
9017	677887	17.592
9017	682887	17.404
9017	687887	17.23
9017	692887	17.056
9017	697887	16.889
9017	747887	15.628
9017	752887	15.538
9017	757887	15.443
9017	762887	15.331
9017	767887	15.19
9017	772887	15.05
9017	777887	14.926
9017	782887	14.804
9083	654534	17.543
9181	787844	14.717
9439	388410	32.824
9753	792686	14.777
9920	398644	31.926
10368	401463	31.52
10446	797499	14.683
11165	383841	32.472
11196	802308	14.541
12671	746041	15.664
13114	394093	31.092
13175	702963	16.745
13347	385387	31.143
13347	390387	31.039
13347	400387	30.901
13347	660387	17.282
13347	665387	17.106
13347	670387	16.918
13347	675387	17.686
13347	680387	17.498
13347	685387	17.316
13347	690387	17.142
13347	695387	16.971
13347	700387	16.82
13347	750387	15.574
13347	755387	15.477
13347	760387	15.384
13347	765387	15.264
13347	770387	15.133
13347	775387	15.014
13347	780387	14.894
13347	785387	14.788
13347	790387	14.696
13347	795387	14.624
13347	800387	14.541
13357	655652	17.462
13505	396267	30.942
13650	381070	30.102
13690	805277	14.468
14115	377876	36.644
14230	404300	30.624
14334	810143	14.484
14673	377099	36.118
14704	378110	29.27
14841	375339	41.597
15028	377977	41.75
15028	814864	14.543
15206	379836	29.108
15584	383578	29.929
15953	820155	14.426
16337	749049	15.608
16397	388266	29.935
17107	392827	29.881
17180	657902	17.366
17245	662902	17.188
17257	654361	17.495
17309	667900	17.008
17369	672897	16.836
17424	677894	17.589
17475	379724	34.447
17481	682893	17.414
17538	687890	17.235
17586	692888	17.067
17612	701776	16.799
17621	752950	15.526
17625	697887	16.908
17675	397888	29.815
17677	395108	29.802
17677	402887	29.887
17677	757887	15.44
17677	762887	15.334
17677	767887	15.213
17677	772887	15.088
17677	777887	14.977
17677	782887	14.865
17677	787887	14.761
17677	792887	14.67
17677	797887	14.578
17677	802887	14.507
17677	807887	14.429
17677	812887	14.382
17726	817881	14.346
17869	382823	28.976
18195	407429	29.838
18231	822719	14.298
18544	387630	29.244
18902	827592	14.409
19186	670392	16.915
19208	410811	29.738
19271	675398	17.693
19331	392307	29.256
19357	680408	17.502
19436	394843	34.208
