name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
190           -10893  724690  0.3050E-03  0.3064E+01  0.9000E+01  0.1206E+02  0.2546E+00
190           -11789  720123  0.3833E-03  0.3226E+01  0.9320E+01  0.1255E+02  0.2730E+00
190           -13625  716559  0.4791E-03  0.3341E+01  0.9532E+01  0.1287E+02  0.2875E+00
191           -12679  703413  0.4814E-02  0.4391E+01  0.1144E+02  0.1583E+02  0.3942E+00
191           -12290  700436  0.3061E-01  0.6132E+01  0.1218E+02  0.1831E+02  0.4423E+00
191           -12027  695458  0.1356E+00  0.1232E+02  0.1342E+02  0.2574E+02  0.5234E+00
191           -11751  690473  0.1436E+00  0.1316E+02  0.1453E+02  0.2769E+02  0.5989E+00
191           -11473  685496  0.1521E+00  0.1410E+02  0.1568E+02  0.2979E+02  0.6895E+00
191           -11188  680535  0.1517E+00  0.1471E+02  0.1702E+02  0.3173E+02  0.8193E+00
191           -10885  675621  0.1697E+00  0.1644E+02  0.1878E+02  0.3522E+02  0.1020E+01
191           -10543  670662  0.3196E+00 -0.3896E+03  0.2059E+02 -0.3690E+03  0.1245E+01
191           -10083  665526  0.3863E+00 -0.4464E+03  0.2196E+02 -0.4245E+03  0.1403E+01
190            -6444  737142  0.2090E-03  0.2714E+01  0.8363E+01  0.1108E+02  0.2153E+00
190            -7328  732560  0.2385E-03  0.2849E+01  0.8618E+01  0.1147E+02  0.2294E+00
190            -8099  727808  0.2783E-03  0.3000E+01  0.8916E+01  0.1192E+02  0.2457E+00
190            -8758  723288  0.3378E-03  0.3159E+01  0.9241E+01  0.1240E+02  0.2636E+00
190            -9853  719931  0.3989E-03  0.3272E+01  0.9465E+01  0.1274E+02  0.2770E+00
191            -8325  702221  0.8039E-02  0.4804E+01  0.1208E+02  0.1688E+02  0.4218E+00
191            -8304  697887  0.1232E+00  0.1159E+02  0.1319E+02  0.2478E+02  0.4946E+00
191            -8304  692887  0.1384E+00  0.1279E+02  0.1433E+02  0.2713E+02  0.5681E+00
191            -8304  687887  0.1477E+00  0.1377E+02  0.1546E+02  0.2923E+02  0.6524E+00
191            -8304  682887  0.1652E+00  0.1520E+02  0.1673E+02  0.3193E+02  0.7638E+00
191            -8304  677887  0.1672E+00  0.1607E+02  0.1827E+02  0.3434E+02  0.9283E+00
191            -8304  672887  0.2863E+00 -0.3506E+03  0.2024E+02 -0.3304E+03  0.1158E+01
191            -8221  667893  0.3555E+00 -0.4070E+03  0.2168E+02 -0.3854E+03  0.1345E+01
191            -7972  662945  0.4333E+00 -0.4731E+03  0.2295E+02 -0.4501E+03  0.1475E+01
191            -7639  657982  0.4970E+00 -0.5156E+03  0.2420E+02 -0.4914E+03  0.1587E+01
191            -7675  654994  0.5453E+00 -0.5409E+03  0.2489E+02 -0.5160E+03  0.1650E+01
190            -1693  754909  0.1421E-03  0.2271E+01  0.7544E+01  0.9815E+01  0.1728E+00
190            -2454  749971  0.1587E-03  0.2395E+01  0.7784E+01  0.1018E+02  0.1840E+00
190            -3117  745178  0.1765E-03  0.2520E+01  0.8025E+01  0.1054E+02  0.1952E+00
190            -3716  740305  0.2004E-03  0.2658E+01  0.8293E+01  0.1095E+02  0.2086E+00
190            -3974  735387  0.2321E-03  0.2810E+01  0.8601E+01  0.1141E+02  0.2239E+00
190            -3974  730387  0.2741E-03  0.2976E+01  0.8937E+01  0.1191E+02  0.2403E+00
190            -4987  726348  0.3139E-03  0.3109E+01  0.9201E+01  0.1231E+02  0.2556E+00
191            -4038  703250  0.5204E-02  0.4639E+01  0.1217E+02  0.1681E+02  0.4145E+00
191            -3974  700387  0.3158E-01  0.6397E+01  0.1289E+02  0.1929E+02  0.4612E+00
191            -3974  695387  0.1245E+00  0.1192E+02  0.1415E+02  0.2606E+02  0.5410E+00
191            -3974  690387  0.1386E+00  0.1315E+02  0.1530E+02  0.2844E+02  0.6198E+00
191            -3974  685387  0.1506E+00  0.1429E+02  0.1655E+02  0.3083E+02  0.7154E+00
191            -3974  680387  0.1633E+00  0.1559E+02  0.1801E+02  0.3360E+02  0.8554E+00
191            -3974  675387  0.1824E+00  0.1745E+02  0.1987E+02  0.3732E+02  0.1067E+01
191            -3974  670387  0.3285E+00 -0.3859E+03  0.2168E+02 -0.3642E+03  0.1285E+01
191            -3974  665387  0.3862E+00 -0.4327E+03  0.2299E+02 -0.4097E+03  0.1427E+01
191            -3974  660387  0.4413E+00 -0.4726E+03  0.2422E+02 -0.4484E+03  0.1545E+01
191            -3947  656007  0.4988E+00 -0.5067E+03  0.2526E+02 -0.4815E+03  0.1639E+01
190             2957  772655  0.1012E-03  0.1889E+01  0.6816E+01  0.8705E+01  0.1409E+00
190             2050  767368  0.1128E-03  0.2002E+01  0.7044E+01  0.9046E+01  0.1499E+00
190             1369  762644  0.1248E-03  0.2110E+01  0.7259E+01  0.9368E+01  0.1589E+00
190              731  757769  0.1387E-03  0.2225E+01  0.7484E+01  0.9710E+01  0.1684E+00
190              357  752887  0.1566E-03  0.2350E+01  0.7735E+01  0.1009E+02  0.1792E+00
190              356  747887  0.1770E-03  0.2490E+01  0.8019E+01  0.1051E+02  0.1916E+00
190              356  742887  0.2032E-03  0.2638E+01  0.8326E+01  0.1096E+02  0.2055E+00
190              356  737887  0.2341E-03  0.2795E+01  0.8641E+01  0.1144E+02  0.2203E+00
190               41  733157  0.2692E-03  0.2945E+01  0.8947E+01  0.1189E+02  0.2351E+00
190            -1291  729422  0.2971E-03  0.3057E+01  0.9157E+01  0.1221E+02  0.2473E+00
191              331  702076  0.8803E-02  0.5070E+01  0.1280E+02  0.1787E+02  0.4416E+00
191              356  697887  0.1198E+00  0.1162E+02  0.1391E+02  0.2554E+02  0.5122E+00
191              356  692887  0.1358E+00  0.1287E+02  0.1512E+02  0.2799E+02  0.5887E+00
191              356  687887  0.1439E+00  0.1383E+02  0.1634E+02  0.3018E+02  0.6760E+00
191              356  682887  0.1647E+00  0.1548E+02  0.1775E+02  0.3324E+02  0.7943E+00
191              356  677887  0.1859E+00  0.1746E+02  0.1947E+02  0.3693E+02  0.9682E+00
191              356  672887  0.3164E+00 -0.3722E+03  0.2160E+02 -0.3506E+03  0.1205E+01
191              356  667887  0.4000E+00 -0.4387E+03  0.2309E+02 -0.4156E+03  0.1386E+01
191              356  662887  0.4261E+00 -0.4449E+03  0.2432E+02 -0.4206E+03  0.1505E+01
191              356  657887  0.4775E+00 -0.4790E+03  0.2555E+02 -0.4535E+03  0.1612E+01
191              431  654767  0.5083E+00 -0.4874E+03  0.2632E+02 -0.4611E+03  0.1681E+01
159             1788  395449  0.3957E+01 -0.1017E+03  0.4455E+02 -0.5716E+02  0.9806E+00
159             1739  393617  0.4077E+01 -0.8747E+02  0.4464E+02 -0.4283E+02  0.9492E+00
190             6587  784792  0.8085E-04  0.1662E+01  0.6367E+01  0.8029E+01  0.1233E+00
190             5898  780094  0.8964E-04  0.1753E+01  0.6560E+01  0.8313E+01  0.1303E+00
190             5229  775224  0.9913E-04  0.1851E+01  0.6764E+01  0.8615E+01  0.1377E+00
190             4736  770381  0.1103E-03  0.1956E+01  0.6979E+01  0.8936E+01  0.1458E+00
190             4686  765387  0.1239E-03  0.2076E+01  0.7232E+01  0.9308E+01  0.1555E+00
190             4686  760387  0.1400E-03  0.2202E+01  0.7492E+01  0.9694E+01  0.1658E+00
190             4686  755387  0.1587E-03  0.2333E+01  0.7764E+01  0.1010E+02  0.1767E+00
190             4686  750387  0.1801E-03  0.2474E+01  0.8051E+01  0.1052E+02  0.1890E+00
190             4686  745387  0.2047E-03  0.2617E+01  0.8350E+01  0.1097E+02  0.2016E+00
190             4686  740387  0.2356E-03  0.2775E+01  0.8671E+01  0.1145E+02  0.2164E+00
190             3854  736202  0.2637E-03  0.2900E+01  0.8921E+01  0.1182E+02  0.2290E+00
191             4610  703102  0.5636E-02  0.4878E+01  0.1288E+02  0.1776E+02  0.4332E+00
191             4686  700387  0.3171E-01  0.6616E+01  0.1359E+02  0.2020E+02  0.4791E+00
191             4686  695387  0.1333E+00  0.1265E+02  0.1493E+02  0.2757E+02  0.5624E+00
191             4686  690387  0.1450E+00  0.1379E+02  0.1615E+02  0.2994E+02  0.6432E+00
191             4686  685387  0.1694E+00  0.1559E+02  0.1753E+02  0.3312E+02  0.7458E+00
191             4686  680387  0.1774E+00  0.1676E+02  0.1913E+02  0.3589E+02  0.8909E+00
191             4686  675387  0.2077E+00  0.1923E+02  0.2119E+02  0.4042E+02  0.1116E+01
191             4686  670387  0.4116E+00 -0.4744E+03  0.2319E+02 -0.4512E+03  0.1339E+01
191             4686  665387  0.4658E+00 -0.5112E+03  0.2452E+02 -0.4867E+03  0.1476E+01
191             4686  660387  0.4622E+00 -0.4841E+03  0.2567E+02 -0.4584E+03  0.1579E+01
191             4703  655817  0.5041E+00 -0.5065E+03  0.2682E+02 -0.4797E+03  0.1679E+01
159             6076  398315  0.3877E+01 -0.9802E+02  0.4529E+02 -0.5273E+02  0.9704E+00
159             4829  395187  0.4062E+01 -0.8973E+02  0.4520E+02 -0.4453E+02  0.9364E+00
159             5252  391155  0.4106E+01 -0.4866E+02  0.4480E+02 -0.3860E+01  0.8465E+00
190            11196  802308  0.5829E-04  0.1374E+01  0.5719E+01  0.7093E+01  0.1012E+00
190            10446  797499  0.6407E-04  0.1452E+01  0.5910E+01  0.7362E+01  0.1073E+00
190             9753  792686  0.7087E-04  0.1533E+01  0.6099E+01  0.7632E+01  0.1134E+00
190             9181  787844  0.7839E-04  0.1619E+01  0.6293E+01  0.7912E+01  0.1198E+00
190             9017  782887  0.8838E-04  0.1717E+01  0.6513E+01  0.8231E+01  0.1272E+00
190             9017  777887  0.9963E-04  0.1823E+01  0.6744E+01  0.8567E+01  0.1351E+00
190             9017  772887  0.1129E-03  0.1936E+01  0.6987E+01  0.8923E+01  0.1438E+00
190             9017  767887  0.1273E-03  0.2054E+01  0.7240E+01  0.9294E+01  0.1530E+00
190             9017  762887  0.1436E-03  0.2180E+01  0.7504E+01  0.9684E+01  0.1632E+00
190             9017  757887  0.1628E-03  0.2311E+01  0.7774E+01  0.1008E+02  0.1738E+00
190             9017  752887  0.1851E-03  0.2449E+01  0.8061E+01  0.1051E+02  0.1855E+00
190             9017  747887  0.2095E-03  0.2595E+01  0.8364E+01  0.1096E+02  0.1983E+00
190             8836  743046  0.2365E-03  0.2743E+01  0.8674E+01  0.1142E+02  0.2119E+00
190             7490  739197  0.2564E-03  0.2848E+01  0.8871E+01  0.1172E+02  0.2222E+00
191             8982  701934  0.9668E-02  0.5332E+01  0.1350E+02  0.1883E+02  0.4595E+00
191             9017  697887  0.1262E+00  0.1219E+02  0.1463E+02  0.2682E+02  0.5301E+00
191             9017  692887  0.1392E+00  0.1330E+02  0.1591E+02  0.2921E+02  0.6077E+00
191             9017  687887  0.1576E+00  0.1487E+02  0.1725E+02  0.3213E+02  0.7006E+00
191             9017  682887  0.1824E+00  0.1677E+02  0.1879E+02  0.3556E+02  0.8233E+00
191             9017  677887  0.2077E+00  0.1899E+02  0.2065E+02  0.3964E+02  0.1005E+01
191             9017  672887  0.3848E+00 -0.4405E+03  0.2305E+02 -0.4175E+03  0.1251E+01
191             9017  667887  0.4635E+00 -0.4940E+03  0.2460E+02 -0.4694E+03  0.1429E+01
