id,snr,x,y,q,hc,h,r,s,dv,cat,area,ps,component,catnr,sector,A,B,C,D
"731863","2017","275500","563500",0.0004846,0,1,"1000",0.5,"0","8200","528","0",NH3,"8200",Consumenten,overig,,,
"731864","2017","275500","564500",0.0005811,0,1,"1000",0.5,"0","8200","528","0",NH3,"8200",Consumenten,overig,,,
"731865","2017","275500","565500",0.0009077,0,1,"1000",0.5,"0","8200","528","0",NH3,"8200",Consumenten,overig,,,
"731866","2017","275500","566500",0.0009494,0,1,"1000",0.5,"0","8200","528","0",NH3,"8200",Consumenten,overig,,,
"731867","2017","275500","567500",0.001289,0,1,"1000",0.5,"0","8200","528","0",NH3,"8200",Consumenten,overig,,,
"731868","2017","275500","568500",0.0002435,0,1,"1000",0.5,"0","8200","528","0",NH3,"8200",Consumenten,overig,,,
"731869","2017","275500","569500",0.001042,0,1,"1000",0.5,"0","8200","528","0",NH3,"8200",Consumenten,overig,,,
"731870","2017","275500","570500",0.0009153,0,1,"1000",0.5,"0","8200","528","0",NH3,"8200",Consumenten,overig,,,
"698008","2017","13500","371500",0.001587,0,1,"1000",0.5,"0","8200","528","0",NH3,"8200",Consumenten,overig,,,
"698009","2017","14500","369500",6.784e-05,0,1,"1000",0.5,"0","8200","528","0",NH3,"8200",Consumenten,overig,,,
"698010","2017","14500","370500",0.003719,0,1,"1000",0.5,"0","8200","528","0",NH3,"8200",Consumenten,overig,,,
"698011","2017","14500","371500",0.004403,0,1,"1000",0.5,"0","8200","528","0",NH3,"8200",Consumenten,overig,,,
"698012","2017","14500","372500",8.389e-05,0,1,"1000",0.5,"0","8200","528","0",NH3,"8200",Consumenten,overig,,,
"698013","2017","14500","375500",0.001971,0,1,"1000",0.5,"0","8200","528","0",NH3,"8200",Consumenten,overig,,,
"698014","2017","14500","376500",0.01746,0,1,"1000",0.5,"0","8200","528","0",NH3,"8200",Consumenten,overig,,,
"698015","2017","14500","377500",0.005864,0,1,"1000",0.5,"0","8200","528","0",NH3,"8200",Consumenten,overig,,,
"698016","2017","15500","367500",0.0003392,0,1,"1000",0.5,"0","8200","528","0",NH3,"8200",Consumenten,overig,,,
"698017","2017","15500","369500",0.0007778,0,1,"1000",0.5,"0","8200","528","0",NH3,"8200",Consumenten,overig,,,
"698018","2017","15500","370500",0.02368,0,1,"1000",0.5,"0","8200","528","0",NH3,"8200",Consumenten,overig,,,
