id,snr,x,y,q,hc,h,r,s,dv,cat,area,ps,component,catnr,sector,A,B,C,D
"1","2017","15500","370500",0.001507,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"2","2017","15500","378500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"3","2017","17500","376500",0.001902,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"4","2017","17500","377500",0.0003169,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"5","2017","19500","364500",0.0006341,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"6","2017","19500","366500",0.0001585,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"7","2017","21500","377500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"8","2017","22500","372500",0.0004756,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"9","2017","23500","372500",0.0003962,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"10","2017","24500","393500",0.004676,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"11","2017","25500","394500",0.0001585,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"12","2017","26500","391500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"13","2017","27500","375500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"14","2017","27500","380500",0.0004756,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"15","2017","27500","387500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"16","2017","27500","399500",0.0006341,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"17","2017","28500","379500",0.005706,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"18","2017","28500","385500",0.0006341,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"19","2017","28500","386500",0.0006341,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"20","2017","28500","394500",0.0004756,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"21","2017","29500","388500",0.004201,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"22","2017","30500","385500",0.003804,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"23","2017","30500","387500",0.0004756,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"24","2017","30500","388500",0.0003962,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"25","2017","31500","391500",0.001346,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"26","2017","32500","385500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"27","2017","32500","390500",0.001585,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"28","2017","33500","391500",0.002933,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"29","2017","34500","377500",0.0003962,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"30","2017","35500","392500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"31","2017","36500","372500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"32","2017","38500","388500",0.007133,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"33","2017","40500","412500",0.0007133,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"34","2017","41500","391500",0.01704,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"35","2017","41500","400500",0.0001585,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"36","2017","41500","413500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
"37","2017","42500","370500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3,"1100",Industrie,voedings- en genotmiddelen,,,
