name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
190           -10893  724690  0.8167E-03  0.1067E-01  0.8672E-02  0.1934E-01  0.2918E-03  0.5836E-04
190           -11789  720123  0.8363E-03  0.1091E-01  0.8725E-02  0.1964E-01  0.2978E-03  0.5956E-04
190           -13625  716559  0.8513E-03  0.1116E-01  0.8767E-02  0.1993E-01  0.3046E-03  0.6092E-04
191           -12679  703413  0.9234E-03  0.1207E-01  0.9114E-02  0.2118E-01  0.3267E-03  0.6534E-04
191           -12290  700436  0.9373E-03  0.1225E-01  0.9193E-02  0.2144E-01  0.3300E-03  0.6600E-04
191           -12027  695458  0.9690E-03  0.1275E-01  0.9327E-02  0.2207E-01  0.3411E-03  0.6822E-04
191           -11751  690473  0.1001E-02  0.1331E-01  0.9471E-02  0.2278E-01  0.3536E-03  0.7071E-04
191           -11473  685496  0.1033E-02  0.1376E-01  0.9613E-02  0.2338E-01  0.3643E-03  0.7286E-04
191           -11188  680535  0.1068E-02  0.1439E-01  0.9776E-02  0.2417E-01  0.3781E-03  0.7561E-04
191           -10885  675621  0.1103E-02  0.1492E-01  0.9928E-02  0.2485E-01  0.3896E-03  0.7792E-04
191           -10543  670662  0.1137E-02  0.1328E-01  0.1006E-01  0.2334E-01  0.3998E-03  0.7997E-04
191           -10083  665526  0.1173E-02  0.1371E-01  0.1022E-01  0.2393E-01  0.4116E-03  0.8232E-04
190            -6444  737142  0.7942E-03  0.1023E-01  0.9130E-02  0.1936E-01  0.2780E-03  0.5559E-04
190            -7328  732560  0.8054E-03  0.1038E-01  0.9169E-02  0.1955E-01  0.2814E-03  0.5628E-04
190            -8099  727808  0.8183E-03  0.1061E-01  0.8991E-02  0.1960E-01  0.2879E-03  0.5759E-04
190            -8758  723288  0.8302E-03  0.1081E-01  0.8767E-02  0.1957E-01  0.2950E-03  0.5899E-04
190            -9853  719931  0.8462E-03  0.1102E-01  0.8806E-02  0.1982E-01  0.3003E-03  0.6006E-04
191            -8325  702221  0.9501E-03  0.1248E-01  0.9278E-02  0.2176E-01  0.3343E-03  0.6687E-04
191            -8304  697887  0.9672E-03  0.1279E-01  0.9358E-02  0.2215E-01  0.3400E-03  0.6799E-04
191            -8304  692887  0.9977E-03  0.1321E-01  0.9489E-02  0.2270E-01  0.3496E-03  0.6993E-04
191            -8304  687887  0.1030E-02  0.1377E-01  0.9639E-02  0.2341E-01  0.3617E-03  0.7233E-04
191            -8304  682887  0.1062E-02  0.1430E-01  0.9787E-02  0.2409E-01  0.3736E-03  0.7472E-04
191            -8304  677887  0.1097E-02  0.1487E-01  0.9933E-02  0.2480E-01  0.3868E-03  0.7736E-04
191            -8304  672887  0.1140E-02  0.1328E-01  0.1009E-01  0.2337E-01  0.3990E-03  0.7980E-04
191            -8221  667893  0.1175E-02  0.1374E-01  0.1027E-01  0.2401E-01  0.4127E-03  0.8254E-04
191            -7972  662945  0.1210E-02  0.1414E-01  0.1041E-01  0.2455E-01  0.4236E-03  0.8471E-04
191            -7639  657982  0.1248E-02  0.1455E-01  0.1056E-01  0.2510E-01  0.4354E-03  0.8707E-04
191            -7675  654994  0.1261E-02  0.1468E-01  0.1062E-01  0.2530E-01  0.4393E-03  0.8786E-04
190            -1693  754909  0.7550E-03  0.9469E-02  0.9804E-02  0.1927E-01  0.2557E-03  0.5114E-04
190            -2454  749971  0.7675E-03  0.9677E-02  0.9689E-02  0.1937E-01  0.2616E-03  0.5231E-04
190            -3117  745178  0.7804E-03  0.9902E-02  0.9543E-02  0.1945E-01  0.2679E-03  0.5359E-04
190            -3716  740305  0.7948E-03  0.1015E-01  0.9411E-02  0.1956E-01  0.2747E-03  0.5494E-04
190            -3974  735387  0.8099E-03  0.1040E-01  0.9251E-02  0.1966E-01  0.2819E-03  0.5637E-04
190            -3974  730387  0.8263E-03  0.1057E-01  0.9327E-02  0.1989E-01  0.2855E-03  0.5710E-04
190            -4987  726348  0.8361E-03  0.1078E-01  0.9123E-02  0.1991E-01  0.2919E-03  0.5839E-04
191            -4038  703250  0.9567E-03  0.1259E-01  0.9370E-02  0.2196E-01  0.3343E-03  0.6687E-04
191            -3974  700387  0.9793E-03  0.1296E-01  0.9473E-02  0.2243E-01  0.3428E-03  0.6857E-04
191            -3974  695387  0.9992E-03  0.1333E-01  0.9559E-02  0.2289E-01  0.3499E-03  0.6997E-04
191            -3974  690387  0.1031E-02  0.1381E-01  0.9721E-02  0.2353E-01  0.3603E-03  0.7206E-04
191            -3974  685387  0.1064E-02  0.1434E-01  0.9854E-02  0.2419E-01  0.3722E-03  0.7444E-04
191            -3974  680387  0.1098E-02  0.1485E-01  0.1000E-01  0.2485E-01  0.3843E-03  0.7686E-04
191            -3974  675387  0.1133E-02  0.1537E-01  0.1018E-01  0.2555E-01  0.3971E-03  0.7943E-04
191            -3974  670387  0.1177E-02  0.1366E-01  0.1033E-01  0.2399E-01  0.4096E-03  0.8192E-04
191            -3974  665387  0.1212E-02  0.1405E-01  0.1048E-01  0.2454E-01  0.4207E-03  0.8414E-04
191            -3974  660387  0.1247E-02  0.1445E-01  0.1063E-01  0.2508E-01  0.4320E-03  0.8640E-04
191            -3947  656007  0.1282E-02  0.1486E-01  0.1076E-01  0.2562E-01  0.4437E-03  0.8875E-04
190             2957  772655  0.7161E-03  0.8811E-02  0.1010E-01  0.1891E-01  0.2375E-03  0.4751E-04
190             2050  767368  0.7292E-03  0.9007E-02  0.1001E-01  0.1902E-01  0.2427E-03  0.4854E-04
190             1369  762644  0.7414E-03  0.9215E-02  0.9919E-02  0.1913E-01  0.2486E-03  0.4972E-04
190              731  757769  0.7548E-03  0.9435E-02  0.9834E-02  0.1927E-01  0.2546E-03  0.5093E-04
190              357  752887  0.7698E-03  0.9684E-02  0.9744E-02  0.1943E-01  0.2615E-03  0.5230E-04
190              356  747887  0.7851E-03  0.9844E-02  0.9831E-02  0.1968E-01  0.2651E-03  0.5303E-04
190              356  742887  0.8022E-03  0.1012E-01  0.9719E-02  0.1984E-01  0.2727E-03  0.5454E-04
190              356  737887  0.8195E-03  0.1039E-01  0.9601E-02  0.1999E-01  0.2799E-03  0.5597E-04
190               41  733157  0.8339E-03  0.1063E-01  0.9441E-02  0.2007E-01  0.2869E-03  0.5738E-04
190            -1291  729422  0.8406E-03  0.1070E-01  0.9453E-02  0.2015E-01  0.2884E-03  0.5767E-04
191              331  702076  0.9842E-03  0.1310E-01  0.9560E-02  0.2266E-01  0.3432E-03  0.6863E-04
191              356  697887  0.1013E-02  0.1357E-01  0.9693E-02  0.2326E-01  0.3538E-03  0.7077E-04
191              356  692887  0.1042E-02  0.1401E-01  0.9794E-02  0.2381E-01  0.3641E-03  0.7282E-04
191              356  687887  0.1065E-02  0.1433E-01  0.9945E-02  0.2427E-01  0.3707E-03  0.7413E-04
191              356  682887  0.1099E-02  0.1482E-01  0.1009E-01  0.2491E-01  0.3820E-03  0.7640E-04
191              356  677887  0.1134E-02  0.1532E-01  0.1026E-01  0.2558E-01  0.3940E-03  0.7881E-04
191              356  672887  0.1179E-02  0.1359E-01  0.1043E-01  0.2402E-01  0.4070E-03  0.8139E-04
191              356  667887  0.1215E-02  0.1399E-01  0.1057E-01  0.2456E-01  0.4181E-03  0.8361E-04
191              356  662887  0.1253E-02  0.1444E-01  0.1072E-01  0.2516E-01  0.4306E-03  0.8612E-04
191              356  657887  0.1291E-02  0.1486E-01  0.1088E-01  0.2574E-01  0.4423E-03  0.8847E-04
191              431  654767  0.1321E-02  0.1521E-01  0.1099E-01  0.2620E-01  0.4518E-03  0.9035E-04
159             1788  395449  0.3551E-02  0.3183E-01  0.1379E-01  0.4562E-01  0.8309E-03  0.4232E-03
159             1739  393617  0.3562E-02  0.3168E-01  0.1374E-01  0.4542E-01  0.8312E-03  0.4329E-03
190             6587  784792  0.6949E-03  0.8469E-02  0.1029E-01  0.1876E-01  0.2282E-03  0.4564E-04
190             5898  780094  0.7053E-03  0.8620E-02  0.1021E-01  0.1883E-01  0.2324E-03  0.4647E-04
190             5229  775224  0.7178E-03  0.8810E-02  0.1016E-01  0.1897E-01  0.2376E-03  0.4752E-04
190             4736  770381  0.7295E-03  0.9000E-02  0.1005E-01  0.1905E-01  0.2424E-03  0.4849E-04
190             4686  765387  0.7444E-03  0.9148E-02  0.1014E-01  0.1929E-01  0.2457E-03  0.4913E-04
190             4686  760387  0.7612E-03  0.9415E-02  0.1011E-01  0.1953E-01  0.2531E-03  0.5061E-04
190             4686  755387  0.7779E-03  0.9664E-02  0.1004E-01  0.1970E-01  0.2596E-03  0.5192E-04
190             4686  750387  0.7941E-03  0.9844E-02  0.1014E-01  0.1998E-01  0.2637E-03  0.5274E-04
190             4686  745387  0.8112E-03  0.1010E-01  0.1005E-01  0.2015E-01  0.2707E-03  0.5414E-04
190             4686  740387  0.8286E-03  0.1037E-01  0.9949E-02  0.2031E-01  0.2778E-03  0.5556E-04
190             3854  736202  0.8399E-03  0.1059E-01  0.9778E-02  0.2037E-01  0.2844E-03  0.5688E-04
191             4610  703102  0.9915E-03  0.1325E-01  0.9687E-02  0.2294E-01  0.3446E-03  0.6893E-04
191             4686  700387  0.1014E-02  0.1358E-01  0.9772E-02  0.2335E-01  0.3523E-03  0.7046E-04
191             4686  695387  0.1046E-02  0.1404E-01  0.9912E-02  0.2395E-01  0.3632E-03  0.7264E-04
191             4686  690387  0.1077E-02  0.1447E-01  0.1005E-01  0.2451E-01  0.3733E-03  0.7467E-04
