name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
190           -10893  724690  0.6676E+00  0.8080E+01  0.8110E+01  0.1619E+02  0.1914E+00  0.3828E-01
190           -11789  720123  0.6747E+00  0.8140E+01  0.8165E+01  0.1630E+02  0.1923E+00  0.3846E-01
190           -13625  716559  0.6820E+00  0.8199E+01  0.8205E+01  0.1640E+02  0.1930E+00  0.3859E-01
191           -12679  703413  0.7074E+00  0.8413E+01  0.8402E+01  0.1682E+02  0.1966E+00  0.3932E-01
191           -12290  700436  0.7111E+00  0.8453E+01  0.8444E+01  0.1690E+02  0.1974E+00  0.3948E-01
191           -12027  695458  0.7187E+00  0.8539E+01  0.8517E+01  0.1706E+02  0.1990E+00  0.3980E-01
191           -11751  690473  0.7275E+00  0.8635E+01  0.8595E+01  0.1723E+02  0.2007E+00  0.4013E-01
191           -11473  685496  0.7358E+00  0.8724E+01  0.8665E+01  0.1739E+02  0.2023E+00  0.4046E-01
191           -11188  680535  0.7463E+00  0.8835E+01  0.8740E+01  0.1758E+02  0.2040E+00  0.4080E-01
191           -10885  675621  0.7584E+00  0.8966E+01  0.8822E+01  0.1779E+02  0.2060E+00  0.4120E-01
191           -10543  670662  0.7756E+00  0.8041E+01  0.8918E+01  0.1696E+02  0.2089E+00  0.4179E-01
191           -10083  665526  0.7933E+00  0.8183E+01  0.9004E+01  0.1719E+02  0.2110E+00  0.4221E-01
190            -6444  737142  0.6530E+00  0.7987E+01  0.8000E+01  0.1599E+02  0.1897E+00  0.3793E-01
190            -7328  732560  0.6565E+00  0.7985E+01  0.8032E+01  0.1602E+02  0.1903E+00  0.3805E-01
190            -8099  727808  0.6613E+00  0.8022E+01  0.8081E+01  0.1610E+02  0.1911E+00  0.3821E-01
190            -8758  723288  0.6670E+00  0.8072E+01  0.8132E+01  0.1620E+02  0.1919E+00  0.3838E-01
190            -9853  719931  0.6725E+00  0.8118E+01  0.8169E+01  0.1629E+02  0.1925E+00  0.3850E-01
191            -8325  702221  0.7022E+00  0.8379E+01  0.8431E+01  0.1681E+02  0.1972E+00  0.3943E-01
191            -8304  697887  0.7103E+00  0.8454E+01  0.8489E+01  0.1694E+02  0.1983E+00  0.3966E-01
191            -8304  692887  0.7185E+00  0.8545E+01  0.8564E+01  0.1711E+02  0.1999E+00  0.3998E-01
191            -8304  687887  0.7270E+00  0.8642E+01  0.8638E+01  0.1728E+02  0.2016E+00  0.4033E-01
191            -8304  682887  0.7372E+00  0.8749E+01  0.8710E+01  0.1746E+02  0.2033E+00  0.4066E-01
191            -8304  677887  0.7488E+00  0.8872E+01  0.8790E+01  0.1766E+02  0.2051E+00  0.4103E-01
191            -8304  672887  0.7662E+00  0.7975E+01  0.8890E+01  0.1686E+02  0.2080E+00  0.4160E-01
191            -8221  667893  0.7813E+00  0.8105E+01  0.8976E+01  0.1708E+02  0.2102E+00  0.4205E-01
191            -7972  662945  0.7960E+00  0.8226E+01  0.9055E+01  0.1728E+02  0.2123E+00  0.4245E-01
191            -7639  657982  0.8076E+00  0.8326E+01  0.9142E+01  0.1747E+02  0.2143E+00  0.4287E-01
191            -7675  654994  0.8149E+00  0.8392E+01  0.9191E+01  0.1758E+02  0.2158E+00  0.4316E-01
190            -1693  754909  0.6553E+00  0.8181E+01  0.7786E+01  0.1597E+02  0.1871E+00  0.3741E-01
190            -2454  749971  0.6475E+00  0.7948E+01  0.7852E+01  0.1580E+02  0.1879E+00  0.3757E-01
190            -3117  745178  0.6464E+00  0.7925E+01  0.7915E+01  0.1584E+02  0.1888E+00  0.3775E-01
190            -3716  740305  0.6469E+00  0.7919E+01  0.7961E+01  0.1588E+02  0.1894E+00  0.3788E-01
190            -3974  735387  0.6498E+00  0.7933E+01  0.8015E+01  0.1595E+02  0.1901E+00  0.3802E-01
190            -3974  730387  0.6552E+00  0.7970E+01  0.8064E+01  0.1603E+02  0.1910E+00  0.3819E-01
190            -4987  726348  0.6600E+00  0.8011E+01  0.8105E+01  0.1612E+02  0.1917E+00  0.3834E-01
191            -4038  703250  0.6957E+00  0.8334E+01  0.8426E+01  0.1676E+02  0.1973E+00  0.3946E-01
191            -3974  700387  0.6999E+00  0.8376E+01  0.8464E+01  0.1684E+02  0.1980E+00  0.3960E-01
191            -3974  695387  0.7084E+00  0.8459E+01  0.8531E+01  0.1699E+02  0.1993E+00  0.3985E-01
191            -3974  690387  0.7169E+00  0.8552E+01  0.8605E+01  0.1716E+02  0.2008E+00  0.4015E-01
191            -3974  685387  0.7263E+00  0.8656E+01  0.8682E+01  0.1734E+02  0.2025E+00  0.4051E-01
191            -3974  680387  0.7369E+00  0.8773E+01  0.8758E+01  0.1753E+02  0.2044E+00  0.4088E-01
191            -3974  675387  0.7486E+00  0.8903E+01  0.8842E+01  0.1775E+02  0.2065E+00  0.4130E-01
191            -3974  670387  0.7659E+00  0.8008E+01  0.8937E+01  0.1695E+02  0.2091E+00  0.4183E-01
191            -3974  665387  0.7802E+00  0.8134E+01  0.9027E+01  0.1716E+02  0.2115E+00  0.4229E-01
191            -3974  660387  0.7941E+00  0.8251E+01  0.9112E+01  0.1736E+02  0.2137E+00  0.4273E-01
191            -3947  656007  0.8062E+00  0.8347E+01  0.9187E+01  0.1753E+02  0.2155E+00  0.4310E-01
190             2957  772655  0.6060E+00  0.7524E+01  0.7542E+01  0.1507E+02  0.1846E+00  0.3692E-01
190             2050  767368  0.6135E+00  0.7587E+01  0.7612E+01  0.1520E+02  0.1855E+00  0.3710E-01
190             1369  762644  0.6272E+00  0.7746E+01  0.7680E+01  0.1543E+02  0.1863E+00  0.3726E-01
190              731  757769  0.6493E+00  0.8054E+01  0.7752E+01  0.1581E+02  0.1870E+00  0.3739E-01
190              357  752887  0.6410E+00  0.7877E+01  0.7823E+01  0.1570E+02  0.1877E+00  0.3754E-01
190              356  747887  0.6404E+00  0.7852E+01  0.7886E+01  0.1574E+02  0.1885E+00  0.3770E-01
190              356  742887  0.6417E+00  0.7862E+01  0.7948E+01  0.1581E+02  0.1895E+00  0.3789E-01
190              356  737887  0.6435E+00  0.7873E+01  0.7991E+01  0.1586E+02  0.1901E+00  0.3802E-01
190               41  733157  0.6482E+00  0.7916E+01  0.8040E+01  0.1596E+02  0.1910E+00  0.3821E-01
190            -1291  729422  0.6539E+00  0.7959E+01  0.8081E+01  0.1604E+02  0.1914E+00  0.3829E-01
191              331  702076  0.6925E+00  0.8325E+01  0.8451E+01  0.1678E+02  0.1979E+00  0.3958E-01
191              356  697887  0.6994E+00  0.8391E+01  0.8505E+01  0.1690E+02  0.1989E+00  0.3979E-01
191              356  692887  0.7082E+00  0.8482E+01  0.8577E+01  0.1706E+02  0.2003E+00  0.4007E-01
191              356  687887  0.7175E+00  0.8578E+01  0.8651E+01  0.1723E+02  0.2018E+00  0.4036E-01
191              356  682887  0.7271E+00  0.8686E+01  0.8729E+01  0.1742E+02  0.2036E+00  0.4073E-01
191              356  677887  0.7378E+00  0.8811E+01  0.8811E+01  0.1762E+02  0.2057E+00  0.4114E-01
191              356  672887  0.7538E+00  0.7937E+01  0.8908E+01  0.1684E+02  0.2083E+00  0.4167E-01
191              356  667887  0.7663E+00  0.8046E+01  0.8991E+01  0.1704E+02  0.2103E+00  0.4207E-01
191              356  662887  0.7795E+00  0.8164E+01  0.9081E+01  0.1724E+02  0.2127E+00  0.4254E-01
191              356  657887  0.7939E+00  0.8284E+01  0.9168E+01  0.1745E+02  0.2151E+00  0.4301E-01
191              431  654767  0.8026E+00  0.8356E+01  0.9221E+01  0.1758E+02  0.2165E+00  0.4330E-01
159             1788  395449  0.2263E+01  0.1848E+02  0.1556E+02  0.3405E+02  0.3270E+00  0.1666E+00
159             1739  393617  0.2285E+01  0.1857E+02  0.1563E+02  0.3421E+02  0.3259E+00  0.1697E+00
190             6587  784792  0.5903E+00  0.7345E+01  0.7400E+01  0.1474E+02  0.1826E+00  0.3651E-01
190             5898  780094  0.5960E+00  0.7398E+01  0.7454E+01  0.1485E+02  0.1835E+00  0.3669E-01
190             5229  775224  0.6021E+00  0.7473E+01  0.7515E+01  0.1499E+02  0.1843E+00  0.3687E-01
190             4736  770381  0.6085E+00  0.7540E+01  0.7579E+01  0.1512E+02  0.1853E+00  0.3705E-01
190             4686  765387  0.6169E+00  0.7622E+01  0.7647E+01  0.1527E+02  0.1862E+00  0.3725E-01
190             4686  760387  0.6274E+00  0.7718E+01  0.7722E+01  0.1544E+02  0.1871E+00  0.3742E-01
190             4686  755387  0.6314E+00  0.7750E+01  0.7789E+01  0.1554E+02  0.1878E+00  0.3757E-01
190             4686  750387  0.6331E+00  0.7772E+01  0.7855E+01  0.1563E+02  0.1886E+00  0.3773E-01
190             4686  745387  0.6354E+00  0.7799E+01  0.7908E+01  0.1571E+02  0.1895E+00  0.3790E-01
190             4686  740387  0.6388E+00  0.7835E+01  0.7964E+01  0.1580E+02  0.1903E+00  0.3807E-01
190             3854  736202  0.6424E+00  0.7868E+01  0.8009E+01  0.1588E+02  0.1909E+00  0.3818E-01
191             4610  703102  0.6872E+00  0.8295E+01  0.8449E+01  0.1674E+02  0.1981E+00  0.3963E-01
191             4686  700387  0.6908E+00  0.8333E+01  0.8481E+01  0.1681E+02  0.1987E+00  0.3974E-01
191             4686  695387  0.6987E+00  0.8412E+01  0.8548E+01  0.1696E+02  0.1999E+00  0.3997E-01
191             4686  690387  0.7076E+00  0.8506E+01  0.8624E+01  0.1713E+02  0.2013E+00  0.4027E-01
191             4686  685387  0.7174E+00  0.8608E+01  0.8700E+01  0.1731E+02  0.2030E+00  0.4059E-01
191             4686  680387  0.7272E+00  0.8719E+01  0.8783E+01  0.1750E+02  0.2048E+00  0.4096E-01
191             4686  675387  0.7379E+00  0.8842E+01  0.8860E+01  0.1770E+02  0.2068E+00  0.4135E-01
191             4686  670387  0.7537E+00  0.7967E+01  0.8956E+01  0.1692E+02  0.2094E+00  0.4187E-01
191             4686  665387  0.7660E+00  0.8074E+01  0.9039E+01  0.1711E+02  0.2115E+00  0.4229E-01
191             4686  660387  0.7785E+00  0.8190E+01  0.9129E+01  0.1732E+02  0.2139E+00  0.4278E-01
191             4703  655817  0.7920E+00  0.8302E+01  0.9213E+01  0.1752E+02  0.2160E+00  0.4321E-01
159             6076  398315  0.2121E+01  0.1760E+02  0.1525E+02  0.3285E+02  0.3238E+00  0.1653E+00
159             4829  395187  0.2188E+01  0.1798E+02  0.1540E+02  0.3338E+02  0.3238E+00  0.1681E+00
159             5252  391155  0.2238E+01  0.1817E+02  0.1551E+02  0.3368E+02  0.3218E+00  0.1759E+00
190            11196  802308  0.5820E+00  0.7302E+01  0.7239E+01  0.1454E+02  0.1794E+00  0.3589E-01
190            10446  797499  0.5882E+00  0.7398E+01  0.7285E+01  0.1468E+02  0.1804E+00  0.3607E-01
190             9753  792686  0.5912E+00  0.7444E+01  0.7332E+01  0.1478E+02  0.1812E+00  0.3625E-01
190             9181  787844  0.5885E+00  0.7336E+01  0.7381E+01  0.1472E+02  0.1822E+00  0.3643E-01
190             9017  782887  0.5924E+00  0.7367E+01  0.7437E+01  0.1480E+02  0.1832E+00  0.3664E-01
190             9017  777887  0.5988E+00  0.7429E+01  0.7496E+01  0.1493E+02  0.1844E+00  0.3687E-01
190             9017  772887  0.6044E+00  0.7489E+01  0.7562E+01  0.1505E+02  0.1854E+00  0.3707E-01
190             9017  767887  0.6117E+00  0.7564E+01  0.7626E+01  0.1519E+02  0.1864E+00  0.3729E-01
190             9017  762887  0.6189E+00  0.7634E+01  0.7696E+01  0.1533E+02  0.1875E+00  0.3750E-01
190             9017  757887  0.6242E+00  0.7682E+01  0.7761E+01  0.1544E+02  0.1882E+00  0.3764E-01
190             9017  752887  0.6271E+00  0.7718E+01  0.7820E+01  0.1554E+02  0.1889E+00  0.3778E-01
190             9017  747887  0.6301E+00  0.7753E+01  0.7876E+01  0.1563E+02  0.1896E+00  0.3792E-01
190             8836  743046  0.6340E+00  0.7793E+01  0.7934E+01  0.1573E+02  0.1904E+00  0.3809E-01
190             7490  739197  0.6380E+00  0.7831E+01  0.7983E+01  0.1581E+02  0.1910E+00  0.3819E-01
191             8982  701934  0.6845E+00  0.8299E+01  0.8471E+01  0.1677E+02  0.1989E+00  0.3978E-01
191             9017  697887  0.6908E+00  0.8362E+01  0.8527E+01  0.1689E+02  0.1999E+00  0.3997E-01
191             9017  692887  0.6991E+00  0.8452E+01  0.8604E+01  0.1706E+02  0.2013E+00  0.4027E-01
191             9017  687887  0.7085E+00  0.8549E+01  0.8681E+01  0.1723E+02  0.2029E+00  0.4058E-01
191             9017  682887  0.7178E+00  0.8649E+01  0.8755E+01  0.1740E+02  0.2044E+00  0.4088E-01
191             9017  677887  0.7280E+00  0.8758E+01  0.8834E+01  0.1759E+02  0.2060E+00  0.4120E-01
191             9017  672887  0.7431E+00  0.7903E+01  0.8930E+01  0.1683E+02  0.2087E+00  0.4174E-01
191             9017  667887  0.7545E+00  0.8005E+01  0.9009E+01  0.1701E+02  0.2107E+00  0.4214E-01
191             9017  662887  0.7663E+00  0.8110E+01  0.9093E+01  0.1720E+02  0.2128E+00  0.4257E-01
191             9017  657887  0.7783E+00  0.8221E+01  0.9180E+01  0.1740E+02  0.2152E+00  0.4304E-01
191             9083  654534  0.7874E+00  0.8303E+01  0.9240E+01  0.1754E+02  0.2167E+00  0.4335E-01
162            10368  401463  0.1985E+01  0.1656E+02  0.1496E+02  0.3152E+02  0.3213E+00  0.1781E+00
